Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Enner Valencia,FW,Ecuador,34,1989,2.1,16,22,72.7,209,68,9,9,100.0,5,8,62.5,1,2,50.0,0,0.3,0.3,-0.3,2,1,2,1,3
Omar Valencia,DF,Panama,19,2004,0.1,6,7,85.7,92,39,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Federico Valverde,MF,Uruguay,25,1998,5.9,262,316,82.9,5294,1720,105,119,88.2,110,121,90.9,40,53,75.5,0,1.1,1.9,-1.1,9,42,17,2,54
Guillermo Varela,DF,Uruguay,30,1993,0.5,15,18,83.3,239,83,9,9,100.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2
Camilo Vargas,GK,Colombia,34,1989,6.3,147,216,68.1,4268,3313,21,21,100.0,83,84,98.8,43,110,39.1,0,0.0,0.0,0.0,0,2,0,0,0
Eduardo Vargas,FW,Chile,34,1989,2.2,30,38,78.9,400,90,15,19,78.9,11,12,91.7,1,3,33.3,0,0.1,0.0,-0.1,2,2,0,0,2
Johan Vásquez,DF,Mexico,25,1998,3.0,181,203,89.2,3763,1312,52,58,89.7,97,105,92.4,28,33,84.8,0,0.0,0.1,0.0,0,9,1,0,9
Alexis Vega,"MF,DF",Mexico,26,1997,0.3,16,24,66.7,208,33,12,14,85.7,4,4,100.0,0,4,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Gustavo Velásquez,DF,Paraguay,32,1991,2.8,71,115,61.7,1233,348,28,33,84.8,33,52,63.5,7,21,33.3,0,0.0,0.1,0.0,0,3,0,0,5
Gabriel Villamíl,MF,Bolivia,22,2001,2.7,99,113,87.6,1530,290,56,59,94.9,34,41,82.9,7,10,70.0,0,0.0,0.1,0.0,1,7,1,1,3
Mathías Villasanti,"MF,FW",Paraguay,27,1997,2.7,88,100,88.0,1490,408,45,48,93.8,35,37,94.6,8,9,88.9,1,0.1,0.1,+0.9,4,3,2,0,15
Matías Viña,DF,Uruguay,26,1997,3.9,137,195,70.3,2156,789,62,74,83.8,63,79,79.7,5,25,20.0,1,0.3,0.1,+0.7,5,15,1,1,20
Guillermo Vizcarra,GK,Bolivia,30,1993,3.0,43,76,56.6,1247,864,12,12,100.0,13,13,100.0,18,49,36.7,0,0.0,0.0,0.0,0,1,0,0,0
Jahmali Waite,GK,Jamaica,25,1998,3.0,82,111,73.9,2216,1649,13,13,100.0,45,45,100.0,24,51,47.1,0,0.0,0.0,0.0,0,0,0,0,0
Timothy Weah,FW,United States,23,2000,1.1,30,40,75.0,555,87,14,20,70.0,14,17,82.4,2,2,100.0,1,0.2,0.2,+0.8,3,1,5,1,4
Jovani Welch,MF,Panama,24,1999,2.3,71,80,88.8,1292,450,33,37,89.2,25,26,96.2,10,12,83.3,0,0.0,0.2,0.0,2,11,2,0,11
Wendell,DF,Brazil,30,1993,1.9,75,92,81.5,987,278,46,51,90.2,26,31,83.9,1,4,25.0,0,0.2,0.0,-0.2,1,4,0,0,3
Haji Wright,MF,United States,25,1998,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
César Yanis,MF,Panama,28,1996,0.0,5,7,71.4,69,19,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
John Yeboah,FW,Ecuador,23,2000,1.2,16,20,80.0,197,91,9,10,90.0,5,7,71.4,0,0,,1,0.0,0.1,+1.0,2,1,2,1,2
Édgar Yoel Bárcenas,MF,Panama,30,1993,4.0,117,149,78.5,1984,412,54,61,88.5,49,58,84.5,11,22,50.0,0,0.3,0.5,-0.3,4,12,4,1,20
Carlos Zambrano,DF,Peru,34,1989,2.9,55,71,77.5,1200,526,16,19,84.2,30,33,90.9,9,17,52.9,0,0.0,0.0,0.0,0,3,0,0,3
Álvaro Zamora,"FW,MF",Costa Rica,21,2002,1.7,29,39,74.4,398,22,21,25,84.0,7,8,87.5,1,2,50.0,0,0.1,0.0,-0.1,2,1,0,0,0
Franco Zanelatto,MF,Peru,23,2000,0.3,5,6,83.3,58,16,5,5,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
