Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ben Brereton,FW,Chile,24,1999,0.5,0,2,0,0.0,4.09,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Tajon Buchanan,"MF,FW",Canada,24,1999,1.1,0,2,1,50.0,1.84,0.92,0.00,0.00,9.0,0,0,0,0.5,0.5,0.27,-0.5,-0.5
Hernesto Caballero,MF,Paraguay,32,1991,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sebastián Cáceres,DF,Uruguay,24,1999,2.9,0,2,0,0.0,0.70,0.00,0.00,,8.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Jhonder Cádiz,FW,Venezuela,28,1995,0.9,1,3,1,33.3,3.18,1.06,0.33,1.00,18.2,0,0,0,0.2,0.2,0.06,+0.8,+0.8
Jordy Caicedo,"FW,MF",Ecuador,26,1997,0.2,0,2,0,0.0,9.47,0.00,0.00,,9.6,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Moisés Caicedo,MF,Ecuador,22,2001,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,25.9,2,0,0,0.2,0.2,0.05,-0.2,-0.2
Alexander Callens,DF,Peru,31,1992,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francisco Calvo,DF,Costa Rica,31,1992,3.0,1,1,1,100.0,0.33,0.33,1.00,1.00,8.0,0,0,0,0.4,0.4,0.38,+0.6,+0.6
Joel Campbell,"MF,FW",Costa Rica,31,1992,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Agustín Canobbio,MF,Uruguay,25,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Valentin Carboni,FW,Argentina,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Johnny Cardoso,MF,United States,22,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,29.5,0,0,0,0.0,0.0,0.03,0.0,0.0
