Player,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Uriel Antuna,"FW,MF",Mexico,26,1997,3,2,173,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,8,24,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Jon Aramburu,DF,Venezuela,21,2002,3,3,260,2.9,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,4,11,6,0.00,0.69,0.69,0.00,0.69,0.01,0.18,0.19,0.01,0.19
Guilherme Arana,DF,Brazil,26,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,15,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,6,6,446,5.0,2,1,3,2,0,0,0,0,0.7,0.7,0.6,1.4,11,12,41,0.40,0.20,0.61,0.40,0.61,0.15,0.13,0.28,0.15,0.28
Miguel Araujo,DF,Peru,29,1994,2,2,148,1.6,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Ronald Araújo,DF,Uruguay,24,1999,4,4,257,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,3,14,0,0.00,0.35,0.35,0.00,0.35,0.02,0.32,0.35,0.02,0.35
Alex Arce,FW,Paraguay,28,1995,2,2,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,1,2,5,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16
Gabriel Arias,GK,Chile,36,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jhon Arias,MF,Colombia,26,1997,6,6,483,5.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,8,17,20,0.00,0.19,0.19,0.00,0.19,0.03,0.01,0.05,0.03,0.05
Santiago Arias,DF,Colombia,32,1992,3,1,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,4,5,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Gerardo Arteaga,DF,Mexico,25,1998,3,3,269,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,20,9,0.33,0.00,0.33,0.33,0.33,0.05,0.00,0.05,0.05,0.05
Yaser Asprilla,FW,Colombia,20,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.54,0.16,0.70,0.54,0.70
Abdiel Ayarza,MF,Panama,31,1992,4,0,63,0.7,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.4,0,0,2,0.00,1.43,1.43,0.00,1.43,0.18,0.33,0.51,0.18,0.51
Theo Bair,FW,Canada,24,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabián Balbuena,DF,Paraguay,32,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,1,8,0,0.00,0.00,0.00,0.00,0.00,0.10,0.14,0.24,0.10,0.24
Folarin Balogun,FW,United States,22,2001,3,3,175,1.9,2,0,2,2,0,0,0,0,0.3,0.3,0.0,0.3,4,3,11,1.03,0.00,1.03,1.03,1.03,0.17,0.00,0.17,0.17,0.17
Adam Bareiro,FW,Paraguay,27,1996,3,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jon Bell,DF,Jamaica,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28
Eduard Bello,"FW,MF",Venezuela,28,1995,4,3,288,3.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,4,4,26,0.62,0.00,0.62,0.62,0.62,0.25,0.03,0.28,0.25,0.28
Rodrigo Bentancur,MF,Uruguay,26,1997,6,2,170,1.9,2,0,2,2,0,0,1,0,0.5,0.5,0.1,0.6,2,9,2,1.06,0.00,1.06,1.06,1.06,0.26,0.05,0.32,0.26,0.32
Di'Shon Bernard,DF,Jamaica,23,2000,2,2,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
