Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Valentin Carboni,FW,Argentina,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Johnny Cardoso,MF,United States,22,2001,0.8,2,2.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,1.3,4,3.03,1,1,0,0,1,1,0,0.00,0,0,0,0,0,0
Jorge Carrascal,"MF,FW",Colombia,25,1998,0.6,5,12.86,5,0,0,0,0,0,1,2.57,1,0,0,0,0,0
Adalberto Carrasquilla,MF,Panama,25,1998,1.9,7,3.60,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Carrillo,MF,Peru,32,1991,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Wilder Cartagena,MF,Peru,29,1994,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,26,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julio Cascante,DF,Costa Rica,30,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cristian Cásseres Jr.,MF,Venezuela,24,2000,1.7,3,1.81,3,0,0,0,0,0,1,0.60,1,0,0,0,0,0
Kevin Castaño,MF,Colombia,23,2000,0.9,4,7.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jesús Castillo,MF,Peru,22,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Renaldo Cephas,"MF,DF",Jamaica,24,1999,0.7,1,1.53,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Boris Cespedes,MF,Bolivia,28,1995,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucas Chávez,"FW,MF",Bolivia,20,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luis Chávez,MF,Mexico,28,1996,2.9,10,3.50,3,5,0,1,1,0,0,0.00,0,0,0,0,0,0
Mathieu Choiniere,MF,Canada,24,1999,1.2,3,2.48,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Anthony Contreras,FW,Costa Rica,24,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jhon Córdoba,FW,Colombia,30,1993,4.6,10,2.17,7,0,0,1,1,1,2,0.43,1,0,0,0,1,0
José Cordoba,DF,Panama,22,2001,4.0,3,0.75,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0
Derek Cornelius,DF,Canada,26,1997,4.8,2,0.42,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Janner Corozo,FW,Ecuador,28,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordi Cortizo,FW,Mexico,27,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aldo Corzo,DF,Peru,34,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maxime Crépeau,GK,Canada,29,1994,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrés Cubas,MF,Paraguay,27,1996,1.9,4,2.12,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Héctor Cuellar,DF,Bolivia,23,2000,2.5,1,0.40,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jaume Cuéllar,FW,Bolivia,22,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Cuesta,DF,Colombia,24,1999,5.3,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Cueva,"MF,FW",Peru,32,1991,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo,DF,Brazil,32,1991,4.0,10,2.50,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0
