Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Ben Brereton,FW,Chile,24,1999,0.5,16,0,0,6,10,2,16,0,0,,0,,9,43,8,0,0,0,1,2,12,5
Tajon Buchanan,"MF,FW",Canada,24,1999,1.1,33,3,10,8,16,6,33,5,3,60.0,1,20.0,24,204,119,3,1,2,2,4,23,8
Hernesto Caballero,MF,Paraguay,32,1991,1.2,87,0,22,59,7,0,87,2,1,50.0,1,50.0,44,157,83,0,0,0,1,1,53,0
Sebastián Cáceres,DF,Uruguay,24,1999,2.9,149,17,98,45,8,4,149,1,1,100.0,0,0.0,68,302,167,0,0,0,4,0,74,0
Jhonder Cádiz,FW,Venezuela,28,1995,0.9,42,5,6,20,16,6,42,0,0,,0,,16,59,21,0,0,0,2,1,30,3
Jordy Caicedo,"FW,MF",Ecuador,26,1997,0.2,9,1,1,2,6,4,9,1,1,100.0,0,0.0,6,44,20,1,0,0,1,1,7,1
Moisés Caicedo,MF,Ecuador,22,2001,4.0,242,8,33,155,55,7,242,11,3,27.3,6,54.5,142,636,228,7,1,2,5,5,134,12
Alexander Callens,DF,Peru,31,1992,2.9,115,14,53,55,9,0,115,3,1,33.3,2,66.7,56,321,219,5,5,0,1,0,58,0
Francisco Calvo,DF,Costa Rica,31,1992,3.0,145,15,98,45,3,1,145,7,5,71.4,2,28.6,72,307,179,0,0,0,2,2,72,0
Joel Campbell,"MF,FW",Costa Rica,31,1992,1.5,84,0,6,67,12,0,84,7,1,14.3,5,71.4,54,249,74,1,2,0,5,2,63,4
Agustín Canobbio,MF,Uruguay,25,1998,0.0,7,0,1,2,4,1,7,0,0,,0,,5,40,18,2,1,0,2,0,5,1
Valentin Carboni,FW,Argentina,18,2005,0.2,6,0,1,5,0,0,6,1,0,0.0,1,100.0,5,23,7,0,0,0,0,0,5,1
Johnny Cardoso,MF,United States,22,2001,0.8,35,1,12,19,6,0,35,1,1,100.0,0,0.0,13,36,9,0,1,0,2,0,22,0
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,1.3,80,3,25,42,14,1,80,2,1,50.0,1,50.0,26,163,93,1,2,0,2,1,43,3
Jorge Carrascal,"MF,FW",Colombia,25,1998,0.6,42,0,6,26,12,2,42,2,0,0.0,2,100.0,25,119,79,2,3,0,2,1,29,1
Adalberto Carrasquilla,MF,Panama,25,1998,1.9,116,0,6,92,20,1,116,5,4,80.0,1,20.0,75,366,237,5,5,0,3,2,91,5
André Carrillo,MF,Peru,32,1991,0.1,16,0,2,8,7,2,16,4,2,50.0,2,50.0,7,123,56,1,1,1,0,0,8,3
Wilder Cartagena,MF,Peru,29,1994,2.5,85,4,19,59,8,1,85,1,1,100.0,0,0.0,40,140,34,0,0,0,2,4,42,1
Cameron Carter-Vickers,DF,United States,26,1997,0.5,6,2,4,1,1,1,6,0,0,,0,,2,2,1,0,0,0,0,0,3,0
Julio Cascante,DF,Costa Rica,30,1993,0.0,3,0,0,3,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0
Cristian Cásseres Jr.,MF,Venezuela,24,2000,1.7,75,0,11,47,17,2,75,1,1,100.0,0,0.0,44,258,113,4,0,0,2,3,38,4
Kevin Castaño,MF,Colombia,23,2000,0.9,64,1,6,43,15,3,64,1,0,0.0,1,100.0,33,109,47,0,1,0,0,2,52,3
Jesús Castillo,MF,Peru,22,2001,0.5,21,0,3,14,4,1,21,0,0,,0,,13,43,3,0,1,0,1,0,12,0
Renaldo Cephas,"MF,DF",Jamaica,24,1999,0.7,27,0,2,10,15,2,27,2,0,0.0,2,100.0,19,134,53,2,3,0,1,2,19,3
Boris Cespedes,MF,Bolivia,28,1995,1.7,94,4,38,53,4,0,94,0,0,,0,,59,283,121,2,1,0,0,1,71,1
Lucas Chávez,"FW,MF",Bolivia,20,2003,0.4,13,0,2,7,4,0,13,0,0,,0,,10,49,14,0,0,0,1,5,14,1
Luis Chávez,MF,Mexico,28,1996,2.9,168,5,23,85,62,12,168,4,0,0.0,4,100.0,103,553,245,5,3,2,3,2,114,15
Mathieu Choiniere,MF,Canada,24,1999,1.2,85,2,11,53,21,2,85,0,0,,0,,49,230,119,1,3,0,2,1,56,4
Anthony Contreras,FW,Costa Rica,24,2000,0.1,10,0,0,4,6,0,10,0,0,,0,,3,15,6,0,0,0,3,0,6,0
Jhon Córdoba,FW,Colombia,30,1993,4.6,112,7,11,50,54,26,112,11,2,18.2,8,72.7,49,305,63,3,2,4,7,6,73,21
José Cordoba,DF,Panama,22,2001,4.0,241,34,115,117,10,1,241,3,0,0.0,3,100.0,103,557,299,1,1,0,0,1,150,3
Derek Cornelius,DF,Canada,26,1997,4.8,248,41,146,98,5,4,248,1,0,0.0,1,100.0,127,510,299,0,0,0,3,1,143,1
Janner Corozo,FW,Ecuador,28,1995,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Jordi Cortizo,FW,Mexico,27,1996,0.1,6,0,0,4,2,0,6,0,0,,0,,2,11,1,0,0,0,0,0,3,0
Aldo Corzo,DF,Peru,34,1989,1.0,21,1,7,13,1,1,21,0,0,,0,,7,25,1,0,0,0,0,1,10,0
Maxime Crépeau,GK,Canada,29,1994,5.0,162,130,159,7,0,0,162,0,0,,0,,80,470,324,0,0,0,0,0,50,0
Andrés Cubas,MF,Paraguay,27,1996,1.9,111,4,37,70,4,0,111,1,0,0.0,1,100.0,58,193,75,0,0,0,0,1,67,0
Héctor Cuellar,DF,Bolivia,23,2000,2.5,172,19,91,64,20,1,172,9,4,44.4,5,55.6,94,380,187,3,4,0,4,5,101,5
Jaume Cuéllar,FW,Bolivia,22,2001,0.2,13,1,3,3,7,0,13,3,0,0.0,3,100.0,5,15,0,0,0,0,1,1,8,0
Carlos Cuesta,DF,Colombia,24,1999,5.3,276,28,143,129,4,3,276,1,0,0.0,0,0.0,123,481,240,0,0,0,2,0,212,0
Christian Cueva,"MF,FW",Peru,32,1991,0.3,29,0,0,17,12,2,29,3,1,33.3,2,66.7,17,71,32,1,0,0,0,0,25,4
Danilo,DF,Brazil,32,1991,4.0,292,11,81,152,59,7,292,1,1,100.0,0,0.0,137,520,293,7,2,3,0,1,193,11
Jonathan David,"MF,FW",Canada,24,2000,5.0,189,1,20,109,63,17,189,10,3,30.0,5,50.0,110,558,260,7,8,3,15,13,131,34
Alphonso Davies,DF,Canada,23,2000,5.1,287,11,89,134,75,10,287,28,9,32.1,15,53.6,144,1192,756,16,8,5,10,7,140,17
Víctor Dávila,FW,Chile,26,1997,2.6,89,7,19,33,38,8,89,7,1,14.3,5,71.4,43,224,93,2,2,1,3,3,60,11
Erick Davis,DF,Panama,32,1991,3.9,218,8,45,105,68,5,218,4,1,25.0,2,50.0,94,375,213,7,4,0,1,5,135,20
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,1.8,102,0,5,41,56,6,102,2,0,0.0,2,100.0,51,206,106,3,2,0,4,1,57,12
Luc De Fougerolles,DF,Canada,18,2005,0.7,22,2,8,12,2,2,22,0,0,,0,,11,41,22,0,0,0,1,0,11,0
Nicolás De La Cruz,MF,Uruguay,26,1997,3.9,198,1,12,92,94,4,198,9,5,55.6,1,11.1,117,494,189,3,3,0,5,6,139,27
Rodrigo De Paul,MF,Argentina,29,1994,5.3,336,3,60,209,70,5,336,8,2,25.0,5,62.5,195,860,443,10,6,2,8,4,249,11
Ángel Di María,"MF,FW",Argentina,35,1988,3.9,209,1,19,107,88,11,209,23,8,34.8,9,39.1,135,811,479,14,12,7,6,5,156,30
Ismael Díaz,MF,Panama,26,1997,0.1,3,0,0,1,2,0,3,1,0,0.0,1,100.0,2,11,0,0,0,0,0,0,2,0
Luis Díaz,FW,Colombia,27,1997,5.6,209,1,8,108,97,18,208,37,15,40.5,18,48.6,138,987,367,13,8,6,14,17,156,40
Paulo Díaz,DF,Chile,29,1994,2.0,149,16,93,56,2,0,149,0,0,,0,,90,398,189,3,0,0,1,0,97,0
Kaheim Dixon,"MF,FW",Jamaica,19,2004,0.7,30,2,5,8,18,3,30,4,2,50.0,2,50.0,18,71,15,0,1,0,4,1,23,10
Alexander Domínguez,GK,Ecuador,36,1987,4.0,111,99,110,1,0,0,111,0,0,,0,,69,347,249,0,0,0,0,0,51,0
Jhon Durán,FW,Colombia,20,2003,0.2,8,0,0,6,2,0,8,0,0,,0,,5,28,12,0,0,0,0,2,8,0
Rodrigo Echeverría,MF,Chile,28,1995,2.0,93,2,22,59,15,3,93,2,1,50.0,1,50.0,44,244,160,1,1,0,2,3,53,0
Éderson,MF,Brazil,24,1999,0.2,16,0,2,12,2,0,16,1,1,100.0,0,0.0,11,47,10,0,0,0,0,1,12,0
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3.0,205,4,50,98,59,9,205,10,3,30.0,7,70.0,93,554,245,8,4,1,4,4,104,20
Julio Enciso,"FW,MF",Paraguay,20,2004,2.8,166,0,6,80,83,12,166,20,9,45.0,9,45.0,100,648,336,7,7,2,11,7,119,12
Endrick,FW,Brazil,17,2006,1.4,28,0,1,15,12,5,28,5,1,20.0,3,60.0,15,92,14,1,1,0,7,3,17,3
