Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
José Andrés Martínez,MF,Venezuela,29,1994,4.0,15,11,7,6,2,9,14,64.3,5,4,0,4,4,19,13,0
Wilker Ángel,DF,Venezuela,30,1993,1.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0
Michail Antonio,FW,Jamaica,33,1990,2.6,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,1,0
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,5,3,2,3,0,3,3,100.0,0,2,0,2,3,8,0,0
Jon Aramburu,DF,Venezuela,21,2002,2.9,26,18,18,5,3,20,25,80.0,5,8,3,5,4,30,8,0
Guilherme Arana,DF,Brazil,26,1997,2.0,3,2,0,3,0,2,3,66.7,1,2,0,2,1,4,2,0
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,5,3,1,2,2,2,8,25.0,6,4,0,4,0,5,3,0
Miguel Araujo,DF,Peru,29,1994,1.6,6,3,3,3,0,4,5,80.0,1,1,0,1,1,7,7,0
Ronald Araújo,DF,Uruguay,24,1999,2.9,5,4,3,2,0,1,2,50.0,1,4,2,2,6,11,15,0
Alex Arce,FW,Paraguay,28,1995,1.7,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,1,0
Gabriel Arias,GK,Chile,36,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jhon Arias,MF,Colombia,26,1997,5.4,12,8,3,6,3,6,14,42.9,8,11,0,11,3,15,2,0
Santiago Arias,DF,Colombia,32,1992,2.0,4,2,2,2,0,1,6,16.7,5,0,0,0,0,4,6,0
Gerardo Arteaga,DF,Mexico,25,1998,3.0,4,3,1,3,0,1,3,33.3,2,3,1,2,2,6,3,0
Yaser Asprilla,FW,Colombia,20,2003,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Abdiel Ayarza,MF,Panama,31,1992,0.7,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0
Theo Bair,FW,Canada,24,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,11,4,7,4,0,4,5,80.0,1,3,1,2,9,20,9,0
Folarin Balogun,FW,United States,22,2001,1.9,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
Adam Bareiro,FW,Paraguay,27,1996,0.8,2,2,0,1,1,1,3,33.3,2,0,0,0,1,3,2,0
Jon Bell,DF,Jamaica,26,1997,1.0,1,0,1,0,0,0,0,,0,1,0,1,1,2,3,0
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,4,3,0,2,2,2,4,50.0,2,3,0,3,2,6,7,0
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,5,0,3,2,0,2,4,50.0,2,3,0,3,6,11,3,0
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,2,1,2,0,0,2,3,66.7,1,3,3,0,2,4,9,0
César Blackman,"MF,DF",Panama,25,1998,2.2,1,1,1,0,0,0,2,0.0,2,2,0,2,1,2,0,0
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,5,5,1,3,1,3,10,30.0,7,1,0,1,2,7,0,0
