Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Lucas Chávez,"FW,MF",Bolivia,20,2003,2,33,17,12.2,0.4,0,,0,2,17,1,0.00,0,4,-4,-10.91,-9.01,0.0,1.1,-1.1,-2.99,-1.25
Luis Chávez,MF,Mexico,28,1996,3,257,86,95.2,2.9,3,86,2,0,,0,1.33,1,1,0,0.00,0.00,4.7,2.0,+2.7,+0.94,+1.21
Mathieu Choiniere,MF,Canada,24,1999,2,109,55,20.2,1.2,1,90,1,1,19,4,0.50,2,2,0,0.00,+0.63,2.2,1.6,+0.6,+0.51,+0.72
José Cifuentes,MF,Ecuador,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Anthony Contreras,FW,Costa Rica,24,2000,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.70,0.0,0.6,-0.6,-4.00,-2.40
José Contreras Verna,GK,Venezuela,29,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jhon Córdoba,FW,Colombia,30,1993,6,414,69,72.6,4.6,5,78,0,1,23,0,2.17,9,2,+7,+1.52,+0.37,6.9,1.9,+5.0,+1.10,+0.60
José Cordoba,DF,Panama,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,6,10,-4,-1.00,,3.1,5.6,-2.5,-0.63,
Derek Cornelius,DF,Canada,26,1997,6,429,72,79.4,4.8,5,81,4,1,24,0,1.00,2,6,-4,-0.84,-1.65,5.1,8.0,-2.9,-0.62,-2.71
Carlos Coronel,GK,Paraguay,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Janner Corozo,FW,Ecuador,28,1995,1,1,1,0.3,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,-0.25,0.0,0.0,0.0,0.00,-0.29
Brayan Cortés,GK,Chile,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jordi Cortizo,FW,Mexico,27,1996,1,5,5,1.9,0.1,0,,0,1,5,2,1.00,0,0,0,0.00,0.00,0.1,0.0,+0.1,+1.91,+1.04
Aldo Corzo,DF,Peru,34,1989,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,-1.50,0.1,2.3,-2.2,-2.16,-1.53
Yan Couto,"DF,MF",Brazil,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Maxime Crépeau,GK,Canada,29,1994,5,450,90,83.3,5.0,5,90,5,0,,1,1.00,2,5,-3,-0.60,-0.60,6.5,7.2,-0.7,-0.14,-0.47
Aarón Cruz,GK,Costa Rica,32,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
