Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Gerardo Arteaga,DF,Mexico,25,1998,3.0,137,116,20,2,0,1,6,18,0,0,0,0,118,1,3
Yaser Asprilla,FW,Colombia,20,2003,0.2,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
Abdiel Ayarza,MF,Panama,31,1992,0.7,11,10,1,1,0,0,1,0,0,0,0,0,9,0,0
Theo Bair,FW,Canada,24,1999,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,111,107,4,4,0,3,0,0,0,0,0,0,91,0,1
Folarin Balogun,FW,United States,22,2001,1.9,26,23,3,0,0,0,2,1,0,0,0,0,18,0,0
Adam Bareiro,FW,Paraguay,27,1996,0.8,17,17,0,0,0,1,0,0,0,0,0,0,10,0,0
Jon Bell,DF,Jamaica,26,1997,1.0,26,18,8,0,0,0,3,8,0,0,0,0,19,0,1
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,84,65,18,5,0,0,21,1,12,4,4,0,51,1,8
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,64,63,1,1,1,0,0,0,0,0,0,0,48,0,1
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,36,35,1,1,0,0,0,0,0,0,0,0,28,0,0
César Blackman,"MF,DF",Panama,25,1998,2.2,67,65,2,0,0,1,5,2,0,0,0,0,50,0,1
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,86,84,2,1,0,0,1,1,0,0,0,0,76,0,1
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,19,19,0,0,0,0,1,0,0,0,0,0,7,0,3
Moïse Bombito,DF,Canada,23,2000,6.0,274,266,8,6,0,1,0,0,0,0,0,0,239,0,4
Miguel Borja,FW,Colombia,31,1993,0.3,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0
Rafael Borré,FW,Colombia,28,1995,1.4,24,22,2,0,0,0,0,0,0,0,0,0,16,0,1
Alejandro Bran,MF,Costa Rica,22,2001,0.4,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1
Claudio Bravo,GK,Chile,40,1983,2.0,80,55,25,8,0,2,0,0,0,0,0,0,51,0,0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,70,64,5,3,1,1,4,0,2,1,1,0,55,1,1
Ben Brereton,FW,Chile,24,1999,0.5,9,8,1,0,1,0,0,0,0,0,0,0,5,0,0
Tajon Buchanan,"MF,FW",Canada,24,1999,1.1,21,20,0,0,0,0,1,0,0,0,0,0,18,1,0
Hernesto Caballero,MF,Paraguay,32,1991,1.2,73,71,2,0,0,0,0,0,0,0,0,0,56,0,0
Sebastián Cáceres,DF,Uruguay,24,1999,2.9,112,102,10,6,0,1,1,4,0,0,0,0,90,0,2
Jhonder Cádiz,FW,Venezuela,28,1995,0.9,25,23,1,0,0,0,1,1,0,0,0,0,8,1,2
Jordy Caicedo,"FW,MF",Ecuador,26,1997,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Moisés Caicedo,MF,Ecuador,22,2001,4.0,180,156,24,9,3,4,19,1,12,6,4,0,144,0,1
Alexander Callens,DF,Peru,31,1992,2.9,92,77,15,4,0,2,0,11,0,0,0,0,66,0,2
Francisco Calvo,DF,Costa Rica,31,1992,3.0,117,90,27,11,0,3,0,16,0,0,0,0,81,0,5
Joel Campbell,"MF,FW",Costa Rica,31,1992,1.5,62,54,5,4,1,3,0,0,0,0,0,0,46,3,0
Agustín Canobbio,MF,Uruguay,25,1998,0.0,4,3,1,0,0,0,1,1,0,0,0,0,3,0,1
Valentin Carboni,FW,Argentina,18,2005,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Johnny Cardoso,MF,United States,22,2001,0.8,27,26,1,1,0,0,0,0,0,0,0,0,23,0,1
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,1.3,64,47,17,1,0,1,2,16,0,0,0,0,38,0,6
Jorge Carrascal,"MF,FW",Colombia,25,1998,0.6,33,32,1,1,1,0,0,0,0,0,0,0,28,0,0
Adalberto Carrasquilla,MF,Panama,25,1998,1.9,109,106,3,2,0,0,0,1,0,0,0,0,96,0,1
André Carrillo,MF,Peru,32,1991,0.1,10,9,1,0,0,0,1,1,0,0,0,0,7,0,0
Wilder Cartagena,MF,Peru,29,1994,2.5,68,67,1,1,0,0,0,0,0,0,0,0,54,0,2
