Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Jhon Arias,MF,Colombia,26,1997,5.4,0,0,0,15,11,0,4,3,8,1,0,0,33,4,4,50.0
Santiago Arias,DF,Colombia,32,1992,2.0,0,0,0,3,1,1,3,0,2,1,0,0,3,2,3,40.0
Gerardo Arteaga,DF,Mexico,25,1998,3.0,0,0,0,3,0,0,6,2,3,0,0,0,10,1,3,25.0
Yaser Asprilla,FW,Colombia,20,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Abdiel Ayarza,MF,Panama,31,1992,0.7,0,0,0,3,1,0,1,0,2,0,0,0,3,2,2,50.0
Theo Bair,FW,Canada,24,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,1,0,0,0,0,0,0,9,4,0,0,0,16,6,6,50.0
Folarin Balogun,FW,United States,22,2001,1.9,0,0,0,0,4,3,2,0,0,0,0,0,2,0,11,0.0
Adam Bareiro,FW,Paraguay,27,1996,0.8,0,0,0,4,1,0,0,1,2,0,0,0,1,3,3,50.0
Jon Bell,DF,Jamaica,26,1997,1.0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,1,0.0
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,0,0,0,1,1,1,21,2,3,0,0,0,8,2,4,33.3
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,1,0,0,7,1,0,0,6,0,0,0,0,16,5,1,83.3
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,0,0,0,3,0,0,0,2,1,0,0,0,1,2,2,50.0
César Blackman,"MF,DF",Panama,25,1998,2.2,0,0,0,3,2,0,5,1,1,0,0,0,8,1,3,25.0
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,0,0,0,2,3,0,1,2,5,0,0,0,14,0,0,
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,0,0,0,5,2,2,1,1,2,0,0,0,2,0,4,0.0
Moïse Bombito,DF,Canada,23,2000,6.0,1,0,0,4,1,0,0,8,7,0,0,0,32,14,15,48.3
Miguel Borja,FW,Colombia,31,1993,0.3,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,66.7
Rafael Borré,FW,Colombia,28,1995,1.4,0,0,0,4,0,0,0,0,1,0,0,0,2,1,8,11.1
Alejandro Bran,MF,Costa Rica,22,2001,0.4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
Claudio Bravo,GK,Chile,40,1983,2.0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100.0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,0,0,0,3,2,0,4,4,2,0,0,0,13,2,0,100.0
Ben Brereton,FW,Chile,24,1999,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,50.0
Tajon Buchanan,"MF,FW",Canada,24,1999,1.1,0,0,0,2,0,0,1,0,1,0,0,0,6,0,0,
Hernesto Caballero,MF,Paraguay,32,1991,1.2,1,0,0,4,1,0,0,3,0,0,0,0,9,3,1,75.0
Sebastián Cáceres,DF,Uruguay,24,1999,2.9,0,0,0,2,5,0,1,3,4,0,0,0,14,6,5,54.5
Jhonder Cádiz,FW,Venezuela,28,1995,0.9,0,0,0,2,2,2,1,0,0,0,0,0,3,9,6,60.0
Jordy Caicedo,"FW,MF",Ecuador,26,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,40.0
Moisés Caicedo,MF,Ecuador,22,2001,4.0,2,0,0,11,10,0,19,10,4,0,0,0,20,2,5,28.6
Alexander Callens,DF,Peru,31,1992,2.9,0,0,0,2,2,0,0,3,4,0,0,0,10,2,3,40.0
Francisco Calvo,DF,Costa Rica,31,1992,3.0,1,0,0,1,4,4,0,4,3,0,0,0,12,5,1,83.3
Joel Campbell,"MF,FW",Costa Rica,31,1992,1.5,0,0,0,4,9,0,0,0,3,0,0,0,9,1,0,100.0
Agustín Canobbio,MF,Uruguay,25,1998,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Valentin Carboni,FW,Argentina,18,2005,0.2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
Johnny Cardoso,MF,United States,22,2001,0.8,0,0,0,0,1,0,0,1,4,0,0,0,1,1,1,50.0
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,1.3,0,0,0,1,3,0,2,1,2,0,0,0,9,3,0,100.0
Jorge Carrascal,"MF,FW",Colombia,25,1998,0.6,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,
Adalberto Carrasquilla,MF,Panama,25,1998,1.9,0,1,0,2,2,0,0,0,0,0,0,0,13,0,2,0.0
André Carrillo,MF,Peru,32,1991,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Wilder Cartagena,MF,Peru,29,1994,2.5,1,0,0,10,1,0,0,1,6,0,0,0,8,1,1,50.0
Cameron Carter-Vickers,DF,United States,26,1997,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,33.3
