Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arthur,BRA,DF,América (MG),19,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arthur,BRA,"DF,FW",Fluminense,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Artur,BRA,FW,Palmeiras,24,1998,21.1,5,47,17,36.2,2.23,0.81,0.11,0.29,16.8,1,0,0,5.0,5.0,0.11,0.0,0.0
Eduard Atuesta,COL,MF,Palmeiras,25,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Felipe Augusto,BRA,"FW,MF",Corinthians,18,2004,3.6,0,7,3,42.9,1.96,0.84,0.00,0.00,23.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Filipe Augusto,BRA,MF,Cuiabá,29,1993,11.8,0,9,2,22.2,0.76,0.17,0.00,0.00,30.7,3,0,0,0.3,0.3,0.03,-0.3,-0.3
Renato Augusto,BRA,MF,Corinthians,34,1988,14.2,2,26,12,46.2,1.83,0.84,0.08,0.17,22.8,0,0,0,1.1,1.1,0.04,+0.9,+0.9
Danilo Avelar,BRA,DF,América (MG),33,1989,22.0,3,34,9,26.5,1.54,0.41,0.06,0.22,13.5,0,1,1,4.0,3.2,0.10,-1.0,-1.2
Felipe Azevedo,BRA,"FW,MF",América (MG),36,1987,19.4,4,45,15,33.3,2.32,0.77,0.09,0.27,17.3,0,0,0,3.7,3.7,0.09,+0.3,+0.3
Matheus Babi,BRA,FW,Goiás,25,1997,9.8,4,27,10,37.0,2.76,1.02,0.15,0.40,12.6,0,0,0,2.6,2.6,0.10,+1.4,+1.4
Matheus Bahia,BRA,"DF,MF",Bahia,23,1999,5.8,0,5,1,20.0,0.86,0.17,0.00,0.00,22.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Fabián Balbuena,PAR,DF,Corinthians,31,1991,1.0,0,1,0,0.0,1.01,0.00,0.00,,11.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Robson Bambu,BRA,DF,Vasco da Gama,25,1997,14.2,0,4,1,25.0,0.28,0.07,0.00,0.00,8.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Gabriel Baralhas,BRA,MF,Internacional,24,1998,2.6,0,4,1,25.0,1.53,0.38,0.00,0.00,28.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Danilo Barbosa,BRA,"MF,DF",Botafogo (RJ),26,1996,11.2,3,10,4,40.0,0.89,0.36,0.30,0.75,14.9,0,0,0,1.0,1.0,0.10,+2.0,+2.0
Diogo Barbosa,BRA,DF,Fluminense,30,1992,12.4,1,6,3,50.0,0.48,0.24,0.17,0.33,22.0,0,0,0,0.3,0.3,0.05,+0.7,+0.7
Diogo Barbosa,BRA,DF,Grêmio,30,1992,4.3,0,1,0,0.0,0.23,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Gabriel Barbosa,BRA,FW,Flamengo,26,1996,17.1,5,43,14,32.6,2.51,0.82,0.02,0.07,18.0,0,4,5,9.5,5.6,0.13,-4.5,-4.6
Lucas Barbosa,BRA,"FW,MF",Santos,21,2001,1.1,0,1,1,100.0,0.87,0.87,0.00,0.00,6.4,0,0,0,0.3,0.3,0.29,-0.3,-0.3
Lucas Barbosa,BRA,"MF,FW",Coritiba,21,2001,1.1,0,4,1,25.0,3.53,0.88,0.00,0.00,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Chrystian Barletta,BRA,"FW,MF",Corinthians,21,2001,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Cauan Barros,BRA,MF,Vasco da Gama,18,2004,2.6,1,5,1,20.0,1.90,0.38,0.20,1.00,13.3,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Gabriel Barros,BRA,"FW,MF",Internacional,21,2001,2.0,0,2,0,0.0,1.02,0.00,0.00,,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Bastos,ANG,DF,Botafogo (RJ),31,1991,1.3,0,1,0,0.0,0.76,0.00,0.00,,8.9,0,0,0,0.0,0.0,0.04,0.0,0.0
Fellipe Bastos,BRA,MF,Goiás,32,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Diogo Batista,BRA,"DF,MF",Coritiba,19,2003,5.9,0,6,2,33.3,1.02,0.34,0.00,0.00,29.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Rodrigo Battaglia,ARG,MF,Atlético Mineiro,31,1991,19.2,0,17,3,17.6,0.89,0.16,0.00,0.00,18.7,0,0,0,0.9,0.9,0.05,-0.9,-0.9
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,25,1997,22.2,2,38,13,34.2,1.71,0.59,0.05,0.15,18.7,5,0,0,2.8,2.8,0.08,-0.8,-0.8
Matheus Belém,BRA,DF,São Paulo,19,2003,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Belezi,BRA,DF,Ath Paranaense,19,2003,0.5,0,1,0,0.0,2.00,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.01,0.0,0.0
Ramiro Benetti,BRA,MF,Cruzeiro,29,1993,4.5,1,6,2,33.3,1.33,0.44,0.17,0.50,18.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2
Martín Benítez,ARG,"MF,FW",América (MG),28,1994,12.4,3,36,10,27.8,2.89,0.80,0.08,0.30,24.6,6,0,0,2.5,2.5,0.07,+0.5,+0.5
Bento,BRA,GK,Ath Paranaense,23,1999,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Beraldo,BRA,DF,São Paulo,19,2003,24.0,1,14,6,42.9,0.58,0.25,0.07,0.17,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0
Lucas Besozzi,ARG,"FW,MF",Grêmio,20,2003,4.4,1,6,5,83.3,1.35,1.13,0.17,0.20,18.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7
Matheus Bianqui,BRA,MF,Coritiba,25,1998,15.8,2,29,8,27.6,1.84,0.51,0.07,0.25,20.3,0,0,0,1.7,1.7,0.06,+0.3,+0.3
