Player,Nation,Pos,Squad,Born,Seasons
Fredrik Aursnes,NOR,"FW,MF",Benfica,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
Sardar Azmoun,IRN,FW,Leverkusen,1995,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Europa League', 'Serie A'], 'WC 2022': ['WC 2022']}"
César Azpilicueta,ESP,DF,Chelsea,1989,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga'], 'WC 2022': ['WC 2022']}"
Youri Baas,NED,DF,Ajax,2003,"{'2022-2023': ['Champions League'], '2024-2025': ['Europa League']}"
Alexander Bah,DEN,DF,Benfica,1997,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Eric Bailly,CIV,DF,Marseille,1994,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['La Liga']}"
Stefan Bajcetic,ESP,MF,Liverpool,2004,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Champions League']}"
Mitchel Bakker,NED,"MF,DF",Leverkusen,2000,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Ligue 1', 'Champions League', 'Serie A']}"
Alejandro Balde,ESP,DF,Barcelona,2003,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Leonardo Balerdi,ARG,DF,Marseille,1999,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Fodé Ballo-Touré,SEN,"DF,MF",Milan,1997,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Premier League'], 'WC 2022': ['WC 2022']}"
Tommaso Barbieri,ITA,MF,Juventus,2002,"{'2022-2023': ['Champions League', 'Serie A']}"
Roony Bardghji,SWE,FW,FC Copenhagen,2005,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Nicolò Barella,ITA,MF,Inter,1997,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Borna Barišić,CRO,DF,Rangers,1992,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Enzo Barrenechea,ARG,DF,Juventus,2001,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['La Liga']}"
Pablo Barrios,ESP,MF,Atlético Madrid,2003,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League']}"
Calvin Bassey,NGA,DF,Ajax,1999,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Fortune Bassey,NGA,FW,Viktoria Plzeň,1998,{'2022-2023': ['Champions League']}
Alessandro Bastoni,ITA,DF,Inter,1999,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Dylan Batubinsika,COD,DF,Maccabi Haifa,1996,"{'2022-2023': ['Champions League'], '2024-2025': ['Ligue 1']}"
Martin Baturina,CRO,MF,Dinamo Zagreb,2003,"{'2022-2023': ['Champions League'], '2024-2025': ['Champions League'], 'EURO 2024': ['EURO 2024']}"
Raoul Bellanova,ITA,"DF,MF",Inter,2000,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Champions League', 'Serie A']}"
Héctor Bellerín,ESP,DF,Barcelona,1995,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['La Liga']}"
Jude Bellingham,ENG,MF,Dortmund,2003,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Ismaël Bennacer,ALG,MF,Milan,1997,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Serie A']}"
Rodrigo Bentancur,URU,"MF,FW",Tottenham,1997,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League', 'Europa League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Karim Benzema,FRA,FW,Real Madrid,1987,"{'2022-2023': ['La Liga', 'Champions League']}"
Steven Berghuis,NED,"MF,FW",Ajax,1991,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Steven Bergwijn,NED,FW,Ajax,1997,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Alexandro Bernabei,ARG,FW,Celtic,2000,"{'2022-2023': ['Champions League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bernardo,BRA,DF,RB Salzburg,1995,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Bundesliga']}"
Juan Bernat,ESP,DF,Paris S-G,1993,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['La Liga']}"
Victor Bernth Kristiansen,DEN,"DF,MF",FC Copenhagen,2002,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Serie A'], '2024-2025': ['Premier League'], 'EURO 2024': ['EURO 2024']}"
Modou Biramé Ndiaye,SEN,MF,Viktoria Plzeň,1996,{'2022-2023': ['Champions League']}
Yves Bissouma,MLI,MF,Tottenham,1996,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League', 'Europa League']}"
Janis Blaswich,GER,GK,RB Leipzig,1991,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Champions League']}"
Daley Blind,NED,DF,Ajax,1990,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Petar Bočkaj,CRO,"DF,FW",Dinamo Zagreb,1996,{'2022-2023': ['Champions League']}
Nicolai Boilesen,DEN,DF,FC Copenhagen,1992,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Valerii Bondar,UKR,DF,Shakhtar,1999,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Artem Bondarenko,UKR,MF,Shakhtar,2000,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Leonardo Bonucci,ITA,DF,Juventus,1987,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Bundesliga', 'Champions League']}"
Gonçalo Borges,POR,"MF,FW",Porto,2001,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Rafael Borré,COL,FW,Eint Frankfurt,1995,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Yassine Bounou,MAR,GK,Sevilla,1991,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga'], 'WC 2022': ['WC 2022']}"
Dedryck Boyata,BEL,DF,Club Brugge,1990,"{'2022-2023': ['Champions League'], '2023-2024': ['Belgian Pro League']}"
Julian Brandt,GER,"MF,FW",Dortmund,1996,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League']}"
Gleison Bremer,BRA,DF,Juventus,1997,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'WC 2022': ['WC 2022']}"
Brian Brobbey,NED,FW,Ajax,2002,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Armando Broja,ALB,FW,Chelsea,2001,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], 'EURO 2024': ['EURO 2024']}"
Marcelo Brozović,CRO,MF,Inter,1992,"{'2022-2023': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Pavel Bucha,CZE,MF,Viktoria Plzeň,1998,{'2022-2023': ['Champions League']}
Tajon Buchanan,CAN,"DF,MF",Club Brugge,1999,"{'2022-2023': ['Champions League'], '2023-2024': ['Serie A', 'Belgian Pro League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Marko Bulat,CRO,MF,Dinamo Zagreb,2001,"{'2022-2023': ['Champions League'], '2024-2025': ['Belgian Pro League']}"
Sergio Busquets,ESP,MF,Barcelona,1988,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Aurélio Buta,POR,DF,Eint Frankfurt,1997,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Ligue 1']}"
Jovane Cabral,CPV,MF,Sporting CP,1998,"{'2022-2023': ['Champions League'], '2023-2024': ['Serie A'], '2024-2025': ['Primeira Liga']}"
Davide Calabria,ITA,DF,Milan,1996,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Europa League', 'Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A']}"
Hakan Çalhanoğlu,TUR,MF,Inter,1994,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,2002,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Emre Can,GER,MF,Dortmund,1994,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
João Cancelo,POR,DF,Bayern Munich,1994,"{'2022-2023': ['Premier League', 'Bundesliga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Nicolás Capaldo,ARG,MF,RB Salzburg,1997,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Valentin Carboni,ARG,FW,Inter,2005,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Ligue 1'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Fábio Cardoso,POR,DF,Porto,1994,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League']}"
David Carmo,ANG,DF,Porto,1999,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Europa League']}"
Carmona,ESP,DF,Sevilla,2002,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga']}"
Yannick Carrasco,BEL,"DF,MF",Atlético Madrid,1993,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Cameron Carter-Vickers,USA,DF,Celtic,1997,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Dani Carvajal,ESP,DF,Real Madrid,1992,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Fabio Carvalho,POR,"MF,FW",Liverpool,2002,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Premier League']}"
Marc Casado,ESP,MF,Barcelona,2003,"{'2022-2023': ['Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League']}"
Dani Ceballos,ESP,MF,Real Madrid,1996,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League']}"
Aleš Čermák,CZE,MF,Viktoria Plzeň,1994,{'2022-2023': ['Champions League']}
El Chadaille Bitshiabu,FRA,DF,Paris S-G,2005,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League']}"
Trevoh Chalobah,ENG,DF,Chelsea,1999,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Timothy Chandler,USA,DF,Eint Frankfurt,1990,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Bundesliga']}"
Tjaronn Chery,SUR,"MF,FW",Maccabi Haifa,1988,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League'], '2024-2025': ['Belgian Pro League']}"
Federico Chiesa,ITA,FW,Juventus,1997,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Ben Chilwell,ENG,"DF,MF",Chelsea,1996,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League']}"
Chiquinho,POR,MF,Benfica,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Europa League']}"
Tomáš Chorý,CZE,FW,Viktoria Plzeň,1995,"{'2022-2023': ['Champions League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Andreas Christensen,DEN,DF,Barcelona,1996,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Viktor Claesson,SWE,"FW,MF",FC Copenhagen,1992,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Jonathan Clauss,FRA,DF,Marseille,1992,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Europa League', 'Ligue 1']}"
William Clem,DEN,MF,FC Copenhagen,2004,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Sebastián Coates,URU,DF,Sporting CP,1990,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League'], 'WC 2022': ['WC 2022']}"
Josh Cohen,USA,GK,Maccabi Haifa,1992,{'2022-2023': ['Champions League']}
Antonio Čolak,CRO,FW,Rangers,1993,{'2022-2023': ['Champions League']}
Kingsley Coman,FRA,"FW,DF",Bayern Munich,1996,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Francisco Conceição,POR,"FW,MF",Ajax,2002,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Rodrigo Conceição,POR,DF,Porto,2000,{'2022-2023': ['Champions League']}
Andreas Cornelius,DEN,FW,FC Copenhagen,1993,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League'], 'WC 2022': ['WC 2022']}"
Pierre Cornud,FRA,DF,Maccabi Haifa,1996,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League'], '2024-2025': ['Ligue 1']}"
Ángel Correa,ARG,"FW,MF",Atlético Madrid,1995,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Joaquín Correa,ARG,FW,Inter,1994,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Serie A']}"
Bruno Xavier Almeida Costa,POR,MF,Porto,1997,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Diogo Costa,POR,GK,Porto,1999,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Soumaïla Coulibaly,FRA,DF,Dortmund,2003,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Champions League', 'Belgian Pro League'], '2024-2025': ['Ligue 1', 'Champions League']}"
Thibaut Courtois,BEL,GK,Real Madrid,1992,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Juan Cuadrado,COL,"DF,MF",Juventus,1988,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A']}"
Marc Cucurella,ESP,DF,Chelsea,1998,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League'], 'EURO 2024': ['EURO 2024']}"
Matheus Cunha,BRA,"FW,MF",Atlético Madrid,1999,"{'2022-2023': ['Premier League', 'La Liga', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Danilo D'Ambrosio,ITA,DF,Inter,1988,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Serie A']}"
Danilo,BRA,DF,Juventus,1991,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Arnaut Danjuma,NED,MF,Tottenham,1997,"{'2022-2023': ['Premier League', 'La Liga', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['La Liga', 'Champions League']}"
Mohammed Daramy,DEN,FW,FC Copenhagen,2002,"{'2022-2023': ['Champions League'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Matteo Darmian,ITA,DF,Inter,1989,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Dean David,ISR,"FW,DF",Maccabi Haifa,1996,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League']}"
Alphonso Davies,CAN,DF,Bayern Munich,2000,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
