Player,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Johan Bakayoko,"FW,DF",Belgium,20,2003,2,0,48,0.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0,1,1,0.00,0.00,0.00,0.00,0.00,1.22,0.19,1.41,1.22,1.41
Jure Balkovec,DF,Slovenia,29,1994,2,1,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Iván Balliu,DF,Albania,32,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicușor Bancu,DF,Romania,31,1992,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,7,12,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Antonín Barák,MF,Czechia,29,1994,3,1,41,0.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Bradley Barcola,"FW,MF",France,21,2002,3,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,9,7,20,0.00,0.00,0.00,0.00,0.00,0.14,0.56,0.70,0.14,0.70
Abdülkerim Bardakcı,DF,Türkiye,29,1994,4,4,360,4.0,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,6,13,1,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.14,0.06,0.14
Nicolò Barella,MF,Italy,26,1997,4,4,332,3.7,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,8,21,7,0.27,0.00,0.27,0.27,0.27,0.02,0.08,0.10,0.02,0.10
Alessandro Bastoni,DF,Italy,24,1999,4,4,360,4.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,5,21,6,0.25,0.00,0.25,0.25,0.25,0.13,0.00,0.13,0.13,0.13
Martin Baturina,FW,Croatia,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.95,0.95,0.95
Christoph Baumgartner,"MF,FW",Austria,24,1999,4,3,289,3.2,1,1,2,1,0,0,1,0,1.8,1.8,0.6,2.4,17,9,17,0.31,0.31,0.62,0.31,0.62,0.56,0.18,0.74,0.56,0.74
Altay Bayındır,GK,Türkiye,25,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jan Bednarek,DF,Poland,27,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Maximilian Beier,FW,Germany,21,2002,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jude Bellingham,"MF,FW",England,20,2003,7,7,670,7.4,2,1,3,2,0,0,2,0,0.6,0.6,0.4,1.1,26,36,36,0.27,0.13,0.40,0.27,0.40,0.09,0.06,0.15,0.09,0.15
László Bénes,MF,Slovakia,26,1997,2,0,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0,0,8,0.00,0.00,0.00,0.00,0.00,0.23,1.55,1.78,0.23,1.78
Bartosz Bereszyński,DF,Poland,31,1992,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Steven Bergwijn,FW,Netherlands,26,1997,2,2,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,7,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Medon Berisha,MF,Albania,20,2003,1,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,4,2,156,1.7,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,5,1,18,0.00,0.58,0.58,0.00,0.58,0.02,0.17,0.19,0.02,0.19
Matúš Bero,"MF,DF",Slovakia,28,1995,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
Jaka Bijol,DF,Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Veljko Birmančević,DF,Serbia,25,1998,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,7,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Daley Blind,FW,Netherlands,33,1990,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bendegúz Bolla,DF,Hungary,24,1999,3,2,204,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,13,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13
Endre Botka,DF,Hungary,29,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jarrod Bowen,FW,England,27,1996,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.49,0.00,0.49
Róbert Boženík,FW,Slovakia,24,1999,4,2,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,10,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07
Volodymyr Brazhko,MF,Ukraine,22,2002,3,2,182,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
David Brekalo,MF,Slovenia,25,1998,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brian Brobbey,FW,Netherlands,21,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Armando Broja,FW,Albania,22,2001,2,1,108,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,1,4,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.23,0.18,0.23
Marcelo Brozović,MF,Croatia,31,1992,3,3,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,13,6,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
Jacob Bruun Larsen,FW,Denmark,25,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ante Budimir,FW,Croatia,32,1991,3,1,122,1.4,0,1,1,0,0,0,0,0,0.8,0.5,1.2,1.7,1,2,5,0.00,0.74,0.74,0.00,0.74,0.60,0.87,1.48,0.38,1.25
Adam Buksa,FW,Poland,27,1996,2,2,149,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,1,1,6,0.60,0.00,0.60,0.60,0.60,0.10,0.11,0.21,0.10,0.21
Andrei Burcă,DF,Romania,30,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,6,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Riccardo Calafiori,DF,Italy,21,2002,3,3,270,3.0,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,7,11,1,0.00,0.33,0.33,0.00,0.33,0.10,0.08,0.17,0.10,0.17
Hakan Çalhanoğlu,MF,Türkiye,29,1994,4,4,355,3.9,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,5,18,12,0.25,0.00,0.25,0.25,0.25,0.09,0.05,0.14,0.09,0.14
Eduardo Camavinga,MF,France,21,2002,4,1,169,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,12,5,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.20,0.15,0.20
Andrea Cambiaso,"FW,DF",Italy,23,2000,3,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emre Can,MF,Germany,30,1994,4,1,102,1.1,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.1,1,4,1,0.88,0.00,0.88,0.88,0.88,0.03,0.03,0.06,0.03,0.06
João Cancelo,"DF,MF",Portugal,29,1994,4,4,345,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,14,36,26,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11
Yannick Carrasco,"DF,FW",Belgium,30,1993,4,2,218,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5,10,12,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Dani Carvajal,DF,Spain,32,1992,5,5,469,5.2,1,0,1,1,0,0,3,1,0.5,0.5,0.5,1.0,11,23,15,0.19,0.00,0.19,0.19,0.19,0.10,0.09,0.19,0.10,0.19
Timothy Castagne,DF,Belgium,28,1995,4,4,357,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,11,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Koen Casteels,GK,Belgium,31,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Žan Celar,"FW,MF",Slovenia,24,1999,3,0,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Zeki Çelik,"DF,MF",Türkiye,26,1997,3,1,105,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,1,3,11,0.00,0.00,0.00,0.00,0.00,0.17,0.46,0.63,0.17,0.63
Václav Černý,MF,Czechia,26,1997,1,1,54,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,1,2,0.00,0.00,0.00,0.00,0.00,0.81,0.17,0.99,0.81,0.99
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,4,3,244,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,11,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.14,0.02,0.14
Federico Chiesa,"FW,MF",Italy,26,1997,4,3,263,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,14,5,32,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
Tomáš Chorý,MF,Czechia,29,1995,2,0,36,0.4,0,0,0,0,0,0,0,1,0.4,0.4,0.0,0.4,0,0,1,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00
Andreas Christensen,DF,Denmark,27,1996,4,4,350,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,9,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Ryan Christie,"MF,FW",Scotland,28,1995,3,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mojmir Chytil,FW,Czechia,24,1999,3,1,107,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,2,0.00,0.00,0.00,0.00,0.00,0.16,0.10,0.26,0.16,0.26
Alexandru Cicâldău,MF,Romania,26,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florinel Coman,MF,Romania,25,1998,2,2,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,1,4,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
Kingsley Coman,MF,France,27,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Conceição,"FW,MF",Portugal,21,2002,4,1,182,2.0,1,0,1,1,0,0,1,0,0.9,0.9,1.6,2.5,15,9,34,0.49,0.00,0.49,0.49,0.49,0.66,1.21,1.88,0.66,1.88
Diogo Costa,GK,Portugal,24,1999,5,5,510,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vladimír Coufal,"DF,FW",Czechia,31,1992,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,10,11,12,0.00,0.33,0.33,0.00,0.33,0.00,0.19,0.19,0.00,0.19
Bryan Cristante,MF,Italy,28,1995,3,1,133,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,2,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18
Kevin Csoboth,DF,Hungary,23,2000,2,0,9,0.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,2,1,10.00,0.00,10.00,10.00,10.00,6.22,0.00,6.22,6.22,6.22
Marc Cucurella,DF,Spain,25,1998,6,6,545,6.1,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.2,16,29,33,0.00,0.17,0.17,0.00,0.17,0.00,0.20,0.20,0.00,0.20
Mirlind Daku,FW,Albania,26,1998,1,0,6,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,1.71,1.99,3.70,1.71,3.70
Diogo Dalot,"DF,MF",Portugal,24,1999,2,2,152,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,13,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
Mikkel Damsgaard,FW,Denmark,23,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Kevin Danso,DF,Austria,25,1998,3,2,212,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,22,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Márton Dárdai,DF,Hungary,21,2002,3,2,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Matteo Darmian,DF,Italy,34,1989,3,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,4,1,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,3,11,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Paweł Dawidowicz,DF,Poland,28,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Kevin De Bruyne,MF,Belgium,32,1991,4,4,360,4.0,1,0,1,1,0,0,0,0,0.9,0.9,1.6,2.5,7,28,21,0.25,0.00,0.25,0.25,0.25,0.21,0.40,0.61,0.21,0.61
Charles De Ketelaere,FW,Belgium,22,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zeno Debast,DF,Belgium,20,2003,2,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Thomas Delaney,MF,Denmark,32,1991,3,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,4,0.00,0.00,0.00,0.00,0.00,0.12,0.25,0.37,0.12,0.37
Ousmane Dembélé,"FW,MF",France,26,1997,5,4,361,4.0,0,0,0,0,0,0,1,0,0.5,0.5,1.2,1.7,32,14,46,0.00,0.00,0.00,0.00,0.00,0.15,0.32,0.47,0.15,0.47
Merih Demiral,DF,Türkiye,25,1998,4,2,208,2.3,2,0,2,2,0,0,0,0,0.7,0.7,0.0,0.7,0,4,0,0.87,0.00,0.87,0.87,0.87,0.32,0.01,0.32,0.32,0.32
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,23,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Rúben Dias,DF,Portugal,26,1997,4,4,420,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,22,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Federico Dimarco,"DF,FW",Italy,26,1997,3,3,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,6,5,13,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
Berat Djimsiti,DF,Albania,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04
Jeremy Doku,"FW,MF",Belgium,21,2002,4,4,320,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,30,10,31,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23
Kasper Dolberg,FW,Denmark,26,1997,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gianluigi Donnarumma,GK,Italy,24,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Doudera,FW,Czechia,25,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Artem Dovbyk,FW,Ukraine,26,1997,3,3,246,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,2,2,12,0.00,0.00,0.00,0.00,0.00,0.23,0.20,0.44,0.23,0.44
Denis Drăguș,FW,Romania,24,1999,4,4,291,3.2,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.1,2,3,13,0.31,0.00,0.31,0.31,0.31,0.33,0.02,0.35,0.33,0.35
Radu Drăgușin,DF,Romania,21,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Vanja Drkušič,DF,Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Kwadwo Duah,FW,Switzerland,26,1997,3,1,107,1.2,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,1,1,5,0.84,0.00,0.84,0.84,0.84,0.60,0.00,0.60,0.60,0.60
Martin Dúbravka,GK,Slovakia,35,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ondrej Duda,MF,Slovakia,29,1994,4,4,317,3.5,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,2,9,9,0.28,0.00,0.28,0.28,0.28,0.08,0.04,0.12,0.08,0.12
Denzel Dumfries,DF,Netherlands,27,1996,5,5,449,5.0,0,0,0,0,0,0,2,0,0.3,0.3,0.7,0.9,7,19,42,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lasha Dvali,DF,Georgia,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timi Elšnik,MF,Slovenia,25,1998,4,4,359,4.0,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.9,12,11,3,0.00,0.25,0.25,0.00,0.25,0.08,0.14,0.22,0.08,0.22
