Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Marcos Felipe,BRA,GK,,26,1996,37,37,"3,330",37.0,51,1.38,183,133,75.4,12,8,17,9,24.3,6,6,0,0,0.0
Danilo Fernandes,BRA,GK,,34,1988,1,1,37,0.4,,,6,6,,,,1,,,,,,,
Gatito Fernández,PAR,GK,(RJ),34,1988,1,0,45,0.5,1,2.00,4,3,75.0,0,0,0,0,,0,0,0,0,
Gabriel,BRA,GK,,30,1992,31,31,"2,765",30.7,60,1.95,169,110,68.6,7,5,19,6,19.4,8,7,1,0,12.5
Jandrei,BRA,GK,Paulo,29,1993,5,5,450,5.0,4,0.80,17,13,88.2,1,3,1,2,40.0,2,2,0,0,0.0
Léo Jardim,BRA,GK,da Gama,27,1995,38,38,"3,420",38.0,51,1.34,182,130,74.2,12,9,17,9,23.7,5,4,1,0,20.0
John,BRA,GK,,26,1996,9,9,810,9.0,5,0.56,39,34,87.2,5,3,1,5,55.6,0,0,0,0,
Jori,BRA,GK,(MG),26,1996,11,11,990,11.0,25,2.27,72,48,68.1,1,3,7,0,0.0,2,2,0,0,0.0
Keiller,BRA,GK,,26,1996,10,10,900,10.0,15,1.50,43,27,67.4,2,2,6,1,10.0,2,1,1,0,50.0
Maurício Kozlinski,BRA,GK,,31,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Leonardo Linck,BRA,GK,Paranaense,21,2001,5,5,450,5.0,6,1.20,30,23,80.0,2,3,0,1,20.0,1,0,1,0,100.0
Marcelo Lomba,BRA,GK,,36,1986,3,3,270,3.0,3,1.00,16,13,87.5,1,0,2,1,33.3,1,1,0,0,0.0
Lucão,BRA,GK,Bull Bragantino,21,2001,5,5,450,5.0,8,1.60,14,6,50.0,2,2,1,1,20.0,1,1,0,0,0.0
Pedro Luccas,BRA,GK,,19,2004,3,3,270,3.0,4,1.33,21,17,85.7,0,1,2,0,0.0,1,1,0,0,0.0
Matheus Mendes,BRA,GK,Mineiro,23,1999,2,2,180,2.0,1,0.50,8,7,87.5,2,0,0,1,50.0,0,0,0,0,
Carlos Miguel,BRA,GK,,24,1998,2,1,110,1.2,0,0.00,6,6,100.0,1,0,0,2,200.0,0,0,0,0,
Fernando Miguel,BRA,GK,,37,1985,6,5,462,5.1,5,0.97,28,23,82.1,2,3,0,1,20.0,1,0,0,1,
Mateus Pasinato,BRA,GK,(MG),30,1992,10,10,900,10.0,20,2.00,59,39,67.8,2,4,4,1,10.0,2,1,0,1,0.0
João Paulo,BRA,GK,,27,1995,36,36,"3,211",35.7,51,1.43,181,130,74.0,11,10,15,8,22.2,6,4,1,1,20.0
Lucas Perri,BRA,GK,(RJ),25,1997,38,38,"3,375",37.5,36,0.96,166,131,78.3,18,10,10,15,39.5,1,0,0,1,
Rafael Pires,BRA,GK,Paulo,33,1989,33,33,"2,970",33.0,34,1.03,117,84,76.1,13,8,12,13,39.4,7,6,0,1,0.0
Luan Polli,BRA,GK,,29,1993,5,4,385,4.3,9,2.10,30,21,73.3,1,0,3,0,0.0,1,1,0,0,0.0
Marcelo Rangel,BRA,GK,,34,1988,3,3,270,3.0,8,2.67,14,7,57.1,1,0,2,0,0.0,2,2,0,0,0.0
Pedro Rangel,BRA,GK,,22,2000,2,2,180,2.0,5,2.50,10,5,50.0,0,1,1,0,0.0,0,0,0,0,
João Ricardo Riedi,BRA,GK,,34,1988,32,32,"2,868",31.9,39,1.22,131,92,72.5,13,5,14,8,25.0,6,3,2,1,40.0
Sergio Rochet,URU,GK,,29,1993,19,19,"1,710",19.0,25,1.32,82,58,75.6,8,5,6,5,26.3,5,5,0,0,0.0
Agustín Rossi,ARG,GK,,27,1995,15,15,"1,350",15.0,12,0.80,54,42,81.5,8,3,4,8,53.3,2,2,0,0,0.0
Santos,BRA,GK,,32,1990,6,5,490,5.4,8,1.47,24,16,70.8,2,0,3,2,40.0,1,1,0,0,0.0
Cleiton Schwengber,BRA,GK,Bull Bragantino,25,1997,33,33,"2,970",33.0,27,0.82,116,89,81.9,15,9,9,16,48.5,7,6,1,0,14.3
Tadeu,BRA,GK,,30,1992,35,35,"3,150",35.0,45,1.29,162,117,74.1,8,11,16,10,28.6,3,3,0,0,0.0
Vladimir,BRA,GK,,33,1989,3,2,209,2.3,13,5.60,21,10,38.1,0,0,2,0,0.0,0,0,0,0,
Walter,BRA,GK,,35,1987,35,35,"3,150",35.0,35,1.00,139,106,77.7,13,9,13,12,34.3,4,4,0,0,0.0
Wéverton,BRA,GK,,35,1987,35,35,"3,150",35.0,30,0.86,133,103,79.7,19,10,6,15,42.9,4,3,1,0,25.0
