Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,11,0.80,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,52,5.22,39,0,6,3,4,0,9,0.90,5,0,2,1,1,0
Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,9,3.40,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,47,2.20,43,1,1,2,0,0,5,0.23,5,0,0,0,0,0
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,9,2.30,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,13,1.30,12,0,0,0,1,0,1,0.10,0,0,0,0,1,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,37,2.45,29,1,0,1,5,1,0,0.00,0,0,0,0,0,0
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,55,1.97,45,1,0,3,2,4,4,0.14,4,0,0,0,0,0
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,36,1.59,28,0,2,4,1,1,6,0.26,3,0,1,2,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,57,3.40,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,32,1.72,22,3,4,1,2,0,1,0.05,0,0,0,1,0,0
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,19,2.09,12,1,3,2,0,1,1,0.11,0,0,0,1,0,0
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,88,4.91,59,11,6,3,4,5,9,0.50,7,0,0,0,0,2
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,6,1.75,4,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,5,0.64,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,1,1.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,16,1.31,13,0,2,0,1,0,3,0.25,3,0,0,0,0,0
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,18,1.40,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,118,4.60,81,29,0,7,0,1,9,0.35,8,1,0,0,0,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,4,0.18,2,0,0,2,0,0,1,0.04,1,0,0,0,0,0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,6,1.42,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,34,3.56,20,4,5,0,5,0,4,0.42,3,0,0,0,1,0
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,34,2.39,23,0,5,1,5,0,3,0.21,1,0,1,0,1,0
Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,40,3.56,24,11,3,2,0,0,2,0.18,1,1,0,0,0,0
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,11,0.39,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,9,2.41,4,0,1,3,1,0,0,0.00,0,0,0,0,0,0
Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,58,2.80,37,2,6,6,6,1,3,0.15,3,0,0,0,0,0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,29,2.71,18,3,3,3,2,0,1,0.09,1,0,0,0,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,52,2.41,40,1,3,7,1,0,4,0.19,2,1,0,1,0,0
Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,64,2.74,38,1,9,5,8,3,7,0.30,4,0,0,0,2,1
Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,8,2.86,7,1,0,0,0,0,1,0.36,1,0,0,0,0,0
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,6,0.70,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0
Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,14,2.22,8,1,2,1,2,0,0,0.00,0,0,0,0,0,0
Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,32,1.21,24,0,2,3,0,3,2,0.08,2,0,0,0,0,0
Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,22,0.78,17,1,1,3,0,0,1,0.04,1,0,0,0,0,0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,31,3.66,25,2,4,0,0,0,2,0.24,1,0,1,0,0,0
Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,10,0.78,8,2,0,0,0,0,2,0.16,2,0,0,0,0,0
Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,12,2.54,7,1,1,2,1,0,0,0.00,0,0,0,0,0,0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,4,2.90,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,20,2.02,18,0,0,1,0,1,1,0.10,1,0,0,0,0,0
Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,14,2.09,7,0,3,0,4,0,1,0.15,1,0,0,0,0,0
Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,17,3.87,6,0,5,2,3,1,0,0.00,0,0,0,0,0,0
Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,50,2.30,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,8,0.90,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,3,0.47,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,15,1.35,9,1,1,0,2,2,3,0.27,3,0,0,0,0,0
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,91,6.23,34,43,6,1,4,3,11,0.75,6,4,1,0,0,0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.10,1,0,0,0,0,0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,92,2.99,76,2,4,5,2,3,12,0.39,10,0,1,0,0,1
Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,49,1.72,41,1,0,0,5,2,3,0.11,1,0,0,0,2,0
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,6,3.20,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,54,2.88,47,0,0,4,2,1,6,0.32,6,0,0,0,0,0
Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,6,0.35,5,0,1,0,0,0,1,0.06,1,0,0,0,0,0
Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,33,2.60,30,2,0,1,0,0,3,0.24,3,0,0,0,0,0
Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,9,4.91,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,39,1.22,33,0,0,4,1,1,9,0.28,8,0,0,1,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.20,1,0,0,0,0,2
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,48,3.55,31,9,2,3,3,0,4,0.30,4,0,0,0,0,0
Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,21,2.50,12,4,1,2,2,0,0,0.00,0,0,0,0,0,0
Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,2,2.14,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,9,2.39,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,4,0.66,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,31,1.91,25,2,2,0,1,1,1,0.06,1,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,22,0.99,14,0,1,7,0,0,4,0.18,1,0,0,3,0,0
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,23,2.20,19,2,0,1,0,1,2,0.19,1,0,0,1,0,0
Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,49,2.41,32,0,9,5,1,2,4,0.20,2,0,1,1,0,0
Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,2,0.07,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,3,1.02,2,0,1,0,0,0,1,0.34,1,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,29.6,70,2.37,57,5,6,1,1,0,12,0.41,9,1,2,0,0,0
Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,5,1.22,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,8,3.08,7,0,0,1,0,0,1,0.38,1,0,0,0,0,0
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,40,3.88,13,12,2,5,8,0,5,0.48,1,2,0,1,1,0
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,35,2.45,23,2,3,2,5,0,1,0.07,0,0,0,0,1,0
Marko Arnautović,AUT,FW,Inter,Serie A,34,1989,8.9,24,2.71,22,0,0,1,1,0,3,0.34,3,0,0,0,0,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,29,1994,27.8,82,2.94,47,28,1,3,2,1,3,0.11,1,0,0,2,0,0
Mohamed El Arouch,FRA,FW,Lyon,Ligue 1,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Arribas,ESP,"MF,FW",Almería,La Liga,21,2001,22.7,92,4.04,63,12,3,6,6,2,9,0.40,5,0,1,1,1,1
Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,13.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arthur,BRA,DF,Leverkusen,Bundesliga,20,2003,2.0,7,3.41,5,1,0,0,0,1,2,0.97,2,0,0,0,0,0
Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,28,1994,22.1,65,2.95,44,1,5,8,6,1,5,0.23,3,0,0,2,0,0
Marco Asensio,ESP,"MF,FW",Paris S-G,Ligue 1,27,1996,12.4,52,4.21,38,10,1,1,1,1,7,0.57,5,1,0,1,0,0
Kristjan Asllani,ALB,MF,Inter,Serie A,21,2002,8.7,19,2.18,13,4,1,1,0,0,5,0.57,4,1,0,0,0,0
Joel Asoro,SWE,"FW,MF",Metz,Ligue 1,24,1999,9.4,21,2.23,11,2,2,1,5,0,3,0.32,1,0,1,0,1,0
Jonathan Asp Jensen,DEN,FW,Bayern Munich,Bundesliga,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,35,1987,30.1,172,5.72,120,30,7,8,7,0,20,0.67,14,2,2,1,1,0
Lorenz Assignon,TOG,DF,Burnley,Premier League,23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,23,2000,11.2,38,3.38,27,3,4,0,2,2,6,0.53,3,0,2,0,1,0
Youcef Atal,ALG,DF,Nice,Ligue 1,27,1996,4.0,12,3.01,9,0,1,1,1,0,1,0.25,1,0,0,0,0,0
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,17,2005,6.2,6,0.97,2,0,0,2,1,1,0,0.00,0,0,0,0,0,0
Arthur Atta,FRA,"MF,FW",Metz,Ligue 1,20,2003,10.3,19,1.85,15,0,2,2,0,0,3,0.29,1,0,0,2,0,0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,2002,34.0,4,0.12,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Pierre-Emerick Aubameyang,GAB,FW,Marseille,Ligue 1,34,1989,29.1,75,2.57,45,0,6,18,5,1,14,0.48,8,0,1,5,0,0
Emil Audero,ITA,GK,Inter,Serie A,26,1997,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tommaso Augello,ITA,DF,Cagliari,Serie A,28,1994,26.9,56,2.08,32,19,0,1,2,2,2,0.07,2,0,0,0,0,0
Carlos Augusto,BRA,DF,Inter,Serie A,24,1999,19.2,36,1.88,29,4,1,0,1,1,6,0.31,4,1,1,0,0,0
Yann Aurel Bisseck,GER,DF,Inter,Serie A,22,2000,10.0,10,1.00,4,0,1,2,3,0,0,0.00,0,0,0,0,0,0
Serge Aurier,CIV,"DF,MF",Nott'ham Forest,Premier League,30,1992,9.3,15,1.62,12,1,1,0,1,0,2,0.22,2,0,0,0,0,0
Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29,1994,9.6,37,3.85,23,9,0,4,1,0,7,0.73,3,2,0,2,0,0
Ezequiel Ávila,ARG,FW,Betis,La Liga,29,1994,3.3,9,2.72,3,0,2,2,2,0,1,0.30,0,0,0,0,1,0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25,1997,11.6,30,2.60,22,0,2,0,4,2,6,0.52,5,0,1,0,0,0
André Ayew,GHA,FW,Le Havre,Ligue 1,33,1989,12.3,27,2.20,18,0,5,2,0,2,1,0.08,1,0,0,0,0,0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,22,2001,17.4,25,1.44,20,0,0,1,3,1,3,0.17,2,0,0,0,1,0
Sardar Azmoun,IRN,"FW,MF",Roma,Serie A,28,1995,6.5,18,2.77,10,0,1,5,2,0,5,0.77,1,0,0,2,2,0
César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,33,1989,15.8,32,2.03,30,2,0,0,0,0,3,0.19,3,0,0,0,0,0
Paulo Azzi,BRA,"DF,MF",Cagliari,Serie A,29,1994,10.6,25,2.37,18,0,2,4,0,1,0,0.00,0,0,0,0,0,0
Oussama El Azzouzi,MAR,MF,Bologna,Serie A,22,2001,6.1,10,1.65,8,1,0,0,1,0,3,0.49,3,0,0,0,0,0
Abdellah Baallal,MAR,MF,Clermont Foot,Ligue 1,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iddrisu Baba,GHA,MF,Almería,La Liga,27,1996,15.9,18,1.13,14,0,0,1,0,3,0,0.00,0,0,0,0,0,0
Srđan Babić,SRB,DF,Almería,La Liga,27,1996,1.0,3,3.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Shavy Babicka,GAB,"FW,MF",Toulouse,Ligue 1,23,2000,4.1,9,2.17,7,0,0,2,0,0,2,0.48,2,0,0,0,0,0
Aliou Badara Baldé,GUI,"FW,DF",Nice,Ligue 1,20,2002,0.8,5,6.25,2,0,2,0,1,0,0,0.00,0,0,0,0,0,0
Loïc Bade,FRA,DF,Sevilla,La Liga,23,2000,25.3,20,0.79,18,0,0,1,0,1,4,0.16,3,0,0,1,0,0
Milan Badelj,CRO,MF,Genoa,Serie A,34,1989,28.2,57,2.02,51,1,1,2,2,0,13,0.46,11,0,1,1,0,0
Matthias Bader,GER,"DF,MF",Darmstadt 98,Bundesliga,26,1997,20.0,49,2.45,37,2,3,3,2,2,4,0.20,3,0,0,0,0,1
Benoît Badiashile,FRA,DF,Chelsea,Premier League,22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.20,3,0,0,0,0,0
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,22,2001,28.7,151,5.27,93,34,10,9,2,3,22,0.77,14,5,0,2,0,1
Jaime Báez,URU,"FW,MF",Frosinone,Serie A,28,1995,5.6,16,2.88,7,6,1,0,2,0,2,0.36,1,0,0,0,1,0
Nicola Bagnolini,ITA,GK,Bologna,Serie A,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leon Bailey,JAM,"MF,FW",Aston Villa,Premier League,25,1997,23.0,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0
