Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Jonathan Bamba,CIV,FW,Lille,Ligue 1,26,1996,34,"2,783",82,81.4,30.9,32,86,23,2,24,0,1.76,54,41,+13,+0.42,-0.71,54.6,34.6,+20.0,+0.65,-0.51
Patrick Bamford,ENG,FW,Leeds United,Premier League,28,1993,28,"1,515",54,44.3,16.8,18,70,2,10,26,0,0.82,23,31,-8,-0.48,+0.56,21.9,28.0,-6.1,-0.36,+0.28
Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,21,2001,36,"1,636",45,47.8,18.2,19,69,3,17,19,1,0.97,14,20,-6,-0.33,+0.02,15.9,21.4,-5.5,-0.30,-0.27
Mauro Bandeira,POR,MF,Arsenal,Premier League,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Filippo Bandinelli,ITA,MF,Empoli,Serie A,27,1995,35,"2,263",65,66.2,25.1,28,74,3,7,26,1,1.17,24,27,-3,-0.12,+0.58,24.9,34.7,-9.8,-0.39,+0.37
Léo Baptistão,BRA,"FW,MF",Almería,La Liga,29,1992,28,"1,726",62,50.5,19.2,24,69,1,4,19,1,1.29,28,30,-2,-0.10,+0.64,20.6,28.7,-8.2,-0.43,+0.05
Shandon Baptiste,GRN,MF,Brentford,Premier League,24,1998,23,618,27,18.1,6.9,4,68,0,19,18,5,1.35,12,6,+6,+0.87,+0.68,9.8,8.1,+1.7,+0.25,+0.06
Antonín Barák,CZE,MF,Hellas Verona,Serie A,27,1994,1,25,25,0.7,0.3,0,,0,1,25,0,0.00,0,1,-1,-3.60,-2.88,0.1,0.6,-0.5,-1.77,-1.41
Antonín Barák,CZE,MF,Fiorentina,Serie A,27,1994,30,"1,799",60,52.6,20.0,21,78,6,9,18,4,1.33,25,26,-1,-0.05,-0.66,28.2,24.1,+4.1,+0.21,-0.21
Andrea Barberis,ITA,MF,Monza,Serie A,28,1993,9,338,38,9.9,3.8,3,75,2,6,19,27,1.11,4,9,-5,-1.33,-1.36,4.6,6.0,-1.4,-0.37,-0.26
Tommaso Barbieri,ITA,DF,Juventus,Serie A,19,2002,3,109,36,3.2,1.2,2,51,0,1,8,8,1.00,0,2,-2,-1.65,-2.33,2.1,2.1,0.0,-0.01,-0.38
Barcia,ESP,DF,Celta Vigo,La Liga,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Bradley Barcola,FRA,"FW,MF",Lyon,Ligue 1,19,2002,26,"1,440",55,42.1,16.0,15,83,8,11,18,5,1.69,34,18,+16,+1.00,+0.91,25.2,24.2,+1.0,+0.06,-0.32
Melvin Bard,FRA,DF,Nice,Ligue 1,21,2000,33,"2,456",74,71.8,27.3,28,83,19,5,28,2,1.42,31,32,-1,-0.04,-1.16,39.5,35.8,+3.7,+0.13,-0.70
Francesco Bardi,ITA,GK,Bologna,Serie A,30,1992,1,90,90,2.6,1.0,1,90,1,0,,36,3.00,3,0,+3,+3.00,+2.97,0.7,0.8,-0.1,-0.14,-0.01
Keidi Bare,ALB,MF,Espanyol,La Liga,24,1997,18,503,28,14.7,5.6,4,60,0,14,19,7,0.89,5,12,-7,-1.25,-0.94,6.2,10.4,-4.2,-0.75,-0.52
Nicolò Barella,ITA,MF,Inter,Serie A,25,1997,35,"2,613",75,76.4,29.0,31,81,17,4,23,2,1.80,51,31,+20,+0.69,-0.31,53.1,27.3,+25.7,+0.89,+0.24
Kike Barja,ESP,"FW,MF",Osasuna,La Liga,25,1997,27,"1,312",49,38.4,14.6,15,70,1,12,22,11,1.30,19,18,+1,+0.07,+0.32,15.0,18.6,-3.6,-0.25,-0.15
Ross Barkley,ENG,"MF,FW",Nice,Ligue 1,28,1993,27,960,36,28.1,10.7,9,73,3,18,17,4,1.48,12,14,-2,-0.19,-0.66,16.1,15.0,+1.1,+0.11,-0.31
Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,24,1998,23,584,25,19.1,6.5,3,76,0,20,18,10,1.43,12,11,+1,+0.15,+0.23,10.6,10.7,0.0,-0.01,+0.23
Harvey Barnes,ENG,"FW,MF",Leicester City,Premier League,24,1997,34,"2,711",80,79.3,30.1,32,83,21,2,27,0,0.88,41,51,-10,-0.33,+0.56,39.4,50.8,-11.4,-0.38,-0.21
Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,22,2000,31,"2,141",69,70.0,23.8,25,81,14,6,21,2,1.39,41,36,+5,+0.21,+0.80,34.1,40.1,-6.1,-0.26,-0.22
Enzo Barrenechea,ARG,MF,Juventus,Serie A,21,2001,3,158,53,4.6,1.8,3,53,0,0,,7,3.00,4,4,0,0.00,-0.63,1.5,2.0,-0.5,-0.30,-0.70
Ander Barrenetxea,ESP,"FW,DF",Real Sociedad,La Liga,20,2001,23,878,38,25.7,9.8,9,65,0,14,21,5,2.00,14,5,+9,+0.92,+0.67,14.7,8.3,+6.4,+0.65,+0.18
Mickaël Barreto,FRA,MF,Ajaccio,Ligue 1,31,1991,20,"1,325",66,38.7,14.7,15,79,8,5,27,2,0.60,6,34,-28,-1.90,-0.91,8.3,20.7,-12.4,-0.84,-0.61
Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,19,2003,21,724,34,21.2,8.0,6,64,1,15,23,5,2.05,13,9,+4,+0.50,-0.60,13.7,10.4,+3.4,+0.42,-0.16
Musa Barrow,GAM,"FW,MF",Bologna,Serie A,23,1998,32,"1,960",61,57.3,21.8,26,72,9,6,14,2,1.59,26,31,-5,-0.23,-0.78,21.6,31.0,-9.4,-0.43,-0.71
Yacouba Barry,FRA,MF,Lens,Ligue 1,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Teddy Bartouche-Selbonne,GLP,GK,Lorient,Ligue 1,25,1997,0,,,,,0,,0,0,,13,,,,,,,,,,,
Federico Baschirotto,ITA,DF,Lecce,Serie A,25,1996,37,"3,330",90,97.4,37.0,37,90,37,0,,0,0.97,33,44,-11,-0.30,+1.70,35.5,41.3,-5.8,-0.16,+0.11
Toma Bašić,CRO,MF,Lazio,Serie A,25,1996,25,513,21,15.0,5.7,4,51,0,21,15,13,2.00,5,6,-1,-0.18,-1.14,7.8,5.2,+2.6,+0.45,+0.23
Matteo Bassi,ITA,MF,Udinese,Serie A,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alberto Basso,ITA,MF,Cremonese,Serie A,18,2004,1,16,16,0.5,0.2,0,,0,1,16,8,0.00,0,0,0,0.00,+0.87,0.3,0.5,-0.2,-1.31,-0.59
Gil Bastião Dias,POR,FW,Stuttgart,Bundesliga,25,1996,7,398,57,13.0,4.4,6,59,0,1,45,3,0.57,3,8,-5,-1.13,-0.89,3.6,4.5,-1.0,-0.22,-0.33
Álvaro Bastida,ESP,MF,Cádiz,La Liga,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Alessandro Bastoni,ITA,DF,Inter,Serie A,23,1999,29,"2,157",74,63.1,24.0,26,80,16,3,25,8,1.90,42,25,+17,+0.71,-0.15,42.5,21.9,+20.6,+0.86,+0.07
