Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Gabri Martínez,ESP,MF,Braga,21-285,2003,1,45,45,16.7,0.5,1,45,0,0,,2,1.83,0,1,-1,-2.00,-1.20,1.4,0.4,+1.0,+2.00,+1.11
Lisandro Martínez,ARG,DF,Manchester Utd,26-289,1998,3,257,86,95.2,2.9,3,86,2,0,,0,1.00,4,5,-1,-0.35,-7.27,3.8,3.5,+0.3,+0.10,+1.74
Gelson Martins,POR,FW,Olympiacos,29-175,1995,2,156,78,57.8,1.7,2,78,0,0,,0,3.00,4,0,+4,+2.31,+3.89,3.2,2.5,+0.7,+0.39,+0.76
Bruno Martins Indi,NED,DF,AZ Alkmaar,32-268,1992,1,90,90,33.3,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-2.00,0.4,1.4,-1.1,-1.05,-1.60
Javi Martón,ESP,FW,Athletic Club,25-180,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Adam Marušić,MNE,DF,Lazio,32-016,1992,3,257,86,95.2,2.9,3,86,2,0,,0,3.00,9,1,+8,+2.80,+2.80,6.9,1.8,+5.1,+1.77,+1.61
Roei Mashpati,ISR,GK,Maccabi Tel Aviv,31-345,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.71,2,6,-4,-1.33,,4.5,6.0,-1.5,-0.51,
Giorgos Masouras,GRE,FW,Olympiacos,30-306,1994,2,17,9,6.3,0.2,0,,0,2,9,0,3.00,0,0,0,0.00,-0.71,0.0,0.4,-0.4,-2.40,-2.63
Arthur Masuaku,COD,DF,Beşiktaş,30-361,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.40,2,7,-5,-1.67,,4.5,7.3,-2.8,-0.92,
Clinton Mata,ANG,DF,Lyon,31-361,1992,3,222,74,82.2,2.5,3,74,2,0,,0,2.00,4,2,+2,+0.81,-2.94,4.9,4.8,+0.1,+0.05,-2.20
Igor Matanovic,CRO,FW,Eint Frankfurt,21-216,2003,3,222,74,82.2,2.5,3,74,1,0,,0,2.33,4,2,+2,+0.81,-1.06,3.8,2.8,+1.0,+0.40,+1.12
Pape Matar Sarr,SEN,MF,Tottenham,22-049,2002,3,189,63,70.0,2.1,2,86,1,1,18,0,3.00,4,0,+4,+1.90,+0.79,2.7,3.1,-0.4,-0.19,-1.27
Matheus,BRA,GK,Braga,32-106,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.89,3,6,-3,-1.00,,7.1,3.9,+3.2,+1.07,
Nemanja Matić,SRB,MF,Lyon,36-093,1988,2,93,47,34.4,1.0,2,47,0,0,,1,3.00,3,1,+2,+1.94,+0.92,1.8,3.0,-1.1,-1.09,-2.35
Jean Mattéo Bahoya,FRA,FW,Eint Frankfurt,19-179,2005,2,38,19,14.1,0.4,0,,0,2,19,1,2.00,1,2,-1,-2.37,-3.92,0.3,1.2,-0.9,-2.21,-2.81
Noussair Mazraoui,MAR,"DF,MF",Manchester Utd,26-354,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,5,0,0.00,,4.0,3.9,+0.1,+0.02,
Kevin Mbabu,SUI,DF,Midtjylland,29-197,1995,3,239,80,88.5,2.7,3,80,1,0,,0,2.33,3,1,+2,+0.75,-2.15,4.4,4.2,+0.2,+0.09,-2.25
Ross McCausland,NIR,FW,Rangers,21-174,2003,2,32,16,11.9,0.4,0,,0,2,16,1,1.50,1,0,+1,+2.81,+2.06,1.0,0.2,+0.9,+2.48,+1.53
Cole McKinnon,SCO,MF,Rangers,21-278,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kevin Medina,COL,DF,Qarabağ,31-238,1993,2,180,90,66.7,2.0,2,90,2,0,,0,0.00,1,5,-4,-2.00,+1.00,1.1,3.3,-2.1,-1.07,-1.84
