Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Maracás,BRA,DF,Moreirense,30-194,1994,9,675,75,75.0,7.5,7,90,7,2,23,1,1.22,10,12,-2,-0.27,-1.07,10.5,8.5,+2.0,+0.27,+0.14
Adrián Marín,ESP,DF,Braga,27-303,1997,8,620,78,68.9,6.9,7,82,4,1,45,2,1.75,13,6,+7,+1.02,+0.05,10.5,8.2,+2.3,+0.33,-0.70
João Mário,POR,"FW,MF",Benfica,31-293,1993,2,154,77,19.0,1.7,2,77,1,0,,0,1.50,0,2,-2,-1.17,-3.91,1.7,1.6,+0.1,+0.05,-1.71
João Mário Lopes,POR,DF,Porto,24-309,2000,8,358,45,39.8,4.0,4,75,2,4,15,2,2.63,11,2,+9,+2.26,-0.06,11.8,1.6,+10.3,+2.58,+1.45
Uladzislaŭ Marozaŭ,BLR,"FW,MF",Arouca,24-026,2000,7,99,14,11.0,1.1,1,45,0,6,9,1,0.86,0,2,-2,-1.82,-0.58,0.2,2.5,-2.2,-2.05,-1.06
Alejandro Marqués,VEN,FW,Estoril,24-095,2000,10,757,76,84.1,8.4,8,86,6,2,36,0,0.90,7,13,-6,-0.71,+0.55,6.9,17.5,-10.6,-1.26,+0.03
Alex Marques,POR,DF,Boavista,19-015,2005,0,,,,,0,,0,0,,10,,,,,,,,,,,
João Marques,POR,"MF,FW",Braga,22-268,2002,3,37,12,4.1,0.4,0,,0,3,12,2,1.67,0,1,-1,-2.43,-3.58,0.4,0.9,-0.5,-1.30,-1.93
Gabri Martínez,ESP,FW,Braga,21-290,2003,8,438,55,48.7,4.9,5,74,2,3,22,2,2.00,8,6,+2,+0.41,-1.15,6.7,7.1,-0.4,-0.08,-1.24
Toni Martínez,ESP,FW,Porto,27-130,1997,1,4,4,0.4,0.0,0,,0,1,4,0,3.00,0,0,0,0.00,-2.31,0.1,0.0,+0.1,+1.16,-0.55
Bernardo Sousa Pereira Brites Martins,POR,"FW,MF",Moreirense,26-339,1997,8,243,30,27.0,2.7,2,68,0,6,18,2,1.38,4,3,+1,+0.37,+0.51,2.6,3.1,-0.4,-0.16,-0.55
Matheus,BRA,GK,Braga,32-111,1992,9,810,90,90.0,9.0,9,90,9,0,,0,1.89,16,7,+9,+1.00,0.00,15.4,10.3,+5.1,+0.56,+0.12
Marco Matias,POR,FW,Farense,35-181,1989,4,156,39,17.3,1.7,2,57,0,2,21,0,0.00,0,4,-4,-2.31,-1.22,0.7,4.4,-3.7,-2.12,-1.06
Jordi Mboula,ESP,"FW,MF",Gil Vicente FC,25-236,1999,8,519,65,57.7,5.8,6,76,1,2,33,0,0.88,7,8,-1,-0.17,+0.54,7.4,7.2,+0.2,+0.04,+1.05
Tobías Medina,ARG,MF,Rio Ave,20-249,2004,1,29,29,3.2,0.3,0,,0,1,29,4,0.00,0,2,-2,-6.21,-5.17,0.1,1.2,-1.1,-3.52,-2.99
Francisco Meixedo,POR,GK,Estrela,23-172,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
Yair Mena Palacios,COL,FW,AVS Futebol,24-132,2000,4,32,8,3.6,0.4,0,,0,4,8,1,1.00,0,2,-2,-5.63,-4.80,0.1,2.2,-2.1,-5.92,-5.59
João Mendes,POR,"FW,MF",Vitória,30-017,1994,11,593,54,65.9,6.6,6,84,4,5,18,0,1.80,6,7,-1,-0.15,-1.03,2.1,6.4,-4.3,-1.20,-2.13
João Mendes,POR,DF,Vitória,24-208,2000,8,710,89,78.9,7.9,8,89,6,0,,0,1.50,9,10,-1,-0.13,-1.55,10.7,9.5,+1.2,+0.12,-3.73
Joe Mendes,SWE,DF,Braga,21-312,2002,4,184,46,20.4,2.0,2,79,1,2,13,0,2.00,2,1,+1,+0.49,-0.64,2.5,2.5,0.0,0.00,-0.69
