Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Dan-Axel Zagadou,FRA,DF,Stuttgart,25-136,1999,1,2,2,1.1,0.0,0,,0,1,2,0,0.00,0,1,-1,-45.00,-44.49,0.0,0.5,-0.5,-24.38,-24.66
Danijel Zagorac,CRO,GK,Dinamo Zagreb,37-253,1987,0,,,,,0,,0,0,,2,,,,,,,,,,,
Yoram Zague,FRA,DF,Paris S-G,18-155,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
Warren Zaïre-Emery,FRA,MF,Paris S-G,18-223,2006,2,180,90,100.0,2.0,2,90,2,0,,0,1.50,1,2,-1,-0.50,,2.5,1.0,+1.5,+0.76,
Denis Zakaria,SUI,MF,Monaco,27-332,1996,2,180,90,100.0,2.0,2,90,2,0,,0,2.00,4,3,+1,+0.50,,3.2,1.4,+1.8,+0.91,
Nicolò Zaniolo,ITA,FW,Atalanta,25-107,1999,2,52,26,28.9,0.6,0,,0,2,26,0,2.00,0,0,0,0.00,-2.11,0.4,0.6,-0.2,-0.32,-2.36
Davide Zappacosta,ITA,DF,Atalanta,32-128,1992,2,159,80,88.3,1.8,2,80,1,0,,0,2.00,3,0,+3,+1.70,+1.70,3.7,0.6,+3.1,+1.74,+3.36
Gjivai Zechiël,NED,MF,Feyenoord,20-138,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Jaroslav Zelený,CZE,DF,Sparta Prague,32-058,1992,2,180,90,100.0,2.0,2,90,2,0,,0,2.67,4,1,+3,+1.50,,3.5,2.2,+1.3,+0.64,
Kevin Zeroli,ITA,MF,Milan,19-280,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ramiz Zerrouki,ALG,"MF,FW",Feyenoord,26-144,1998,2,75,38,41.7,0.8,1,45,0,1,30,0,1.50,1,5,-4,-4.80,-5.66,1.0,3.0,-1.9,-2.32,-2.85
Edon Zhegrova,KVX,"MF,FW",Lille,25-200,1999,2,180,90,100.0,2.0,2,90,2,0,,0,1.67,1,2,-1,-0.50,,1.5,3.6,-2.0,-1.01,
Piotr Zieliński,POL,MF,Inter,30-150,1994,2,155,78,86.1,1.7,2,78,1,0,,0,2.00,4,0,+4,+2.32,+2.32,3.4,1.6,+1.8,+1.05,+5.12
Tanguy Zoukrou,FRA,DF,Young Boys,21-163,2003,2,180,90,100.0,2.0,2,90,2,0,,0,1.50,0,8,-8,-4.00,,1.4,5.4,-4.0,-2.02,
Oleksandr Zubkov,UKR,"FW,MF",Shakhtar,28-075,1996,2,152,76,84.4,1.7,2,76,0,0,,0,0.50,0,3,-3,-1.78,-1.78,1.1,3.6,-2.6,-1.52,-1.45
Lovro Zvonarek,CRO,MF,Sturm Graz,19-162,2005,2,40,20,22.2,0.4,0,,0,2,20,0,0.00,0,0,0,0.00,+1.29,0.1,1.8,-1.6,-3.66,-3.50
Oliwier Zych,POL,GK,Aston Villa,20-111,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Łukasz Łakomy,POL,MF,Young Boys,23-273,2001,1,9,9,5.0,0.1,0,,0,1,9,1,0.00,0,0,0,0.00,+4.21,0.4,0.1,+0.3,+2.53,+4.79
