Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-152,2001,9,701,78,86.5,7.8,9,78,3,0,,0,1.78,13,10,+3,+0.39,+1.21,12.8,6.9,+5.9,+0.76,+1.34
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-042,1997,4,173,43,19.2,1.9,2,71,1,2,16,6,1.75,5,2,+3,+1.56,+0.94,3.8,3.1,+0.7,+0.34,-0.14
Vernon Addo,,MF,Lecce,Serie A,,,0,,,,,0,,0,0,,1,,,,,,,,,,,
Wesley Adeh,GER,MF,Werder Bremen,Bundesliga,17-302,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Martin Adeline,FRA,MF,Reims,Ligue 1,20-339,2003,1,26,26,2.9,0.3,0,,0,1,26,1,1.00,0,1,-1,-3.46,-3.67,0.1,1.0,-1.0,-3.42,-3.13
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-292,2002,5,305,61,37.7,3.4,4,68,1,1,34,0,2.00,7,6,+1,+0.30,+0.12,6.2,4.9,+1.3,+0.39,-0.06
Raphaël Adiceam,FRA,GK,Auxerre,Ligue 1,34-125,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-309,2002,6,141,24,15.7,1.6,1,61,0,5,16,1,1.50,5,1,+4,+2.55,+2.67,2.7,1.3,+1.4,+0.87,+1.28
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-179,2000,7,205,29,25.3,2.3,2,59,0,5,17,0,2.00,5,6,-1,-0.44,-1.33,6.5,2.7,+3.9,+1.70,+0.98
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-099,2000,9,328,36,33.1,3.6,3,68,0,6,21,0,2.22,14,2,+12,+3.29,+3.16,8.2,4.7,+3.5,+0.96,+0.56
Adrián,ESP,GK,Betis,La Liga,37-307,1987,0,,,0.0,0.0,0,,0,0,,10,3.00,3,0,+3,,,,,,,
Adryelson,BRA,DF,Lyon,Ligue 1,26-227,1998,1,1,1,0.1,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-0.20,0.0,0.0,0.0,0.00,-0.39
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-177,2006,1,19,19,1.9,0.2,0,,0,1,19,5,3.00,1,0,+1,+4.74,+3.72,0.1,0.0,+0.1,+0.71,-0.03
Michel Aebischer,SUI,MF,Bologna,Serie A,27-304,1997,7,378,54,42.0,4.2,5,65,1,2,26,0,1.14,3,4,-1,-0.24,-0.58,2.6,4.6,-2.0,-0.47,-0.85
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-267,1998,9,531,59,65.6,5.9,5,81,0,4,32,0,0.89,6,9,-3,-0.51,-0.19,5.0,9.4,-4.4,-0.75,-0.83
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-141,1997,10,900,90,100.0,10.0,10,90,10,0,,0,1.40,16,15,+1,+0.10,,11.9,15.7,-3.8,-0.38,
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-038,2005,1,3,3,0.3,0.0,0,,0,1,3,5,0.00,0,0,0,0.00,+0.50,0.1,0.0,+0.1,+2.89,+3.11
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-315,2000,9,756,84,70.0,8.4,9,84,7,0,,1,2.00,14,6,+8,+0.95,+1.51,12.9,7.2,+5.7,+0.68,+0.89
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-270,2002,11,606,55,56.1,6.7,7,79,2,4,14,1,1.36,5,13,-8,-1.19,-1.76,7.4,11.0,-3.6,-0.53,-0.67
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-039,1999,9,709,79,87.5,7.9,9,79,3,0,,0,1.33,12,19,-7,-0.89,-2.67,10.1,11.2,-1.1,-0.15,-0.04
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-188,1996,8,289,36,26.8,3.2,3,68,0,5,17,4,0.88,3,6,-3,-0.93,-0.02,3.1,6.0,-3.0,-0.92,-0.09
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-220,1996,8,694,87,64.3,7.7,8,87,6,0,,0,1.38,7,6,+1,+0.13,+0.36,12.0,7.7,+4.3,+0.56,+1.13
Lalo Aguilar,ESP,DF,Leganés,La Liga,22-147,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-193,1993,5,270,54,30.0,3.0,3,81,2,2,13,2,1.80,3,0,+3,+1.00,+1.14,5.6,2.2,+3.4,+1.13,+1.35
Naouirou Ahamada,FRA,MF,Crystal Palace,Premier League,22-221,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Naouirou Ahamada,FRA,MF,Rennes,Ligue 1,22-221,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Honest Ahanor,ITA,DF,Genoa,Serie A,16-256,2008,2,85,43,8.6,0.9,1,68,0,1,17,9,1.50,1,2,-1,-1.06,+0.13,0.8,2.1,-1.2,-1.31,-0.62
Erik Ahlstrand,SWE,MF,St. Pauli,Bundesliga,23-022,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-230,1994,9,699,78,77.7,7.8,9,78,3,0,,0,1.11,9,11,-2,-0.26,+1.09,8.3,11.6,-3.3,-0.43,+0.31
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-037,1995,1,2,2,0.2,0.0,0,,0,1,2,9,3.00,1,0,+1,+45.00,+45.25,0.3,0.0,+0.3,+14.69,+14.45
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-133,2005,3,87,29,9.7,1.0,1,58,0,2,15,1,0.00,0,2,-2,-2.07,-0.74,0.2,2.4,-2.2,-2.26,-1.56
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-028,1996,10,861,86,95.7,9.6,10,86,8,0,,0,1.90,14,6,+8,+0.84,+3.14,13.2,8.9,+4.4,+0.46,+1.11
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-152,2001,10,833,83,92.6,9.3,10,83,6,0,,0,0.30,14,26,-12,-1.30,+0.05,9.7,17.3,-7.6,-0.82,+0.91
Junior Ajayi,CIV,FW,Hellas Verona,Serie A,20-025,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-202,1998,8,636,80,70.7,7.1,8,80,4,0,,0,1.25,11,12,-1,-0.14,-0.14,9.7,11.7,-2.0,-0.29,-0.97
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-254,1994,10,702,70,78.0,7.8,8,81,4,2,28,0,1.30,10,12,-2,-0.26,+0.20,10.1,13.4,-3.3,-0.43,+0.66
Jonathan Akaegbobi,GER,FW,Wolfsburg,Bundesliga,18-194,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-109,1995,9,781,87,86.8,8.7,9,87,8,0,,1,2.22,18,9,+9,+1.04,+0.28,18.0,9.1,+8.9,+1.02,+0.86
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-030,2003,2,140,70,15.6,1.6,2,70,0,0,,6,0.50,0,2,-2,-1.29,-1.52,3.6,0.9,+2.8,+1.78,+1.34
Nathan Aké,NED,DF,Manchester City,Premier League,29-261,1995,2,75,38,8.3,0.8,1,72,0,1,3,4,1.50,0,2,-2,-2.40,-3.71,0.8,2.0,-1.2,-1.47,-2.60
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-203,2004,10,539,54,54.4,6.0,6,73,0,4,25,1,1.80,7,7,0,0.00,-0.20,8.5,5.7,+2.8,+0.45,+0.37
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-325,1997,7,619,88,68.8,6.9,7,88,6,0,,0,0.71,8,11,-3,-0.44,-1.72,6.8,12.8,-6.1,-0.88,-1.62
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-254,2002,9,572,64,63.6,6.4,6,85,4,3,21,0,1.89,9,5,+4,+0.63,-0.47,11.2,6.1,+5.2,+0.81,-0.44
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-347,2001,9,633,70,70.3,7.0,7,81,5,2,34,0,1.44,13,15,-2,-0.28,-0.62,10.9,14.1,-3.2,-0.46,-0.80
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-265,2002,4,45,11,4.5,0.5,0,,0,4,11,0,0.25,1,1,0,0.00,+1.24,0.3,0.8,-0.5,-1.07,-0.34
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-200,1995,8,720,90,88.9,8.0,8,90,8,0,,1,1.00,13,17,-4,-0.50,+1.50,11.0,17.7,-6.7,-0.84,-0.64
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-227,1990,6,30,5,3.7,0.3,0,,0,6,5,2,1.00,1,1,0,0.00,+0.46,0.9,1.0,-0.1,-0.28,+0.19
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-062,1985,9,648,72,65.5,7.2,8,80,6,1,6,2,2.00,13,10,+3,+0.42,+0.94,10.3,8.6,+1.7,+0.24,-0.14
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-341,2002,1,10,10,1.1,0.1,0,,0,1,10,0,0.00,0,0,0,0.00,+1.21,0.3,0.0,+0.3,+2.92,+3.96
Alcázar,ESP,DF,Betis,La Liga,22-117,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Omar Alderete,PAR,DF,Getafe,La Liga,27-315,1996,11,990,90,91.7,11.0,11,90,11,0,,0,0.91,8,9,-1,-0.09,+0.91,12.3,10.0,+2.3,+0.21,+0.59
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-305,1998,6,305,51,28.2,3.4,3,70,0,3,32,6,0.50,1,3,-2,-0.59,-0.59,2.1,4.6,-2.5,-0.75,-1.26
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23-332,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-029,1998,10,842,84,93.6,9.4,10,84,6,0,,0,2.50,19,6,+13,+1.39,+1.39,16.9,7.3,+9.7,+1.03,+0.46
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-185,1999,6,217,36,20.1,2.4,2,63,0,4,23,5,0.17,2,7,-5,-2.07,-2.39,2.7,4.2,-1.5,-0.63,-1.13
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-291,2004,8,563,70,62.6,6.3,8,70,0,0,,0,1.75,14,7,+7,+1.12,+0.32,10.4,6.8,+3.6,+0.57,-0.02
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-110,2001,3,71,24,7.2,0.8,0,,0,3,24,4,0.00,0,0,0,0.00,+0.78,0.5,0.5,-0.1,-0.07,+0.53
Alisson,BRA,GK,Liverpool,Premier League,32-034,1992,6,528,88,58.7,5.9,6,88,5,0,,0,2.50,10,2,+8,+1.36,+0.15,11.6,3.9,+7.7,+1.31,+0.75
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25-259,1999,1,2,2,0.2,0.0,0,,0,1,2,3,3.00,0,0,0,0.00,+0.17,0.0,0.0,0.0,0.00,-0.28
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-252,1995,7,454,65,50.4,5.0,6,73,0,1,16,0,1.43,7,7,0,0.00,+1.01,6.4,8.2,-1.8,-0.36,+0.28
Alex Almansa,ESP,FW,Espanyol,La Liga,20-363,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-159,2000,9,454,50,45.9,5.0,5,74,1,4,21,1,0.67,4,9,-5,-0.99,-0.32,3.8,7.8,-4.0,-0.79,+0.20
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-185,2004,2,48,24,4.4,0.5,0,,0,2,24,0,0.50,1,1,0,0.00,+0.17,1.1,1.0,+0.1,+0.24,-0.01
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-269,1994,5,105,21,11.7,1.2,1,67,0,4,10,5,1.00,1,2,-1,-0.86,-0.97,2.1,2.1,+0.1,+0.05,-0.01
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25-118,1999,10,327,33,33.0,3.6,1,55,0,9,30,1,0.80,7,8,-1,-0.28,0.00,7.4,6.4,+1.0,+0.28,+0.64
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-313,1990,8,642,80,59.4,7.1,6,90,6,2,51,0,1.25,6,9,-3,-0.42,-0.63,9.2,6.0,+3.3,+0.46,+0.45
Giorgio Altare,ITA,DF,Venezia,Serie A,26-088,1998,6,345,58,34.8,3.8,4,76,2,2,21,2,0.83,3,6,-3,-0.78,+0.05,3.5,5.4,-1.9,-0.49,+0.04
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23-222,2001,7,434,62,40.2,4.8,5,77,2,2,25,4,1.14,6,9,-3,-0.62,-0.48,3.8,6.9,-3.1,-0.64,+0.30
Sergi Altimira,ESP,MF,Betis,La Liga,23-072,2001,9,556,62,51.5,6.2,6,75,2,3,35,3,2.00,7,3,+4,+0.65,+0.99,11.2,6.4,+4.7,+0.77,+1.02
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,27-012,1997,8,408,51,45.3,4.5,5,69,1,3,21,0,1.25,3,8,-5,-1.10,-0.92,5.2,8.9,-3.7,-0.81,-0.92
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-126,2003,12,876,73,81.1,9.7,9,86,7,3,34,0,1.33,15,17,-2,-0.21,-0.21,14.6,10.0,+4.5,+0.46,+0.99
Iker Álvarez,AND,GK,Villarreal,La Liga,23-103,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-279,2000,12,699,58,64.7,7.8,8,73,2,4,29,0,1.92,10,3,+7,+0.90,-0.04,9.1,7.2,+2.0,+0.26,-1.45
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-286,1995,5,450,90,41.7,5.0,5,90,5,0,,2,1.00,3,4,-1,-0.20,-1.20,3.6,5.0,-1.4,-0.29,-1.20
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-185,2002,5,98,20,12.1,1.1,1,56,0,4,11,1,1.40,0,0,0,0.00,+0.63,1.2,1.3,-0.1,-0.10,+0.05
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,27-356,1996,10,664,66,61.5,7.4,9,70,0,1,32,0,0.80,6,12,-6,-0.81,+1.13,7.6,10.9,-3.4,-0.46,+0.92
Harry Amass,ENG,DF,Manchester Utd,Premier League,17-234,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,
Amath,SEN,"FW,DF",Valladolid,La Liga,28-112,1996,6,293,49,27.1,3.3,5,57,0,1,6,6,0.67,2,6,-4,-1.23,+0.03,3.2,3.7,-0.5,-0.16,+0.90
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-241,1994,8,566,71,62.9,6.3,6,85,2,2,27,1,1.25,5,12,-7,-1.11,-2.19,7.6,10.9,-3.4,-0.54,+0.09
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-097,2003,4,70,18,8.6,0.8,1,45,0,3,8,5,2.50,1,1,0,0.00,-1.09,1.4,2.1,-0.7,-0.95,-1.40
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-271,1998,8,580,73,64.4,6.4,6,90,6,2,20,2,1.13,6,6,0,0.00,+0.56,5.7,8.3,-2.7,-0.41,-0.54
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-268,1996,10,780,78,86.7,8.7,8,90,7,2,32,0,2.00,18,11,+7,+0.81,-2.19,9.8,14.2,-4.4,-0.50,-2.16
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28-009,1996,8,635,79,78.4,7.1,8,79,4,0,,0,1.25,10,9,+1,+0.14,+1.17,8.2,10.4,-2.2,-0.32,+0.66
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-110,2006,1,10,10,1.1,0.1,0,,0,1,10,3,0.00,0,0,0,0.00,+1.21,0.3,0.0,+0.3,+2.92,+3.96
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-292,2006,9,630,70,70.0,7.0,8,76,2,1,26,1,0.78,5,17,-12,-1.71,-1.05,6.7,13.9,-7.2,-1.03,-0.59
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-180,2000,7,576,82,71.1,6.4,6,89,2,1,45,0,0.86,12,11,+1,+0.16,+0.93,9.0,9.8,-0.8,-0.12,+0.25
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-076,1996,2,180,90,18.2,2.0,2,90,2,0,,0,1.00,1,1,0,0.00,-1.44,1.6,2.3,-0.7,-0.36,-1.16
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-158,1996,1,90,90,10.0,1.0,1,90,1,0,,0,0.00,1,2,-1,-1.00,-0.56,1.2,1.6,-0.4,-0.42,-0.24
Joachim Andersen,DEN,DF,Fulham,Premier League,28-158,1996,6,513,86,57.0,5.7,6,86,5,0,,1,1.67,10,8,+2,+0.35,+0.58,10.6,6.5,+4.1,+0.71,+0.73
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,21-365,2002,10,597,60,66.3,6.6,8,69,0,2,24,0,1.90,10,7,+3,+0.45,-0.74,9.0,7.1,+1.9,+0.29,-0.34
André,BRA,MF,Wolves,Premier League,23-112,2001,7,363,52,40.3,4.0,5,71,2,2,3,1,0.29,6,11,-5,-1.24,+0.10,3.7,8.2,-4.5,-1.11,-0.37
Benjamin André,FRA,MF,Lille,Ligue 1,34-094,1990,8,712,89,79.1,7.9,8,89,7,0,,0,1.75,14,9,+5,+0.63,-0.33,12.9,11.4,+1.5,+0.19,-0.99
Marcos André,BRA,FW,Valladolid,La Liga,28-016,1996,6,262,44,24.3,2.9,3,66,0,3,22,5,0.17,2,7,-5,-1.72,-0.62,2.9,6.3,-3.4,-1.18,-0.48
Francesco Andrealli,ITA,MF,Como,Serie A,17-092,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Aleksandar Andreev,BUL,GK,Girona,La Liga,18-225,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-044,1994,7,584,83,72.1,6.5,7,83,3,0,,2,1.86,13,8,+5,+0.77,+0.77,13.5,8.3,+5.2,+0.80,-0.58
Angeliño,ESP,DF,Roma,Serie A,27-306,1997,11,899,82,90.8,10.0,11,82,8,0,,0,1.18,11,11,0,0.00,+1.98,13.3,12.8,+0.6,+0.06,+1.11
Mathys Angély,FRA,DF,Wolfsburg,Bundesliga,17-198,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-253,2005,1,6,6,0.6,0.1,0,,0,1,6,0,3.00,0,0,0,0.00,-1.10,0.0,0.0,0.0,0.00,-0.74
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-348,2001,8,435,54,43.9,4.8,6,68,0,2,15,0,1.13,4,3,+1,+0.21,+0.53,2.8,5.1,-2.3,-0.47,+0.14
Jaidon Anthony,ENG,"FW,MF",Bournemouth,Premier League,24-340,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-108,1996,8,675,84,83.3,7.5,8,84,7,0,,0,1.63,15,13,+2,+0.27,+0.27,12.7,10.3,+2.4,+0.32,-0.67
Kyllian Antonio,FRA,DF,Lens,Ligue 1,16-306,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,
Michail Antonio,JAM,FW,West Ham,Premier League,34-222,1990,10,603,60,67.0,6.7,8,65,0,2,41,0,1.10,8,12,-4,-0.60,+0.01,8.5,11.3,-2.8,-0.42,-0.34
Antoniu,ESP,"MF,DF",Espanyol,La Liga,22-061,2002,4,59,15,5.5,0.7,0,,0,4,15,6,0.75,0,0,0,0.00,+0.97,1.0,0.7,+0.4,+0.53,+1.47
Antony,BRA,FW,Manchester Utd,Premier League,24-255,2000,2,28,14,3.1,0.3,0,,0,2,14,6,0.50,0,1,-1,-3.21,-3.01,0.4,0.8,-0.4,-1.31,-1.41
Anuar,MAR,"FW,MF",Valladolid,La Liga,29-295,1995,4,255,64,23.6,2.8,3,77,0,1,23,0,0.75,4,5,-1,-0.35,+1.17,4.1,4.9,-0.9,-0.31,+0.66
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-149,1992,9,646,72,71.8,7.2,6,90,6,3,35,0,1.11,9,21,-12,-1.67,-0.96,9.7,15.9,-6.2,-0.87,-0.07
Aritz Arambarri,ESP,DF,Leganés,La Liga,26-279,1998,2,177,89,16.4,2.0,2,89,1,0,,1,2.00,3,2,+1,+0.51,+1.01,2.5,2.6,-0.2,-0.08,+0.89
Mauro Arambarri,URU,MF,Getafe,La Liga,29-036,1995,12,738,62,68.3,8.2,8,81,5,4,23,0,0.83,7,8,-1,-0.12,+0.14,11.2,6.9,+4.3,+0.52,+1.16
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22-105,2002,10,694,69,64.3,7.7,8,84,5,2,12,2,1.50,7,6,+1,+0.13,+0.36,11.0,7.5,+3.5,+0.46,+0.84
Egoitz Arana,ESP,GK,Real Sociedad,La Liga,22-260,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Julian Araujo,MEX,DF,Bournemouth,Premier League,23-084,2001,7,348,50,38.7,3.9,5,61,0,2,22,3,1.29,2,7,-5,-1.29,-2.27,4.4,6.4,-2.0,-0.51,-1.37
Matías Árbol,ESP,GK,Sevilla,La Liga,22-054,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Cameron Archer,ENG,FW,Southampton,Premier League,23-107,2001,10,526,53,58.4,5.8,5,72,0,5,33,0,0.40,6,9,-3,-0.51,+1.65,7.8,13.1,-5.2,-0.90,+0.23
