Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Kévin Boma,TOG,DF,Estoril,21-353,2002,6.0,0,4,2,50.0,0.67,0.33,0.00,0.00,8.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Kiko Bondoso,POR,"FW,MF",Rio Ave,28-356,1995,6.2,1,7,4,57.1,1.14,0.65,0.14,0.25,16.9,0,0,0,1.5,1.5,0.21,-0.5,-0.5
Toni Borevkovic,CRO,DF,Vitória,27-142,1997,9.0,0,3,1,33.3,0.33,0.11,0.00,0.00,8.4,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Gonçalo Borges,POR,FW,Porto,23-223,2001,1.5,0,6,1,16.7,4.09,0.68,0.00,0.00,20.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Róbert Boženík,SVK,FW,Boavista,24-355,1999,9.9,0,22,8,36.4,2.23,0.81,0.00,0.00,15.4,0,0,0,2.1,2.1,0.10,-2.1,-2.1
Daniel Bragança,POR,MF,Sporting CP,25-164,1999,7.1,3,23,8,34.8,3.22,1.12,0.13,0.38,18.4,0,0,0,2.3,2.3,0.10,+0.7,+0.7
Bruno Brigido,BRA,GK,Estrela,33-243,1991,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rafael Brito,POR,MF,Casa Pia,22-293,2002,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bruma,POR,"FW,MF",Braga,30-014,1994,4.8,3,13,5,38.5,2.73,1.05,0.15,0.40,17.4,0,1,1,2.4,1.6,0.12,+0.6,+0.4
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-041,1993,10.0,0,4,0,0.0,0.40,0.00,0.00,,9.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Leonel Bucca,ARG,"MF,FW",Estrela,25-232,1999,5.4,2,13,5,38.5,2.42,0.93,0.15,0.40,16.7,0,0,0,1.5,1.5,0.12,+0.5,+0.5
Adrián Butzke,ESP,FW,Nacional,25-222,1999,4.5,0,13,4,30.8,2.90,0.89,0.00,0.00,13.9,0,0,0,1.4,1.4,0.11,-1.4,-1.4
Arthur Cabral,BRA,FW,Benfica,26-196,1998,1.0,1,5,4,80.0,5.23,4.19,0.20,0.25,17.7,0,0,0,0.5,0.5,0.11,+0.5,+0.5
Jovane Cabral,CPV,"FW,MF",Estrela,26-146,1998,3.5,0,4,0,0.0,1.15,0.00,0.00,,15.1,1,0,0,0.4,0.4,0.11,-0.4,-0.4
Lucas Calegari,BRA,DF,Famalicão,22-254,2002,9.5,0,1,0,0.0,0.10,0.00,0.00,,15.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Diogo Calila,POR,"MF,DF",Santa Clara,26-028,1998,5.3,1,5,3,60.0,0.95,0.57,0.20,0.33,11.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4
Ibrahima Camará,GUI,MF,Boavista,25-287,1999,7.4,0,3,1,33.3,0.41,0.14,0.00,0.00,33.6,0,0,0,0.0,0.0,0.02,0.0,0.0
André Candeias,POR,"FW,MF",Farense,21-292,2003,0.4,0,2,0,0.0,5.14,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Zé Carlos,POR,MF,Vitória,23-008,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zé Carlos,POR,DF,Gil Vicente FC,26-099,1998,8.6,0,2,0,0.0,0.23,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Álvaro Carreras,ESP,DF,Benfica,21-229,2003,8.1,1,9,2,22.2,1.11,0.25,0.11,0.50,22.2,0,0,0,0.9,0.9,0.10,+0.1,+0.1
João Carvalho,POR,"FW,MF",Estoril,27-243,1997,4.3,1,6,2,33.3,1.38,0.46,0.17,0.50,28.8,1,0,0,0.3,0.3,0.05,+0.7,+0.7
Pedro Carvalho,POR,DF,Estoril,21-267,2003,2.9,0,4,0,0.0,1.39,0.00,0.00,,12.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Vitor Carvalho,BRA,MF,Braga,27-164,1997,9.4,0,14,1,7.1,1.49,0.11,0.00,0.00,14.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Cassiano,BRA,FW,Casa Pia,35-144,1989,3.9,3,5,2,40.0,1.29,0.52,0.20,0.50,22.1,0,2,2,2.6,1.0,0.21,+0.4,0.0
Jesús Castillo,PER,MF,Gil Vicente FC,23-149,2001,5.8,0,4,1,25.0,0.69,0.17,0.00,0.00,19.0,0,0,0,0.6,0.6,0.14,-0.6,-0.6
André Castro,POR,MF,Moreirense,36-219,1988,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristian Castro,COL,DF,AVS Futebol,23-287,2001,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,27.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Geny Catamo,MOZ,"MF,DF",Sporting CP,23-286,2001,6.4,2,14,3,21.4,2.20,0.47,0.14,0.67,19.2,0,0,0,1.0,1.0,0.07,+1.0,+1.0
Cauê,BRA,FW,Gil Vicente FC,21-357,2002,5.3,1,10,3,30.0,1.88,0.56,0.10,0.33,17.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2
César,BRA,GK,Boavista,32-285,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tidjany Chabrol,FRA,FW,Gil Vicente FC,22-115,2002,3.7,0,8,1,12.5,2.14,0.27,0.00,0.00,17.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7
