Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Yari Verschaeren,BEL,"MF,FW",Anderlecht,23-113,2001,9.0,0,12,2,16.7,1.34,0.22,0.00,0.00,18.7,0,0,0,1.1,1.1,0.09,-1.1,-1.1
Birger Verstraete,BEL,MF,OH Leuven,30-200,1994,9.8,0,8,1,12.5,0.82,0.10,0.00,0.00,25.3,1,0,0,0.4,0.4,0.05,-0.4,-0.4
Andreas Verstraeten,BEL,MF,Antwerp,18-297,2006,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Vertonghen,BEL,DF,Anderlecht,37-192,1987,2.0,0,1,0,0.0,0.50,0.00,0.00,,13.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Hugo Vetlesen,NOR,MF,Club Brugge,24-247,2000,7.8,0,15,5,33.3,1.93,0.64,0.00,0.00,16.1,0,0,0,1.5,1.5,0.10,-1.5,-1.5
Malcolm Viltard,FRA,MF,Dender,22-009,2002,7.5,0,6,2,33.3,0.80,0.27,0.00,0.00,21.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Thibault Vlietinck,BEL,DF,OH Leuven,27-075,1997,3.4,1,1,1,100.0,0.30,0.30,1.00,1.00,10.9,0,0,0,0.2,0.2,0.17,+0.8,+0.8
Luka Vušković,CRO,DF,Westerlo,17-252,2007,11.5,4,17,9,52.9,1.48,0.78,0.24,0.44,18.8,0,0,0,1.2,1.2,0.07,+2.8,+2.8
Sandy Walsh,IDN,"DF,MF",Mechelen,29-233,1995,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Warleson,BRA,GK,Cercle Brugge,28-063,1996,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tsuyoshi Watanabe,JPN,DF,Gent,27-271,1997,12.0,0,9,0,0.0,0.75,0.00,0.00,,12.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Marco Weymans,BDI,"DF,MF",Beerschot,27-116,1997,5.3,0,3,1,33.3,0.57,0.19,0.00,0.00,11.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
D'Margio Wright-Phillips,ENG,"FW,MF",Beerschot,23-039,2001,1.3,0,1,0,0.0,0.79,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Rihito Yamamoto,JPN,MF,Sint-Truiden,22-326,2001,6.5,0,3,1,33.3,0.46,0.15,0.00,0.00,19.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Elton Yeboah,BEL,"MF,DF",Mechelen,19-222,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daisuke Yokota,JPN,MF,Gent,24-140,2000,2.6,1,1,1,100.0,0.39,0.39,1.00,1.00,8.3,0,0,0,0.4,0.4,0.41,+0.6,+0.6
Griffin Yow,USA,"FW,MF",Westerlo,22-038,2002,2.9,0,13,3,23.1,4.52,1.04,0.00,0.00,21.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Alhassan Yusuf,NGA,"MF,DF",Antwerp,24-107,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kahveh Zahiroleslam,USA,FW,Sint-Truiden,22-142,2002,10.4,3,23,10,43.5,2.21,0.96,0.13,0.30,15.2,0,0,0,2.4,2.4,0.11,+0.6,+0.6
Andi Zeqiri,SUI,"MF,FW",Genk,25-133,1999,0.5,0,5,2,40.0,9.57,3.83,0.00,0.00,16.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Andi Zeqiri,SUI,FW,Standard Liège,25-133,1999,4.9,2,14,3,21.4,2.83,0.61,0.07,0.33,21.9,0,1,1,2.3,1.5,0.11,-0.3,-0.5
Adem Zorgane,ALG,MF,Charleroi,24-301,2000,11.9,0,14,3,21.4,1.17,0.25,0.00,0.00,24.9,2,0,0,0.7,0.7,0.05,-0.7,-0.7
Viktor Đukanović,MNE,"DF,MF",Standard Liège,20-278,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
