Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,28-052,1996,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,30-274,1994,5.4,31,5.71,24,4,0,1,0,2,2,0.37,2,0,0,0,0,0
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,27-237,1997,9.2,10,1.09,5,0,2,2,1,0,1,0.11,1,0,0,0,0,0
Drissa Camara,CIV,"FW,MF",Parma,Serie A,22-264,2002,0.8,2,2.65,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Issiaga Camara,GUI,MF,Nice,Ligue 1,19-280,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lamine Camara,SEN,MF,Monaco,Ligue 1,20-312,2004,7.4,29,3.94,18,7,0,1,1,2,2,0.27,1,1,0,0,0,0
Mahdi Camara,FRA,MF,Brest,Ligue 1,26-131,1998,7.7,19,2.45,15,0,1,0,1,2,1,0.13,1,0,0,0,0,0
Francesco Camarda,ITA,FW,Milan,Serie A,16-243,2008,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eduardo Camavinga,FRA,MF,Real Madrid,La Liga,21-364,2002,2.3,4,1.74,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolò Cambiaghi,ITA,FW,Bologna,Serie A,23-316,2000,0.2,1,6.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,24-262,2000,10.0,36,3.60,29,3,2,0,0,2,3,0.30,3,0,0,0,0,0
Axel Camblan,FRA,"MF,FW",Brest,Ligue 1,21-070,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,23-272,2001,6.8,19,2.80,13,0,3,1,1,1,2,0.29,0,0,1,0,0,1
José Campaña,ESP,MF,Las Palmas,La Liga,31-161,1993,4.3,15,3.52,12,3,0,0,0,0,1,0.23,1,0,0,0,0,0
Cole Campbell,ISL,"FW,MF",Dortmund,Bundesliga,18-262,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Emre Can,GER,"MF,DF",Dortmund,Bundesliga,30-301,1994,6.3,7,1.11,6,0,0,1,0,0,1,0.16,1,0,0,0,0,0
Peio Canales,ESP,MF,Athletic Club,La Liga,19-296,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matteo Cancellieri,ITA,"FW,MF",Parma,Serie A,22-270,2002,3.6,7,1.93,5,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Antonio Candela,ITA,DF,Venezia,Serie A,24-195,2000,7.4,12,1.63,9,1,1,0,0,1,1,0.14,1,0,0,0,0,0
Sergi Canós,ESP,MF,Valencia,La Liga,27-280,1997,2.0,14,6.77,9,1,0,3,1,0,0,0.00,0,0,0,0,0,0
Jaydee Canvot,FRA,DF,Toulouse,Ligue 1,18-102,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pierrick Capelle,FRA,MF,Angers,Ligue 1,37-207,1987,2.9,4,1.37,4,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Gianluca Caprari,ITA,MF,Monza,Serie A,31-101,1993,4.1,18,4.41,10,5,1,0,1,1,2,0.49,2,0,0,0,0,0
Elia Caprile,ITA,GK,Napoli,Serie A,23-075,2001,3.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francesco Caputo,ITA,FW,Empoli,Serie A,37-094,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maxence Caqueret,FRA,MF,Lyon,Ligue 1,24-267,2000,6.3,14,2.23,12,0,1,1,0,0,1,0.16,1,0,0,0,0,0
Andrea Carboni,ITA,DF,Monza,Serie A,23-278,2001,7.7,5,0.65,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Franco Carboni,ITA,DF,Venezia,Serie A,21-218,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Valentin Carboni,ARG,"MF,FW",Marseille,Ligue 1,19-248,2005,1.1,5,4.37,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27-225,1997,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Irvin Cardona,FRA,"MF,FW",Espanyol,La Liga,27-092,1997,3.6,14,3.93,12,1,0,1,0,0,3,0.84,2,0,0,1,0,0
Marc Cardona,ESP,FW,Las Palmas,La Liga,29-123,1995,0.7,1,1.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergi Cardona,ESP,DF,Villarreal,La Liga,25-123,1999,10.8,25,2.31,21,0,0,4,0,0,3,0.28,3,0,0,0,0,0
Johnny Cardoso,USA,MF,Betis,La Liga,23-049,2001,5.7,9,1.59,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Diego Carlos,BRA,DF,Aston Villa,Premier League,31-238,1993,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carmona,ESP,DF,Sevilla,La Liga,22-284,2002,11.8,18,1.53,10,1,2,1,3,1,0,0.00,0,0,0,0,0,0
