Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Denso Kasius,NED,"FW,DF",AZ Alkmaar,22-030,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tomasz Kędziora,POL,DF,PAOK,30-147,1994,3.0,4,1.33,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Can Keles,AUT,FW,Beşiktaş,23-064,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anan Khalaili,ISR,"FW,DF",Union SG,20-063,2004,1.6,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Isaac Kiese Thelin,SWE,FW,Malmö,32-134,1992,1.7,3,1.72,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mārtiņš Ķigurs,LVA,"MF,DF",FK Rīgas FS,27-219,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Semih Kılıçsoy,TUR,FW,Beşiktaş,19-082,2005,0.9,3,3.42,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Antonín Kinský,CZE,GK,Slavia Prague,21-237,2003,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mathias Kjølø,NOR,MF,Twente,23-131,2001,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ansgar Knauff,GER,MF,Eint Frankfurt,22-300,2002,1.2,5,4.21,5,0,0,0,0,0,1,0.84,1,0,0,0,0,0
Robin Koch,GER,DF,Eint Frankfurt,28-111,1996,2.0,1,0.50,0,0,0,1,0,0,1,0.50,0,0,0,1,0,0
Mateusz Kochalski,POL,GK,Qarabağ,24-103,2000,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Manu Koné,FRA,MF,Roma,23-172,2001,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giannis Konstantelias,GRE,MF,PAOK,21-245,2003,2.8,10,3.52,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Peer Koopmeiners,NED,MF,AZ Alkmaar,24-185,2000,2.3,3,1.33,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Jan Kopic,CZE,DF,Viktoria Plzeň,34-154,1990,0.3,2,6.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
