Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Colin Dagba,FRA,"FW,DF",Beerschot,26-054,1998,3.0,3,1.01,1,0,0,0,1,1,0,0.00,0,0,0,0,0,0
Jón Dagur Þorsteinsson,ISL,"MF,FW",OH Leuven,25-342,1998,1.0,3,2.93,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Jesper Daland,NOR,DF,Cercle Brugge,24-301,2000,2.0,2,1.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Tobi David,CAN,FW,Union SG,23-122,2001,1.8,4,2.28,1,0,1,2,0,0,1,0.57,0,0,0,1,0,0
Maxim De Cuyper,BEL,DF,Club Brugge,23-316,2000,11.1,68,6.14,47,17,1,3,0,0,8,0.72,5,1,1,1,0,0
Dion De Neve,BEL,DF,Kortrijk,22-143,2002,8.1,23,2.84,18,1,2,2,0,0,1,0.12,0,0,0,1,0,0
Kamiel Van De Perre,BEL,MF,Union SG,20-264,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nils De Wilde,BEL,MF,Cercle Brugge,21-280,2003,0.3,1,2.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ortwin De Wolf,BEL,GK,Mechelen,27-193,1997,12.0,4,0.33,4,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Max Dean,ENG,FW,Gent,20-255,2004,4.5,5,1.10,3,0,0,2,0,0,1,0.22,1,0,0,0,0,0
Théo Defourny,BEL,GK,Charleroi,32-191,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tristan Degreef,BEL,"MF,FW",Anderlecht,19-288,2005,1.1,4,3.75,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Brecht Dejaegere,BEL,MF,Kortrijk,33-157,1991,5.1,8,1.56,5,1,1,0,1,0,1,0.19,0,0,1,0,0,0
