Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Derick,BRA,"DF,MF",Farense,31-046,1993,3.3,5,1.49,3,2,0,0,0,0,1,0.30,0,1,0,0,0,0
Ángel Di María,ARG,FW,Benfica,36-246,1988,3.8,20,5.29,12,5,0,0,2,1,2,0.53,1,1,0,0,0,0
Matheus Dias,BRA,"MF,DF",Nacional,27-253,1997,6.2,15,2.43,9,1,1,0,1,3,1,0.16,1,0,0,0,0,0
Tiago Dias,POR,FW,Casa Pia,26-166,1998,0.3,2,7.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Ousmane Diomande,CIV,DF,Sporting CP,20-318,2003,6.1,6,0.99,4,0,0,2,0,0,1,0.16,1,0,0,0,0,0
Maxime Dominguez,SUI,MF,Gil Vicente FC,28-259,1996,2.8,12,4.34,7,3,1,1,0,0,0,0.00,0,0,0,0,0,0
Issiar Dramé,MLI,"DF,MF",Estrela,25-244,1999,1.2,1,0.82,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Marcus Edwards,ENG,"FW,MF",Sporting CP,25-319,1998,0.5,6,11.25,4,1,1,0,0,0,1,1.87,0,0,1,0,0,0
Ricardo Esgaio,POR,"FW,DF",Sporting CP,31-154,1993,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tiago Esgaio,POR,"DF,MF",Arouca,29-077,1995,7.9,9,1.14,9,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Dario Essugo,POR,MF,Sporting CP,19-217,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luís Esteves,POR,MF,Nacional,26-191,1998,6.9,25,3.60,21,2,0,2,0,0,1,0.14,1,0,0,0,0,0
Stephen Eustáquio,CAN,MF,Porto,27-301,1996,2.9,8,2.76,8,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Evanilson,BRA,FW,Porto,25-011,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabiano,BRA,DF,Moreirense,24-217,2000,6.3,4,0.63,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Claudio Falcão,BRA,"MF,DF",Farense,30-106,1994,8.0,16,2.00,10,0,1,2,0,3,0,0.00,0,0,0,0,0,0
Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,27-198,1997,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martim Fernandes,POR,DF,Porto,18-273,2006,4.2,11,2.60,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Mateus Fernandes,POR,"FW,MF",Sporting CP,20-099,2004,0.3,3,10.38,1,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Roger Fernandes,GNB,"FW,MF",Braga,18-331,2005,4.7,13,2.75,8,1,1,2,1,0,0,0.00,0,0,0,0,0,0
Rúben Fernandes,POR,DF,Gil Vicente FC,38-164,1986,7.8,5,0.64,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Roberto Férnandez,ESP,FW,Braga,22-106,2002,4.4,6,1.37,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
João Ferreira Barros,POR,"MF,FW",Boavista,18-281,2006,1.1,2,1.84,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Filipe Ferreira,POR,DF,Boavista,34-020,1990,7.6,11,1.46,7,1,2,0,1,0,3,0.40,0,1,1,0,1,0
Fernando Ferreira Fonseca,POR,DF,AVS Futebol,27-217,1997,4.3,9,2.10,6,2,1,0,0,0,0,0.00,0,0,0,0,0,0
João Ferreira,POR,DF,Braga,23-209,2001,3.3,5,1.52,5,0,0,0,0,0,1,0.30,1,0,0,0,0,0
Marcelo dos Santos Ferreira,BRA,DF,Moreirense,35-082,1989,8.0,6,0.75,4,0,0,2,0,0,1,0.12,0,0,0,1,0,0
Pedro Ferreira,POR,MF,Santa Clara,26-286,1998,7.1,2,0.28,2,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Tiago Ferreira,POR,FW,Estrela,22-213,2002,0.4,1,2.31,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Figueira,POR,GK,Estoril,26-089,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tiago Fonseca Morais,POR,"FW,MF",Rio Ave,21-044,2003,4.3,13,3.05,9,0,1,2,1,0,0,0.00,0,0,0,0,0,0
José Fontán,ESP,DF,Arouca,24-249,2000,4.9,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
