Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Kostas Tzolakis,GRE,GK,Olympiacos,22-000,2002,4.0,122,87,32,9,0,0,0,0,0,0,0,0,55,3,0
Salih Uçan,TUR,MF,Beşiktaş,30-307,1994,0.4,34,32,2,1,2,0,2,0,1,0,1,0,29,0,1
Destiny Udogie,ITA,DF,Tottenham,21-346,2002,1.9,99,87,12,4,0,0,0,8,0,0,0,0,91,0,1
Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23-211,2001,2.7,150,149,1,1,0,1,1,0,0,0,0,0,125,0,3
Cengiz Ünder,TUR,FW,Fenerbahçe,27-117,1997,0.8,18,14,4,0,0,0,4,0,4,0,2,0,13,0,1
Lars Unnerstall,GER,GK,Twente,34-111,1990,2.1,88,72,16,5,0,0,0,0,0,0,0,0,57,0,0
Can Uzun,TUR,"FW,MF",Eint Frankfurt,18-363,2005,1.3,41,41,0,0,0,0,1,0,0,0,0,0,36,0,0
Alec Van Hoorenbeeck,BEL,DF,Twente,25-314,1998,1.0,56,46,10,1,0,0,0,0,0,0,0,0,54,0,0
Vladyslav Vanat,UKR,FW,Dynamo Kyiv,22-309,2002,2.7,44,36,8,0,1,0,1,0,0,0,0,0,36,0,1
Charles Vanhoutte,BEL,MF,Union SG,26-053,1998,4.0,225,204,20,8,0,1,15,2,9,6,3,0,181,1,3
Alan Varela,ARG,MF,Porto,23-127,2001,2.7,135,120,14,5,0,1,11,0,9,4,5,0,116,1,1
Barnabás Varga,HUN,FW,Ferencváros,30-288,1994,3.7,66,61,5,0,0,0,3,0,0,0,0,0,35,0,2
Daniel Vašulín,,"MF,FW",Viktoria Plzeň,26-150,1998,0.8,23,23,0,0,0,0,1,0,0,0,0,0,13,0,2
Luis Vázquez,ARG,FW,Anderlecht,23-289,2001,2.6,57,54,3,0,0,0,0,0,0,0,0,0,44,0,1
Matías Vecino,URU,MF,Lazio,33-076,1991,3.4,164,161,2,2,2,2,2,0,0,0,0,0,146,1,1
