Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Diego Collado,ESP,"MF,FW",Gil Vicente FC,23-298,2001,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Fábio Conceição,POR,"DF,MF",Rio Ave,23-188,2001,2.2,89,80,9,1,0,0,7,8,0,0,0,0,74,0,1
Leo Cordeiro,BRA,MF,Estrela,29-036,1995,7.7,384,368,12,8,2,2,1,1,0,0,0,0,323,4,5
Félix Correia,POR,"FW,MF",Gil Vicente FC,23-285,2001,8.9,330,298,29,13,9,12,31,2,14,3,5,0,226,3,9
Alberto costa,POR,DF,Vitória,21-034,2003,1.3,55,45,10,1,1,0,2,9,0,0,0,0,43,0,0
Bruno Xavier Almeida Costa,POR,"MF,FW",Nacional,27-197,1997,2.1,79,65,14,5,1,1,11,0,9,4,5,0,68,0,2
Diogo Costa,POR,GK,Porto,25-044,1999,9.0,324,265,59,13,0,1,0,0,0,0,0,0,266,0,0
Gonçalo Costa,POR,DF,Estoril,24-258,2000,0.3,22,20,2,1,0,0,3,1,0,0,0,0,13,0,0
Hélder Costa,ANG,FW,Estoril,30-295,1994,2.3,69,65,4,0,0,0,8,0,4,0,0,0,50,0,4
João Costa,POR,FW,Santa Clara,24-240,2000,1.2,33,31,2,0,0,0,0,0,0,0,0,0,23,0,1
Michel Costa,BRA,MF,Estoril,22-318,2001,6.5,239,222,17,16,1,3,3,0,0,0,0,0,200,0,7
Sandro Cruz,ANG,DF,Gil Vicente FC,23-174,2001,7.8,383,299,83,18,0,6,8,65,0,0,0,0,313,1,13
Augusto Dabo,POR,DF,Boavista,20-234,2004,1.0,33,29,4,0,0,0,1,4,0,0,0,0,22,0,1
Amadou Dante,MLI,"DF,MF",Arouca,24-026,2000,4.8,200,154,45,6,0,1,10,38,1,0,0,0,165,1,3
Mathias De Amorim,FRA,MF,Famalicão,19-328,2004,0.8,32,32,0,0,0,0,1,0,0,0,0,0,27,0,1
Zeno Debast,BEL,DF,Sporting CP,21-009,2003,5.5,503,492,11,7,1,8,1,3,0,0,0,0,462,0,2
Depú,ANG,FW,Gil Vicente FC,24-299,2000,0.5,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0
Derick,BRA,"DF,MF",Farense,31-062,1993,4.3,143,94,47,4,0,1,15,40,3,2,0,0,97,2,5
Ángel Di María,ARG,FW,Benfica,36-262,1988,4.6,289,260,26,7,5,5,39,3,16,8,2,0,216,3,5
Matheus Dias,BRA,"MF,DF",Nacional,27-269,1997,7.2,276,259,17,16,3,6,0,1,0,0,0,0,235,0,4
Tiago Dias,POR,FW,Casa Pia,26-182,1998,0.3,17,15,2,1,0,0,8,1,0,0,0,0,12,0,2
Ousmane Diomande,CIV,DF,Sporting CP,20-334,2003,6.8,634,621,12,10,0,0,0,0,0,0,0,0,599,1,3
Tiago Djaló,POR,DF,Porto,24-207,2000,1.0,69,67,2,1,0,0,0,0,0,0,0,0,66,0,0
Maxime Dominguez,SUI,MF,Gil Vicente FC,28-275,1996,2.8,108,95,13,6,2,0,4,1,4,1,2,0,97,0,1
Issiar Dramé,MLI,"DF,MF",Estrela,25-260,1999,2.2,75,71,4,4,0,0,0,0,0,0,0,0,59,0,1
Marcus Edwards,ENG,"FW,MF",Sporting CP,25-335,1998,0.5,28,27,1,0,1,0,1,0,1,1,0,0,22,0,2
Ricardo Esgaio,POR,"FW,DF",Sporting CP,31-170,1993,0.3,42,40,2,2,0,0,2,0,0,0,0,0,37,0,0
Tiago Esgaio,POR,"DF,MF",Arouca,29-093,1995,8.9,545,425,116,19,1,0,12,97,0,0,0,0,423,4,14
Dario Essugo,POR,MF,Sporting CP,19-233,2005,0.2,14,13,1,1,0,0,0,0,0,0,0,0,14,0,0
Luís Esteves,POR,MF,Nacional,26-207,1998,7.9,338,317,20,14,2,12,8,5,0,0,0,0,255,1,8
Stephen Eustáquio,CAN,MF,Porto,27-317,1996,3.0,226,219,7,3,0,1,5,0,3,0,0,0,193,0,2
Evanilson,BRA,FW,Porto,25-027,1999,0.1,4,3,1,0,0,0,0,1,0,0,0,0,2,0,0
Fabiano,BRA,DF,Moreirense,24-233,2000,6.3,306,233,72,10,1,4,14,62,0,0,0,0,223,1,7
Claudio Falcão,BRA,"MF,DF",Farense,30-122,1994,9.0,261,248,11,9,0,2,0,0,0,0,0,0,204,2,4
Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,27-214,1997,1.5,78,72,6,6,0,0,0,0,0,0,0,0,72,0,0
Martim Fernandes,POR,DF,Porto,18-289,2006,5.1,265,213,50,6,0,0,16,44,0,0,0,0,208,2,3
Mateus Fernandes,POR,"FW,MF",Sporting CP,20-115,2004,0.3,25,24,1,0,0,0,1,0,1,0,1,0,23,0,0
Roger Fernandes,GNB,"FW,MF",Braga,18-347,2005,5.2,225,210,13,2,1,0,20,7,4,1,0,0,166,2,7
