Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Kamiel Van De Perre,BEL,MF,Union SG,20-264,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nils De Wilde,BEL,MF,Cercle Brugge,21-280,2003,0.3,16,15,1,0,0,0,1,1,0,0,0,0,12,0,0
Ortwin De Wolf,BEL,GK,Mechelen,27-193,1997,12.0,493,356,136,27,0,0,0,0,0,0,0,0,370,1,0
Max Dean,ENG,FW,Gent,20-255,2004,4.5,86,79,7,0,0,1,2,0,0,0,0,0,51,0,6
Théo Defourny,BEL,GK,Charleroi,32-191,1992,1.0,29,22,7,2,0,0,0,0,0,0,0,0,20,0,0
Tristan Degreef,BEL,"MF,FW",Anderlecht,19-288,2005,1.1,41,35,5,1,0,0,6,3,1,0,1,0,28,1,3
Brecht Dejaegere,BEL,MF,Kortrijk,33-157,1991,5.1,172,155,15,5,2,1,13,4,3,2,1,0,121,2,7
Maxime Delanghe,BEL,GK,Cercle Brugge,23-163,2001,3.0,74,43,31,13,0,0,0,0,0,0,0,0,25,0,0
Mathias Delorge,BEL,MF,Gent,20-094,2004,11.8,698,652,46,30,0,22,23,2,14,7,3,1,560,0,13
Isaías Delpupo,ARG,"MF,FW",Sint-Truiden,21-216,2003,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1
Bas van den Eynden,BEL,DF,Mechelen,22-300,2002,5.0,256,244,11,8,0,2,0,0,0,0,0,0,223,1,1
Leander Dendoncker,BEL,"DF,MF",Anderlecht,29-201,1995,6.0,475,454,17,10,0,2,1,1,0,0,0,0,419,4,4
Kévin Denkey,TOG,FW,Cercle Brugge,23-338,2000,10.4,233,226,6,1,1,1,3,0,0,0,0,0,148,1,17
Alfie Devine,ENG,MF,Westerlo,20-093,2004,5.5,197,193,3,2,0,2,5,1,0,0,0,0,153,1,4
Julien Devriendt,BEL,GK,Dender,25-343,1998,1.0,26,20,6,3,0,0,0,0,0,0,0,0,15,0,0
Gilles Dewaele,BEL,DF,Kortrijk,28-263,1996,4.9,176,142,34,1,0,2,10,33,0,0,0,0,129,0,7
Ibrahim Diakité,GUI,"DF,MF",Cercle Brugge,21-002,2003,4.0,166,115,50,4,0,0,6,46,0,0,0,0,105,1,3
Guillaume Dietsch,FRA,GK,Dender,23-199,2001,0.5,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Alouis Diriken,BEL,MF,Sint-Truiden,20-303,2004,1.6,43,43,0,0,0,0,0,0,0,0,0,0,37,0,0
Kasper Dolberg,DEN,FW,Anderlecht,27-027,1997,9.6,162,158,3,0,1,0,4,0,0,0,0,0,111,1,9
Mahamadou Doumbia,MLI,MF,Antwerp,20-171,2004,10.4,353,345,5,5,0,5,2,0,0,0,0,0,300,3,3
Souleyman Doumbia,CIV,DF,Standard Liège,28-039,1996,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
Vetle Dragsnes,NOR,DF,Charleroi,30-270,1994,11.3,616,494,120,5,0,0,27,115,0,0,0,0,493,2,7
Anders Dreyer,DEN,"FW,MF",Anderlecht,26-184,1998,8.1,283,250,33,10,0,5,39,4,18,10,4,0,206,0,5
Olivier Dumont,BEL,"FW,MF",Sint-Truiden,22-241,2002,1.9,62,58,3,0,0,0,3,1,0,0,0,0,48,1,3
Dennis Eckert,GER,FW,Standard Liège,27-298,1997,4.4,116,112,4,1,0,1,5,1,1,1,0,0,75,0,0
Dennis Eckert,GER,FW,Union SG,27-298,1997,2.2,39,37,2,0,0,0,1,0,0,0,0,0,30,0,3
