Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-281,2000,3.1,83,76,6,0,0,0,2,1,0,0,0,0,64,1,5
Mohamed Aly Camara,GUI,DF,Young Boys,27-071,1997,2.0,72,69,3,1,0,1,0,0,0,0,0,0,66,0,0
Jordan Amavi,FRA,DF,Brest,30-243,1994,0.9,58,40,18,5,0,1,2,13,0,0,0,0,36,0,2
Zeki Amdouni,SUI,FW,Benfica,23-339,2000,1.2,20,20,0,0,0,0,1,0,0,0,0,0,15,0,0
Benjamin André,FRA,MF,Lille,34-096,1990,4.0,206,198,4,4,1,0,0,0,0,0,0,0,164,4,3
Robert Andrich,GER,MF,Leverkusen,30-046,1994,1.4,58,57,1,1,0,0,0,0,0,0,0,0,52,0,0
Waldemar Anton,GER,DF,Dortmund,28-110,1996,1.8,135,129,6,2,0,1,1,1,0,0,0,0,121,0,3
Maximiliano Araújo,URU,"DF,MF",Sporting CP,24-266,2000,1.9,63,54,9,0,1,0,6,7,2,1,1,0,47,0,0
Tomás Araújo,POR,DF,Benfica,22-175,2002,3.0,187,179,8,4,0,0,1,4,0,0,0,0,171,0,1
Marko Arnautović,AUT,FW,Inter,35-202,1989,1.4,41,39,2,0,1,0,2,0,0,0,0,0,28,0,1
Marco Asensio,ESP,FW,Paris S-G,28-291,1996,1.4,39,33,6,0,0,0,3,0,3,0,1,0,32,0,1
Kristjan Asllani,ALB,MF,Inter,22-243,2002,0.5,24,23,1,1,0,0,0,0,0,0,0,0,20,0,0
Yaser Asprilla,COL,"FW,MF",Girona,20-354,2003,0.5,16,15,1,0,0,0,3,1,0,0,0,0,11,0,0
Zachary Athekame,SUI,DF,Young Boys,19-330,2004,2.4,84,70,13,1,0,1,7,12,0,0,0,0,62,1,2
Carlos Augusto,BRA,DF,Inter,25-305,1999,2.6,91,86,4,1,0,0,5,3,0,0,0,0,73,1,2
Yann Aurel Bisseck,GER,DF,Inter,23-344,2000,3.0,158,143,15,8,0,0,1,1,0,0,0,0,131,0,6
Fredrik Aursnes,NOR,MF,Benfica,28-333,1995,3.4,169,164,5,3,1,0,3,2,0,0,0,0,145,0,1
Ayman Azhil,MAR,MF,Dortmund,23-211,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Babadi,NED,"FW,MF",PSV Eindhoven,19-215,2005,0.2,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0
Alexander Bah,DEN,DF,Benfica,26-334,1997,2.3,146,121,24,2,0,0,6,22,0,0,0,0,108,1,3
Samson Baidoo,AUT,DF,RB Salzburg,20-221,2004,2.8,179,174,3,1,0,0,0,1,0,0,0,0,161,2,0
Leon Bailey,JAM,FW,Aston Villa,27-090,1997,2.1,63,59,4,1,2,0,6,0,3,1,0,0,43,0,5
Stefan Bajcetic,ESP,MF,RB Salzburg,20-016,2004,1.4,107,103,4,2,0,1,1,1,1,0,1,0,91,0,1
Kenan Bajrić,SVN,DF,Slovan Bratislava,29-323,1994,4.0,148,137,11,7,1,0,0,2,0,0,0,0,128,0,2
Johan Bakayoko,BEL,FW,PSV Eindhoven,21-201,2003,3.9,155,152,3,0,0,0,16,2,0,0,0,0,127,0,5
Mitchel Bakker,NED,"DF,FW",Lille,24-140,2000,2.0,79,70,9,1,0,1,2,8,0,0,0,0,62,0,1
Alejandro Balde,ESP,DF,Barcelona,21-020,2003,3.0,124,99,23,2,0,0,5,21,0,0,0,0,106,2,2
David von Ballmoos,SUI,GK,Young Boys,29-313,1994,2.0,67,47,20,6,0,0,0,0,0,0,0,0,47,0,0
Folarin Balogun,USA,FW,Monaco,23-127,2001,0.7,19,16,3,0,0,0,0,1,0,0,0,0,15,0,2
Bradley Barcola,FRA,FW,Paris S-G,22-066,2002,3.6,135,129,5,0,1,0,5,4,1,0,0,0,103,1,7
Nicolò Barella,ITA,MF,Inter,27-274,1997,2.3,147,137,8,8,3,3,4,0,0,0,0,0,119,2,2
Ross Barkley,ENG,MF,Aston Villa,30-338,1993,0.9,35,35,0,0,0,0,0,0,0,0,0,0,29,0,0
Leandro Barreiro Martins,LUX,MF,Benfica,24-309,2000,0.1,15,14,1,1,0,0,0,0,0,0,0,0,14,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,21-145,2003,1.0,39,37,1,1,0,0,0,0,0,0,0,0,30,1,1
Tigran Barseghyan,ARM,"FW,MF",Slovan Bratislava,31-046,1993,3.7,111,102,8,0,2,3,8,3,5,3,0,1,79,1,0
Alessandro Bastoni,ITA,DF,Inter,25-208,1999,2.0,166,149,15,6,0,0,3,7,0,0,0,0,141,2,4
Martin Baturina,CRO,"MF,FW",Dinamo Zagreb,21-265,2003,3.3,133,115,17,7,0,1,11,0,7,3,4,0,112,1,3
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,25-098,1999,2.0,53,49,3,0,0,0,2,1,0,0,0,0,38,1,1
Donny van de Beek,NED,"MF,FW",Girona,27-203,1997,3.1,111,104,5,3,0,0,1,1,0,0,0,0,90,2,3
Thomas Beelen,NED,DF,Feyenoord,23-149,2001,2.6,160,150,10,5,0,0,0,1,0,0,0,0,144,0,2
Maximilian Beier,GER,"FW,MF",Dortmund,22-021,2002,1.5,32,32,0,0,0,0,2,0,0,0,0,0,23,0,1
Raoul Bellanova,ITA,DF,Atalanta,24-174,2000,2.6,136,117,17,0,0,0,16,17,0,0,0,0,107,2,3
Jude Bellingham,ENG,MF,Real Madrid,21-131,2003,3.7,168,159,9,2,1,2,2,1,0,0,0,0,149,0,2
Jeanuël Belocian,FRA,DF,Leverkusen,19-264,2005,0.1,11,10,1,0,0,0,0,1,0,0,0,0,10,0,1
Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19-265,2005,2.3,103,96,6,2,0,1,2,2,1,0,0,0,76,1,3
Walter Benítez,ARG,GK,PSV Eindhoven,31-293,1993,3.0,116,85,31,8,0,1,0,0,0,0,0,0,94,0,0
Loris Benito,SUI,DF,Young Boys,32-305,1992,1.4,87,81,6,2,0,0,0,0,0,0,0,0,77,0,1
Ramy Bensebaini,ALG,DF,Dortmund,29-205,1995,3.0,173,157,16,4,1,1,2,12,0,0,0,0,151,0,1
Lucas Beraldo,BRA,DF,Paris S-G,20-349,2003,0.0,9,6,3,2,0,0,0,1,0,0,0,0,9,0,0
Paulo Bernardo,POR,MF,Celtic,22-288,2002,1.2,44,40,4,1,0,0,5,0,3,1,2,0,31,0,0
Maxime Bernauer,FRA,DF,Dinamo Zagreb,26-129,1998,2.2,101,97,4,4,0,2,0,0,0,0,0,0,87,0,1
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-308,1999,1.0,44,37,6,0,0,0,5,4,2,2,0,0,36,1,1
Sam Beukema,NED,DF,Bologna,25-356,1998,3.7,221,216,5,4,1,2,1,1,0,0,0,0,200,0,0
Mads Bidstrup,DEN,MF,RB Salzburg,23-256,2001,1.3,36,36,0,0,0,0,4,0,0,0,0,0,22,0,5
Mika Biereth,DEN,FW,Sturm Graz,21-273,2003,3.4,46,43,2,0,0,0,2,0,0,0,0,0,23,1,4
El Bilal Touré,MLI,"FW,MF",Stuttgart,23-035,2001,1.5,39,36,3,0,0,0,1,0,0,0,0,0,29,0,0
Veljko Birmančević,SRB,FW,Sparta Prague,26-247,1998,2.8,53,50,3,0,0,2,4,0,3,3,0,0,28,0,8
Marco Bizot,NED,GK,Brest,33-242,1991,4.0,135,98,37,25,0,1,0,0,0,0,0,0,84,0,1
César Blackman,PAN,DF,Slovan Bratislava,26-219,1998,4.0,161,129,32,1,0,0,9,31,0,0,0,0,130,0,8
Hendry Blank,GER,DF,RB Salzburg,20-078,2004,1.2,89,86,3,2,1,0,0,0,0,0,0,0,79,0,1
Janis Blaswich,GER,GK,RB Salzburg,33-189,1991,3.2,117,87,30,6,0,0,0,0,0,0,0,0,85,0,0
Daley Blind,NED,DF,Girona,34-243,1990,1.0,34,28,6,2,0,0,0,4,0,0,0,0,27,0,0
Lewin Blum,SUI,DF,Young Boys,23-118,2001,2.6,104,88,15,2,0,0,5,13,0,0,0,0,91,1,1
Lamare Bogarde,NED,DF,Aston Villa,20-307,2004,0.5,11,9,2,0,0,0,0,2,0,0,0,0,9,0,0
Valerii Bondar,UKR,DF,Shakhtar,25-254,1999,4.0,210,204,6,6,0,1,0,0,0,0,0,0,197,0,0
Artem Bondarenko,UKR,MF,Shakhtar,24-078,2000,3.1,150,149,1,1,1,1,0,0,0,0,0,0,137,0,2
Victor Boniface,NGA,FW,Leverkusen,23-320,2000,2.4,47,45,1,0,3,0,0,1,0,0,0,0,33,1,2
Olivier Boscagli,FRA,DF,PSV Eindhoven,26-355,1997,4.0,337,319,16,11,0,6,0,0,0,0,0,0,304,2,1
Ayyoub Bouaddi,FRA,MF,Lille,17-036,2007,2.3,81,80,1,1,1,0,0,0,0,0,0,0,74,0,1
Conor Bradley,NIR,DF,Liverpool,21-121,2003,0.2,8,5,3,1,0,0,0,2,0,0,0,0,6,0,0
Daniel Bragança,POR,MF,Sporting CP,25-164,1999,1.9,104,100,4,3,0,1,2,1,0,0,0,0,90,0,3
Julian Brandt,GER,MF,Dortmund,28-189,1996,3.7,218,208,9,4,3,3,10,1,4,2,1,0,180,1,2
Gleison Bremer,BRA,DF,Juventus,27-234,1997,1.1,69,65,4,1,0,1,0,1,0,0,0,0,65,0,0
Marco Brescianini,ITA,MF,Atalanta,24-292,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Emi Buendía,ARG,MF,Aston Villa,27-318,1996,0.2,11,11,0,0,0,0,0,0,0,0,0,0,8,0,1
Hugo Bueno,ESP,"DF,MF",Feyenoord,22-050,2002,2.7,122,106,16,3,0,0,11,13,0,0,0,0,99,0,6
Rémy Cabella,FRA,MF,Lille,34-244,1990,1.2,61,54,7,2,0,0,2,2,2,1,1,0,56,0,0
Arthur Cabral,BRA,"FW,MF",Benfica,26-196,1998,0.3,7,6,1,0,0,1,1,0,0,0,0,0,3,0,0
Davide Calabria,ITA,DF,Milan,27-337,1996,0.8,42,33,9,1,0,0,2,8,0,0,0,0,37,0,1
Riccardo Calafiori,ITA,DF,Arsenal,22-172,2002,2.0,87,77,10,0,0,1,0,10,0,0,0,0,74,0,1
Hakan Çalhanoğlu,TUR,MF,Inter,30-273,1994,2.4,163,147,13,8,0,2,8,0,5,2,2,1,137,3,2
Amady Camara,MLI,FW,Sturm Graz,19-163,2005,0.8,20,17,3,0,0,0,0,1,0,0,0,0,16,0,0
Lamine Camara,SEN,MF,Monaco,20-311,2004,3.0,160,145,13,7,0,1,9,1,5,3,2,0,120,2,5
Mahdi Camara,FRA,MF,Brest,26-130,1998,3.4,98,91,6,0,0,0,5,0,0,0,0,0,81,1,1
Francesco Camarda,ITA,FW,Milan,16-242,2008,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Eduardo Camavinga,FRA,MF,Real Madrid,21-363,2002,1.5,88,85,3,3,0,3,1,0,0,0,0,0,81,0,1
Andrea Cambiaso,ITA,DF,Juventus,24-261,2000,3.4,234,206,27,3,0,0,7,23,1,0,1,0,201,1,7
Cole Campbell,ISL,FW,Dortmund,18-261,2006,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emre Can,GER,"MF,DF",Dortmund,30-300,1994,3.2,213,207,6,4,0,3,0,2,0,0,0,0,197,0,1
Nicolás Capaldo,ARG,"MF,DF",RB Salzburg,27-054,1997,2.7,112,102,9,2,1,1,3,6,0,0,0,0,86,1,3
Diego Carlos,BRA,DF,Aston Villa,31-237,1993,3.4,203,192,9,6,0,0,2,0,0,0,0,0,183,2,0
Marco Carnesecchi,ITA,GK,Atalanta,24-129,2000,4.0,131,93,38,8,0,0,0,0,0,0,0,0,74,0,0
Julián Carranza,ARG,FW,Feyenoord,24-169,2000,0.4,10,9,1,0,0,0,0,0,0,0,0,0,9,0,1
Álvaro Carreras,ESP,DF,Benfica,21-229,2003,4.0,258,221,36,3,0,4,9,33,0,0,0,0,214,1,7
Cameron Carter-Vickers,USA,DF,Celtic,26-312,1997,1.7,187,185,2,2,0,0,0,0,0,0,0,0,180,0,0
Dani Carvajal,ESP,DF,Real Madrid,32-301,1992,2.0,140,122,17,5,0,3,9,11,0,0,0,0,112,1,6
Marc Casado,ESP,MF,Barcelona,21-054,2003,4.0,260,252,8,7,2,1,1,1,0,0,0,0,231,0,1
Nicolò Casale,ITA,DF,Bologna,26-267,1998,0.3,18,18,0,0,0,0,0,0,0,0,0,0,18,0,0
Santiago Castro,ARG,FW,Bologna,20-039,2004,1.9,23,21,2,0,0,0,1,0,0,0,0,0,13,0,2
Geny Catamo,MOZ,"DF,MF",Sporting CP,23-286,2001,2.7,114,86,27,3,0,0,7,20,4,3,0,0,91,1,6
Dani Ceballos,ESP,MF,Real Madrid,28-092,1996,0.3,37,35,1,1,1,0,0,0,0,0,0,0,35,1,0
Julian Chabot,GER,DF,Stuttgart,26-269,1998,3.2,223,208,14,6,1,0,0,0,0,0,0,0,202,1,2
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19-175,2005,1.2,93,92,1,1,0,0,0,0,0,0,0,0,84,0,0
Brendan Chardonnet,FRA,DF,Brest,29-321,1994,3.0,151,144,7,7,0,1,0,0,0,0,0,0,122,0,0
Anrie Chase,JPN,DF,Stuttgart,20-228,2004,1.5,71,67,4,1,0,0,0,3,0,0,0,0,63,0,0
Lucas Chevalier,FRA,GK,Lille,23-001,2001,4.0,142,110,32,11,0,0,0,0,0,0,0,0,94,0,0
Federico Chiesa,ITA,FW,Liverpool,27-013,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tochi Chukwuani,DEN,MF,Sturm Graz,21-228,2003,2.9,135,131,4,4,0,0,0,0,0,0,0,0,120,0,0
Samuel Chukwueze,NGA,FW,Milan,25-169,1999,0.5,29,28,1,0,0,0,1,1,0,0,0,0,21,0,1
Bobby Clark,ENG,MF,RB Salzburg,19-274,2005,2.4,116,109,7,1,0,0,8,2,3,1,2,0,97,0,4
Silvi Clúa,ESP,MF,Girona,19-283,2005,0.9,27,27,0,0,0,0,0,0,0,0,0,0,24,0,1
Elias Cobbaut,BEL,DF,Sparta Prague,26-349,1997,1.0,41,33,8,1,0,0,1,7,0,0,0,0,23,0,0
Ebrima Colley,GAM,"MF,FW",Young Boys,24-280,2000,2.5,59,57,1,0,1,1,5,1,0,0,0,0,41,1,2
Kingsley Coman,FRA,FW,Bayern Munich,28-147,1996,1.1,59,58,1,0,1,0,2,1,0,0,0,0,50,0,1
Francisco Conceição,POR,FW,Juventus,21-329,2002,2.5,93,88,4,0,0,1,14,3,1,0,1,0,70,1,3
Abdu Conté,POR,DF,Young Boys,26-228,1998,0.3,8,7,1,0,0,0,0,1,0,0,0,0,5,0,0
Ángel Correa,ARG,"MF,FW",Atlético Madrid,29-243,1995,2.3,65,59,6,0,1,0,2,1,2,1,0,0,48,0,4
Soumaïla Coulibaly,FRA,DF,Brest,21-024,2003,4.0,189,180,9,8,0,3,0,0,0,0,0,0,170,0,0
Thibaut Courtois,BEL,GK,Real Madrid,32-180,1992,2.0,67,58,9,4,0,0,0,0,0,0,0,0,58,0,0
Yan Couto,BRA,"DF,MF",Dortmund,22-157,2002,0.7,52,46,6,1,1,0,3,5,0,0,0,0,45,0,0
Juan Cuadrado,COL,"DF,MF",Atalanta,36-165,1988,0.8,45,39,6,0,1,1,4,4,2,1,1,0,33,0,2
Pau Cubarsí,ESP,DF,Barcelona,17-290,2007,3.3,266,259,7,5,0,1,0,0,0,0,0,0,245,0,1
Andres Cuenca,ESP,DF,Barcelona,17-149,2007,0.1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
Adam Daghim,DEN,FW,RB Salzburg,19-040,2005,2.0,54,48,6,1,0,0,4,0,3,2,0,0,36,0,0
Dálcio,GNB,MF,Red Star,28-169,1996,1.9,74,70,3,0,0,0,4,3,0,0,0,0,59,1,2
Thijs Dallinga,NED,FW,Bologna,24-096,2000,2.1,32,28,4,0,0,1,0,0,0,0,0,0,23,0,1
Matteo Dams,BEL,DF,PSV Eindhoven,20-243,2004,3.6,151,131,20,7,0,1,3,13,0,0,0,0,137,0,0
Kryštof Daněk,CZE,FW,Sparta Prague,21-307,2003,0.5,11,8,3,0,0,0,0,2,0,0,0,0,10,0,0
Danilo,BRA,DF,Juventus,33-115,1991,1.3,88,81,6,3,0,1,0,0,0,0,0,0,77,1,0
Arnaut Danjuma,NED,FW,Girona,27-281,1997,2.1,75,60,15,0,0,1,18,2,13,7,5,0,53,0,2
Matteo Darmian,ITA,DF,Inter,34-341,1989,1.8,47,33,14,1,0,0,1,13,0,0,0,0,31,0,0
Juan David Cabal,COL,DF,Juventus,23-304,2001,1.7,107,93,13,2,0,2,4,11,0,0,0,0,94,1,0
Jonathan David,CAN,FW,Lille,24-298,2000,3.0,62,58,4,0,0,0,1,0,0,0,0,0,50,0,2
Alphonso Davies,CAN,DF,Bayern Munich,24-005,2000,4.0,299,271,27,6,1,1,8,21,0,0,0,0,271,1,4
Kevin De Bruyne,BEL,MF,Manchester City,33-132,1991,0.6,51,43,4,0,0,0,3,2,1,0,0,0,35,4,3
Maxim De Cuyper,BEL,DF,Club Brugge,23-321,2000,4.0,263,223,39,5,3,7,23,23,11,3,5,2,215,1,3
Charles De Ketelaere,BEL,"MF,FW",Atalanta,23-242,2001,2.2,77,74,2,0,1,0,4,1,0,0,0,0,54,1,1
Rodrigo De Paul,ARG,MF,Atlético Madrid,30-167,1994,2.8,181,174,7,5,4,3,5,1,0,0,0,0,132,0,5
Zeno Debast,BEL,DF,Sporting CP,21-014,2003,3.8,228,213,14,11,0,4,0,2,0,0,0,0,205,1,1
Amar Dedić,BIH,DF,RB Salzburg,22-081,2002,3.0,212,182,30,5,1,0,4,25,0,0,0,0,182,0,5
Romain Del Castillo,FRA,FW,Brest,28-223,1996,1.8,90,83,7,5,0,1,8,1,1,0,1,0,63,0,4
Ousmane Dembélé,FRA,FW,Paris S-G,27-176,1997,2.9,159,145,13,2,0,0,17,1,10,1,3,0,113,1,7
Ermedin Demirović,BIH,"FW,MF",Stuttgart,26-227,1998,1.9,36,34,2,0,0,0,1,0,0,0,0,0,26,0,3
Michele Di Gregorio,ITA,GK,Juventus,27-103,1997,2.6,85,76,9,2,0,0,0,0,0,0,0,0,75,0,0
Ángel Di María,ARG,FW,Benfica,36-267,1988,2.8,115,102,12,3,2,1,11,5,4,3,0,0,78,1,9
Bafodé Diakité,FRA,DF,Lille,23-306,2001,3.5,168,157,11,8,0,1,0,2,0,0,0,0,152,0,1
Mamady Diambou,MLI,"MF,DF",RB Salzburg,21-362,2002,2.3,121,111,10,2,0,1,0,8,0,0,0,0,103,0,1
Rúben Dias,POR,DF,Manchester City,27-177,1997,1.5,144,140,4,4,0,0,0,0,0,0,0,0,135,0,0
Krépin Diatta,SEN,DF,Monaco,25-256,1999,0.4,27,23,4,0,0,1,0,4,0,0,0,0,23,0,0
Brahim Díaz,MAR,MF,Real Madrid,25-096,1999,0.5,22,21,1,0,0,0,2,1,0,0,0,0,18,0,0
Luis Díaz,COL,FW,Liverpool,27-299,1997,2.4,80,80,0,0,0,1,1,0,0,0,0,0,63,0,3
Eric Dier,ENG,DF,Bayern Munich,30-297,1994,0.2,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0
Lucas Digne,FRA,DF,Aston Villa,31-110,1993,2.0,84,62,22,6,0,0,9,11,5,0,2,0,67,0,3
Federico Dimarco,ITA,"DF,FW",Inter,26-363,1997,0.5,34,28,6,1,0,1,6,4,1,0,1,0,28,0,0
Ousmane Diomande,CIV,DF,Sporting CP,20-339,2003,2.3,98,97,1,0,0,0,0,0,0,0,0,0,91,0,0
Nasser Djiga,BFA,DF,Red Star,21-358,2002,4.0,189,183,6,5,0,3,3,1,0,0,0,0,168,0,2
Berat Djimsiti,ALB,DF,Atalanta,31-262,1993,3.5,239,230,9,4,1,0,5,5,0,0,0,0,208,0,2
Jeremy Doku,BEL,"FW,MF",Manchester City,22-164,2002,1.3,94,93,0,0,0,1,11,0,0,0,0,0,72,1,9
Sergi Dominguez,ESP,"DF,FW",Barcelona,19-220,2005,0.4,26,25,1,1,0,0,0,0,0,0,0,0,24,0,0
Gianluigi Donnarumma,ITA,GK,Paris S-G,25-256,1999,3.0,88,64,24,6,0,0,0,0,0,0,0,0,81,0,0
Nene Dorgeles,MLI,FW,RB Salzburg,21-320,2002,2.2,81,77,2,0,0,0,4,1,1,0,0,0,65,2,3
Désiré Doué,FRA,FW,Paris S-G,19-157,2005,1.1,47,46,1,0,1,0,4,1,0,0,0,0,34,0,3
Kamory Doumbia,MLI,MF,Brest,21-263,2003,1.4,56,50,6,0,0,0,6,0,6,2,4,0,41,0,0
Couhaib Driouech,MAR,FW,PSV Eindhoven,22-204,2002,0.6,28,28,0,0,0,0,5,0,0,0,0,0,20,0,0
Vanja Drkušič,SVN,DF,Red Star,25-008,1999,1.0,50,49,1,1,0,2,0,0,0,0,0,0,46,0,1
Joel Drommel,NED,GK,PSV Eindhoven,27-357,1996,1.0,45,39,6,1,0,0,0,0,0,0,0,0,37,0,0
Bruno Duarte,BRA,FW,Red Star,28-228,1996,1.1,30,24,6,1,0,1,1,1,0,0,0,0,23,0,2
Denzel Dumfries,NED,DF,Inter,28-203,1996,3.2,109,90,18,2,0,1,12,16,0,0,0,0,77,1,4
Jhon Durán,COL,"FW,MF",Aston Villa,20-330,2003,1.7,28,28,0,0,0,0,0,0,0,0,0,0,15,0,1
Julien Duranville,BEL,FW,Dortmund,18-186,2006,0.5,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1
Éderson,BRA,MF,Atalanta,25-123,1999,4.0,228,223,4,4,0,1,4,0,0,0,0,0,202,1,1
Ederson,BRA,GK,Manchester City,31-082,1993,2.0,55,45,10,2,0,1,0,0,0,0,0,0,51,0,0
Eguinaldo,BRA,FW,Shakhtar,20-090,2004,3.4,67,62,4,0,0,0,2,1,0,0,0,0,48,1,3
Meschak Elia,COD,"MF,FW",Young Boys,27-093,1997,1.0,15,14,1,0,0,0,3,1,0,0,0,0,11,0,0
Elif Elmas,MKD,MF,RB Leipzig,25-044,1999,0.4,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
Timi Elšnik,SVN,"MF,DF",Red Star,26-192,1998,4.0,194,165,29,8,1,3,22,6,14,4,10,0,142,0,8
Breel Embolo,SUI,FW,Monaco,27-267,1997,3.0,59,54,5,0,0,0,2,0,0,0,0,0,42,0,3
Emerson,BRA,DF,Milan,25-298,1999,3.2,196,165,31,11,0,1,6,20,0,0,0,0,179,0,5
Wataru Endo,JPN,MF,Liverpool,31-272,1993,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Endrick,BRA,FW,Real Madrid,18-109,2006,0.7,13,12,1,0,1,1,0,0,0,0,0,0,12,0,0
Arne Engels,BEL,MF,Celtic,21-060,2003,3.6,158,124,32,3,2,0,21,2,20,6,7,0,118,2,4
Luis Enrique Palma,HON,FW,Celtic,24-295,2000,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Ricardo Esgaio,POR,DF,Sporting CP,31-175,1993,0.6,41,40,1,0,0,0,0,1,0,0,0,0,32,0,0
Giovanni Fabbian,ITA,MF,Bologna,21-298,2003,2.8,42,41,1,1,0,1,1,0,0,0,0,0,35,0,2
Nicolò Fagioli,ITA,"MF,FW",Juventus,23-269,2001,2.2,131,124,7,4,0,1,6,2,1,0,1,0,113,0,3
Romain Faivre,FRA,FW,Brest,26-116,1998,0.9,30,26,4,0,0,0,5,0,4,1,3,0,23,0,0
Ansu Fati,ESP,"FW,MF",Barcelona,22-007,2002,0.4,23,23,0,0,1,0,1,0,0,0,0,0,20,0,1
Lewis Ferguson,SCO,MF,Bologna,25-075,1999,0.1,7,5,2,0,0,0,0,2,0,0,0,0,4,0,2
Edimilson Fernandes,SUI,MF,Brest,28-206,1996,2.5,84,81,3,2,0,2,2,1,0,0,0,0,72,0,1
Matias Fernandez-Pardo,BEL,"MF,FW",Lille,19-278,2005,1.3,24,22,2,0,0,1,1,1,0,0,0,0,19,0,3
Ryan Flamingo,NED,DF,PSV Eindhoven,21-312,2002,4.0,261,256,3,3,0,1,0,0,0,0,0,0,241,2,1
Phil Foden,ENG,MF,Manchester City,24-163,2000,3.4,214,196,17,2,0,1,21,0,13,13,0,0,181,1,4
Youssouf Fofana,FRA,MF,Milan,25-302,1999,3.8,226,219,6,6,0,2,1,0,0,0,0,0,204,1,4
James Forrest,SCO,FW,Celtic,33-123,1991,0.3,11,10,1,0,1,0,1,0,1,0,0,0,7,0,1
Héctor Fort,ESP,DF,Barcelona,18-097,2006,0.3,25,23,2,1,0,0,2,1,0,0,0,0,22,0,0
Alejandro Francés,ESP,DF,Girona,22-098,2002,1.0,88,79,9,3,0,0,5,6,0,0,0,0,78,0,1
Lassina Franck Traoré,BFA,FW,Shakhtar,23-300,2001,0.5,16,16,0,0,0,0,1,0,0,0,0,0,14,0,0
Bartol Franjić,CRO,MF,Shakhtar,24-298,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Davide Frattesi,ITA,MF,Inter,25-016,1999,2.1,42,38,4,3,0,0,0,1,0,0,0,0,33,0,0
Remo Freuler,SUI,MF,Bologna,32-206,1992,3.9,178,168,9,9,0,1,0,0,0,0,0,0,152,1,2
