Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-308,1998,3.4,81,70,11,5,0,0,5,1,1,1,0,0,65,0,1
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-032,1998,9.4,595,473,120,29,5,6,48,68,23,18,3,0,414,2,7
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-188,1999,2.4,59,59,0,0,0,0,5,0,0,0,0,0,45,0,5
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-294,2004,6.3,155,140,13,2,5,1,17,0,6,2,4,0,107,2,8
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-113,2001,0.8,20,18,2,1,0,0,3,0,1,1,0,0,16,0,0
Alisson,BRA,GK,Liverpool,Premier League,32-037,1992,5.9,216,196,20,7,0,0,0,0,0,0,0,0,180,0,0
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25-262,1999,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-255,1995,5.0,134,133,1,0,0,0,10,0,1,0,1,0,99,0,4
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-162,2000,5.0,230,205,20,6,1,0,14,2,6,0,6,0,190,5,6
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-188,2004,0.5,32,30,2,0,0,0,4,2,0,0,0,0,23,0,2
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-272,1994,1.2,39,37,1,0,1,0,0,1,0,0,0,0,30,1,1
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25-121,1999,3.6,121,118,2,0,0,0,1,2,0,0,0,0,92,1,7
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-316,1990,7.1,540,510,29,13,0,2,6,16,0,0,0,0,474,1,8
Giorgio Altare,ITA,DF,Venezia,Serie A,26-091,1998,3.8,198,178,19,7,0,1,6,12,0,0,0,0,155,1,1
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23-225,2001,4.8,153,138,14,1,0,0,7,13,0,0,0,0,122,1,3
Sergi Altimira,ESP,MF,Betis,La Liga,23-075,2001,6.2,330,323,7,7,2,4,1,0,0,0,0,0,290,0,7
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,27-015,1997,4.5,231,221,7,5,1,3,0,2,0,0,0,0,197,3,1
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-129,2003,9.7,579,479,97,11,0,2,19,80,6,2,0,0,464,3,12
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-282,2000,7.8,233,219,13,1,0,2,8,4,1,1,0,0,178,1,9
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-289,1995,5.0,295,277,16,13,1,7,2,0,0,0,0,0,249,2,2
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-188,2002,1.1,30,30,0,0,0,0,0,0,0,0,0,0,21,0,2
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,27-359,1996,7.4,181,157,22,10,2,3,18,0,10,2,7,0,136,2,6
Amath,SEN,"FW,DF",Valladolid,La Liga,28-115,1996,3.3,68,66,2,0,0,2,4,2,0,0,0,0,50,0,5
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-244,1994,6.3,373,308,63,6,0,2,9,57,0,0,0,0,279,2,10
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-100,2003,0.8,47,44,3,1,0,2,0,1,0,0,0,0,41,0,1
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-274,1998,6.4,280,210,70,1,2,0,10,69,0,0,0,0,235,0,11
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-271,1996,8.7,504,437,65,11,0,0,6,54,0,0,0,0,434,2,10
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28-012,1996,7.1,434,366,64,37,3,6,40,2,25,4,15,1,329,4,11
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-113,2006,0.1,5,4,1,0,0,0,1,0,1,0,0,0,5,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-295,2006,7.0,182,175,6,3,0,1,1,1,0,0,0,0,143,1,3
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-183,2000,6.4,139,129,9,0,2,0,10,4,0,0,0,0,93,1,9
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-079,1996,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-161,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
Joachim Andersen,DEN,DF,Fulham,Premier League,28-161,1996,5.7,402,377,23,20,0,9,1,2,0,0,0,0,330,2,1
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,22-002,2002,6.6,293,262,30,12,2,0,21,0,12,5,5,0,232,1,9
André,BRA,MF,Wolves,Premier League,23-115,2001,4.0,164,160,3,3,1,3,0,0,0,0,0,0,155,1,2
Benjamin André,FRA,MF,Lille,Ligue 1,34-097,1990,7.9,510,489,18,17,0,2,4,1,0,0,0,0,425,3,7
Marcos André,BRA,FW,Valladolid,La Liga,28-019,1996,2.9,42,38,4,0,0,2,0,0,0,0,0,0,32,0,0
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-047,1994,6.5,373,366,7,6,1,4,4,0,0,0,0,0,337,0,3
Angeliño,ESP,DF,Roma,Serie A,27-309,1997,10.0,764,695,68,15,0,5,32,52,1,0,1,0,640,1,7
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-256,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-351,2001,4.8,173,164,8,5,2,2,5,0,1,0,1,0,138,1,2
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-111,1996,7.5,751,727,24,17,2,4,8,6,0,0,0,0,690,0,2
Michail Antonio,JAM,FW,West Ham,Premier League,34-225,1990,6.7,130,120,9,0,2,5,17,5,0,0,0,0,79,1,11
Antoniu,ESP,"MF,DF",Espanyol,La Liga,22-064,2002,0.7,16,15,1,0,0,0,2,1,0,0,0,0,6,0,2
Antony,BRA,FW,Manchester Utd,Premier League,24-258,2000,0.3,9,9,0,0,0,0,1,0,0,0,0,0,5,0,0
Anuar,MAR,"FW,MF",Valladolid,La Liga,29-298,1995,2.8,48,46,2,1,0,0,3,1,0,0,0,0,35,0,0
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-152,1992,7.2,345,269,73,7,1,0,22,66,0,0,0,0,252,3,14
Aritz Arambarri,ESP,DF,Leganés,La Liga,26-282,1998,2.0,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1
Mauro Arambarri,URU,MF,Getafe,La Liga,29-039,1995,8.2,209,200,6,3,1,3,4,0,1,1,0,0,131,3,4
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22-108,2002,7.7,475,382,92,11,0,1,14,81,0,0,0,0,375,1,10
Julian Araujo,MEX,DF,Bournemouth,Premier League,23-087,2001,3.9,164,139,25,1,0,0,4,24,0,0,0,0,129,0,2
Cameron Archer,ENG,FW,Southampton,Premier League,23-110,2001,5.8,76,69,7,0,0,0,1,0,0,0,0,0,63,0,2
Carlens Arcus,HAI,DF,Angers,Ligue 1,28-133,1996,8.2,320,262,56,6,0,0,14,49,1,0,0,0,248,2,5
Alphonse Areola,FRA,GK,West Ham,Premier League,31-255,1993,7.5,289,204,82,16,0,0,0,0,0,0,0,0,211,3,1
Adu Ares,ESP,FW,Athletic Club,La Liga,23-027,2001,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1
Jesús Areso,ESP,DF,Osasuna,La Liga,25-129,1999,10.8,483,356,124,2,0,1,51,122,0,0,0,0,332,3,28
David Argüelles,ESP,MF,Getafe,La Liga,22-312,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Joe Aribo,NGA,MF,Southampton,Premier League,28-110,1996,5.9,264,258,5,0,1,0,6,3,0,0,0,0,230,1,8
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27-272,1997,4.1,101,92,7,0,0,1,8,2,0,0,0,0,82,2,6
Harrison Armstrong,ENG,MF,Everton,Premier League,17-294,2007,0.0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,0
José Arnaiz,ESP,FW,Osasuna,La Liga,29-207,1995,0.2,10,10,0,0,0,0,4,0,0,0,0,0,5,0,1
Hákon Arnar Haraldsson,ISL,MF,Lille,Ligue 1,21-212,2003,1.9,158,153,5,1,0,1,4,1,3,2,1,0,132,0,0
Marko Arnautović,AUT,FW,Inter,Serie A,35-203,1989,0.4,15,15,0,0,0,0,1,0,0,0,0,0,10,0,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,30-165,1994,7.4,300,239,60,30,0,5,34,0,21,14,7,0,226,1,3
Jann-Fiete Arp,GER,FW,Holstein Kiel,Bundesliga,24-307,2000,3.1,58,47,8,1,0,2,7,5,1,1,0,0,32,3,2
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30-036,1994,5.0,162,119,42,11,0,0,0,0,0,0,0,0,127,1,0
Arthur,BRA,DF,Leverkusen,Bundesliga,21-236,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Takuma Asano,JPN,FW,Mallorca,La Liga,29-364,1994,3.5,73,73,0,0,0,2,11,0,0,0,0,0,44,0,6
Marco Asensio,ESP,"FW,MF",Paris S-G,Ligue 1,28-292,1996,4.6,214,200,12,1,2,0,6,3,2,0,0,0,185,2,2
Kristjan Asllani,ALB,MF,Inter,Serie A,22-244,2002,1.6,165,155,9,2,1,0,4,0,6,0,3,0,147,1,2
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,37-099,1987,9.0,369,356,7,1,10,4,5,4,2,0,1,0,277,6,15
Yaser Asprilla,COL,"FW,MF",Girona,La Liga,20-355,2003,3.8,195,178,14,7,3,3,20,2,4,3,1,0,145,3,4
Lorenz Assignon,TOG,"DF,MF",Rennes,Ligue 1,24-139,2000,5.1,218,171,47,3,0,0,7,44,0,0,0,0,170,0,6
Dehmaine Assoumani,FRA,"MF,FW",Nantes,Ligue 1,19-205,2005,0.4,29,26,3,1,0,0,4,1,0,0,0,0,26,0,0
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,19-075,2005,9.5,388,383,5,5,1,0,6,0,0,0,0,0,345,0,5
Arthur Atta,FRA,MF,Udinese,Serie A,21-299,2003,0.3,20,19,1,1,0,0,1,0,0,0,0,0,15,0,3
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22-167,2002,7.0,324,285,39,17,0,0,0,0,0,0,0,0,245,0,0
Emil Audero,ITA,GK,Como,Serie A,27-295,1997,7.0,225,195,30,13,0,0,0,0,0,0,0,0,182,0,0
Tommaso Augello,ITA,DF,Cagliari,Serie A,30-070,1994,8.2,415,313,101,13,0,1,45,72,16,2,14,0,296,1,10
Carlos Augusto,BRA,DF,Inter,Serie A,25-306,1999,2.1,122,107,15,3,0,0,3,12,0,0,0,0,110,0,4
Yann Aurel Bisseck,GER,DF,Inter,Serie A,23-345,2000,4.3,328,319,9,6,0,0,3,2,0,0,0,0,303,0,4
Ezequiel Ávila,ARG,FW,Betis,La Liga,30-276,1994,4.2,136,127,8,0,0,1,13,3,0,0,0,0,96,1,5
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,27-088,1997,1.2,27,27,0,0,0,0,1,0,0,0,0,0,19,0,1
Yasin Ayari,SWE,MF,Brighton,Premier League,21-033,2003,5.0,194,177,17,5,4,1,20,0,11,7,3,0,146,0,6
Florian Ayé,FRA,FW,Auxerre,Ligue 1,27-294,1997,3.3,63,58,5,0,0,0,1,0,0,0,0,0,49,0,0
André Ayew,GHA,FW,Le Havre,Ligue 1,34-327,1989,2.3,53,48,5,1,0,0,0,0,0,0,0,0,38,0,3
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,33-058,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
Jordan Ayew,GHA,"FW,MF",Leicester City,Premier League,33-058,1991,4.6,115,112,3,1,1,1,11,1,0,0,0,0,89,0,3
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,23-129,2001,0.5,24,22,2,0,0,0,0,0,0,0,0,0,18,0,2
Ayman Azhil,MAR,MF,Dortmund,Bundesliga,23-212,2001,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18-159,2006,0.1,13,11,1,0,0,0,1,1,0,0,0,0,11,1,0
César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,35-072,1989,4.3,302,276,26,2,1,3,2,24,0,0,0,0,264,0,1
Paulo Azzi,BRA,DF,Cagliari,Serie A,30-116,1994,4.7,180,161,19,1,1,0,22,18,0,0,0,0,126,0,4
Papa Ba,ESP,MF,Girona,La Liga,20-057,2004,0.5,13,13,0,0,0,0,1,0,0,0,0,0,5,0,3
Shavy Babicka,GAB,"MF,FW",Toulouse,Ligue 1,24-160,2000,4.2,97,95,2,0,0,1,11,1,0,0,0,0,67,0,3
Aliou Badara Baldé,GUI,"MF,FW",Bochum,Bundesliga,21-332,2002,1.0,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1
Loïc Bade,FRA,DF,Sevilla,La Liga,24-211,2000,8.2,529,506,21,12,1,4,2,2,0,0,0,0,447,2,1
Milan Badelj,CRO,MF,Genoa,Serie A,35-257,1989,7.5,346,334,11,8,1,3,5,0,2,0,0,0,275,1,2
Benoît Badiashile,FRA,DF,Chelsea,Premier League,23-227,2001,0.4,43,41,2,2,0,0,0,0,0,0,0,0,42,0,0
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,23-111,2001,8.2,370,312,54,15,9,7,58,3,35,20,12,0,258,4,7
Leon Bailey,JAM,"FW,MF",Aston Villa,Premier League,27-091,1997,4.9,150,144,5,0,3,0,13,0,5,5,0,0,106,1,8
Eric Bailly,CIV,DF,Villarreal,La Liga,30-210,1994,5.9,265,246,18,10,0,0,0,2,0,0,0,0,236,1,0
Theo Bair,CAN,FW,Auxerre,Ligue 1,25-073,1999,3.5,79,72,7,0,0,1,2,1,0,0,0,0,54,0,1
Cédric Bakambu,COD,FW,Betis,La Liga,33-211,1991,2.4,39,37,1,0,0,0,2,0,0,0,0,0,22,1,0
Mitchel Bakker,NED,MF,Atalanta,Serie A,24-141,2000,0.2,9,8,1,0,0,0,1,0,1,0,1,0,7,0,0
Mitchel Bakker,NED,"DF,FW",Lille,Ligue 1,24-141,2000,1.3,77,66,11,0,0,0,8,9,2,1,1,0,61,0,1
Ridle Baku,GER,"FW,MF",Wolfsburg,Bundesliga,26-214,1998,7.0,286,252,33,5,2,1,20,28,0,0,0,0,214,1,13
Dilane Bakwa,FRA,"DF,FW",Strasbourg,Ligue 1,22-074,2002,9.6,363,305,57,20,1,6,46,18,19,8,11,0,268,1,11
Tommaso Baldanzi,ITA,"MF,DF",Roma,Serie A,21-230,2003,3.5,154,147,6,1,1,1,4,5,0,0,0,0,126,1,7
Alejandro Balde,ESP,DF,Barcelona,La Liga,21-021,2003,9.1,456,385,70,15,1,1,20,55,0,0,0,0,399,1,11
Carlos Baleba,CMR,MF,Brighton,Premier League,20-310,2004,6.4,284,281,2,2,2,2,1,0,0,0,0,0,252,1,2
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,25-287,1999,6.0,538,521,17,12,0,2,0,1,0,0,0,0,512,0,3
Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,32-312,1992,6.6,280,205,74,4,0,0,8,70,0,0,0,0,208,1,6
Botond Balogh,HUN,DF,Parma,Serie A,22-155,2002,10.4,463,433,30,17,0,1,0,1,0,0,0,0,421,0,1
Folarin Balogun,USA,FW,Monaco,Ligue 1,23-128,2001,4.5,86,81,4,0,0,0,3,1,0,0,0,0,60,1,3
Mario Balotelli,ITA,FW,Genoa,Serie A,34-088,1990,0.3,4,4,0,0,0,1,1,0,0,0,0,0,1,0,1
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34-197,1990,2.8,79,71,8,1,1,0,1,7,0,0,0,0,64,0,2
Jonathan Bamba,CIV,FW,Celta Vigo,La Liga,28-227,1996,5.3,234,224,8,2,3,1,14,6,0,0,0,0,188,2,6
Mohamed Bamba,CIV,MF,Reims,Ligue 1,20-031,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Samuel Bamba,GER,"FW,MF",Bochum,Bundesliga,20-269,2004,0.1,9,8,1,0,0,0,3,0,1,1,0,0,6,0,1
Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,23-284,2001,5.3,122,118,4,2,1,1,20,1,1,0,1,0,96,0,2
Daniel Bandeira,POR,MF,Hellas Verona,Serie A,24-211,2000,3.3,173,160,13,6,0,1,8,0,7,4,3,0,142,0,1
Mattia Bani,ITA,DF,Genoa,Serie A,30-334,1993,4.0,151,142,8,7,0,0,0,0,0,0,0,0,132,1,2
Scott Banks,SCO,"FW,MF",St. Pauli,Bundesliga,23-043,2001,0.6,13,13,0,0,0,0,1,0,0,0,0,0,8,0,0
Antonín Barák,CZE,MF,Fiorentina,Serie A,29-341,1994,0.6,20,20,0,0,0,0,1,0,0,0,0,0,17,0,0
Federico Barba,ITA,DF,Como,Serie A,31-068,1993,2.7,161,144,17,8,0,0,1,1,0,0,0,0,144,0,0
Valentín Barco,ARG,"DF,FW",Sevilla,La Liga,20-108,2004,3.1,186,138,46,9,2,2,22,28,9,0,5,0,137,2,5
Bradley Barcola,FRA,FW,Paris S-G,Ligue 1,22-067,2002,7.8,266,263,3,2,1,1,7,1,0,0,0,0,220,0,12
Melvin Bard,FRA,"MF,DF",Nice,Ligue 1,24-002,2000,4.7,221,185,36,3,3,0,10,33,0,0,0,0,162,0,6
Nicolò Barella,ITA,MF,Inter,Serie A,27-275,1997,7.2,483,456,22,19,7,9,21,1,2,0,2,0,404,5,7
Gabriel Bares,SUI,MF,Montpellier,Ligue 1,24-071,2000,0.4,23,22,1,1,0,0,1,0,0,0,0,0,20,0,0
Ross Barkley,ENG,MF,Aston Villa,Premier League,30-339,1993,3.1,178,174,3,2,0,2,0,0,0,0,0,0,156,1,2
Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,26-171,1998,0.8,37,35,2,1,0,0,5,0,1,1,0,0,26,0,2
Harvey Barnes,ENG,FW,Newcastle Utd,Premier League,26-335,1997,5.4,156,153,2,0,1,0,11,2,0,0,0,0,124,1,5
Enzo Barrenechea,ARG,MF,Valencia,La Liga,23-170,2001,3.8,161,157,4,4,0,5,1,0,0,0,0,0,128,0,1
