Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Niklas Lomb,GER,GK,Leverkusen,30,1993,1.0,1,0,0,0,0,0.7,0.22,-0.3,-0.34,2,4,50.0,23,4,17.4,25.3,2,0.0,13.0,6,0,0.0,0,0.00,10.0
Pau López,ESP,GK,Marseille,28,1994,13.3,21,2,0,1,0,21.0,0.31,0.0,0.00,66,212,31.1,462,46,35.5,34.4,66,72.7,54.0,151,11,7.3,9,0.69,12.1
Andrey Lunyov,RUS,GK,Qarabağ,31,1991,10.3,18,2,0,2,1,16.6,0.25,-0.4,-0.04,60,195,30.8,302,36,43.4,37.4,92,69.6,48.8,174,12,6.9,3,0.30,11.6
Mike Maignan,FRA,GK,Milan,28,1995,5.2,8,2,0,2,0,7.5,0.28,-0.5,-0.09,10,29,34.5,145,21,14.5,26.5,28,28.6,30.5,72,6,8.3,4,0.77,13.1
Steve Mandanda,FRA,GK,Rennes,38,1985,7.0,10,2,0,1,0,11.4,0.35,+1.4,+0.20,20,51,39.2,193,32,20.2,28.2,36,33.3,35.6,67,5,7.5,3,0.43,12.0
Aleš Mandous,CZE,GK,Slavia Prague,31,1992,6.0,4,0,0,0,0,4.6,0.28,+0.6,+0.09,21,37,56.8,210,48,12.9,27.4,29,34.5,39.1,36,4,11.1,10,1.67,17.0
Matheus,BRA,GK,Braga,31,1992,2.3,6,1,0,0,0,5.6,0.42,-0.4,-0.19,3,5,60.0,57,9,8.8,24.4,7,0.0,22.3,20,0,0.0,7,3.50,21.1
Anthony Moris,LUX,GK,Union SG,33,1990,6.0,8,2,0,2,0,9.2,0.29,+1.2,+0.19,27,83,32.5,162,24,42.6,38.6,30,46.7,45.2,57,4,7.0,13,2.17,17.6
Fernando Muslera,URU,GK,Galatasaray,37,1986,2.0,6,0,0,0,0,6.4,0.53,+0.4,+0.18,13,50,26.0,96,11,41.7,36.5,16,62.5,48.5,22,2,9.1,6,3.00,15.4
Juan Musso,ARG,GK,Atalanta,29,1994,12.0,8,3,0,1,0,10.4,0.23,+2.4,+0.20,71,182,39.0,321,56,38.0,35.2,77,77.9,54.5,112,13,11.6,23,1.92,16.4
Itamar Nitzan,ISR,GK,Maccabi Haifa,36,1987,1.0,3,0,0,1,0,2.9,0.27,-0.1,-0.08,4,16,25.0,40,9,37.5,34.4,5,20.0,28.2,19,0,0.0,1,1.00,14.8
Alexandros Paschalakis,GRE,GK,Olympiacos,34,1989,6.0,14,1,0,2,0,10.2,0.33,-3.8,-0.63,22,93,23.7,123,17,44.7,39.0,53,71.7,51.0,60,6,10.0,7,1.17,17.1
Oliver Petersen,NOR,GK,Molde,21,2001,4.6,9,0,0,3,1,6.5,0.27,-1.5,-0.33,12,40,30.0,100,22,27.0,28.4,36,36.1,32.9,48,3,6.3,6,1.32,13.4
Diant Ramaj,GER,GK,Ajax,21,2001,4.0,9,2,0,1,0,7.8,0.26,-1.2,-0.29,17,61,27.9,187,9,27.8,32.3,34,26.5,31.8,51,2,3.9,0,0.00,10.1
Pepe Reina,ESP,GK,Villarreal,40,1982,7.0,11,1,0,0,1,10.4,0.34,+0.4,+0.06,21,67,31.3,233,34,23.6,28.9,36,33.3,32.8,91,4,4.4,3,0.43,14.5
Guillaume Restes,FRA,GK,Toulouse,18,2005,8.0,11,2,0,1,1,9.8,0.26,-0.2,-0.03,39,113,34.5,199,28,34.7,33.1,69,63.8,47.4,128,3,2.3,2,0.25,12.4
Dmytro Riznyk,UKR,GK,Shakhtar,24,1999,2.0,5,0,0,0,0,2.0,0.18,-3.0,-1.49,2,14,14.3,54,9,18.5,26.3,15,26.7,36.3,42,3,7.1,2,1.00,16.2
Francesco Rossi,ITA,GK,Atalanta,32,1991,0.1,0,0,0,0,0,0.0,,0.0,0.00,2,4,50.0,2,1,50.0,34.0,3,100.0,63.0,4,0,0.0,0,0.00,
Brice Samba,FRA,GK,Lens,29,1994,2.3,3,0,0,0,0,3.5,0.29,+0.5,+0.26,8,21,38.1,64,18,20.3,28.5,11,72.7,48.8,40,3,7.5,0,0.00,8.8
Kjell Scherpen,NED,GK,Sturm Graz,23,2000,6.0,9,1,0,3,0,11.6,0.37,+2.6,+0.43,25,93,26.9,152,24,41.4,39.1,49,61.2,50.7,94,10,10.6,5,0.83,11.0
Rui Silva,POR,GK,Betis,29,1994,4.0,5,0,0,1,0,3.4,0.34,-1.6,-0.40,11,40,27.5,98,10,27.6,31.5,35,37.1,36.2,35,1,2.9,5,1.25,17.0
Nikola Simić,SRB,GK,TSC Bačka Top,26,1996,1.0,3,0,0,2,0,2.6,0.33,-0.4,-0.39,5,16,31.3,26,4,53.8,42.0,8,25.0,24.6,21,1,4.8,0,0.00,11.0
Marco Sportiello,ITA,GK,Milan,31,1992,0.8,1,0,0,0,0,0.5,0.46,-0.5,-0.69,0,3,0.0,10,4,30.0,32.2,5,0.0,17.2,7,0,0.0,0,0.00,
Jindřich Staněk,CZE,GK,Slavia Prague,27,1996,2.0,7,0,0,2,0,6.0,0.44,-1.0,-0.52,12,34,35.3,65,9,33.8,32.1,18,66.7,52.8,26,1,3.8,0,0.00,7.0
Cican Stankovic,AUT,GK,AEK Athens,30,1992,3.6,5,4,0,0,0,7.6,0.19,+2.6,+0.71,19,42,45.2,114,16,24.6,28.0,29,48.3,35.3,37,0,0.0,8,2.21,19.8
Jason Steele,ENG,GK,Brighton,32,1990,5.0,9,0,0,3,0,7.5,0.45,-1.5,-0.31,9,22,40.9,156,15,12.8,24.5,12,16.7,18.7,41,0,0.0,15,3.00,22.4
Mile Svilar,SRB,GK,Roma,23,1999,14.3,12,0,0,2,1,14.6,0.24,+3.6,+0.26,50,159,31.4,389,61,28.8,32.3,93,50.5,43.6,205,16,7.8,8,0.57,11.9
Anatolii Trubin,UKR,GK,Benfica,21,2001,6.3,5,0,0,0,0,6.4,0.28,+1.4,+0.24,20,60,33.3,148,31,23.6,29.5,46,54.3,44.9,101,3,3.0,3,0.50,14.2
Vaná,BRA,GK,Aris Limassol FC,32,1991,6.0,13,0,0,3,0,14.1,0.32,+1.1,+0.18,20,102,19.6,205,45,42.4,38.3,32,46.9,44.7,87,7,8.0,7,1.17,13.5
Bart Verbruggen,NED,GK,Brighton,20,2002,3.0,0,0,0,0,0,0.9,0.10,+0.9,+0.29,10,24,41.7,95,15,23.2,27.4,13,15.4,25.6,44,3,6.8,2,0.67,14.7
Peter Vindahl Jensen,DEN,GK,Sparta Prague,25,1998,10.0,22,2,0,1,0,15.9,0.25,-6.1,-0.61,51,156,32.7,374,50,30.2,31.4,74,58.1,45.9,111,5,4.5,13,1.30,16.4
Timon Wellenreuther,GER,GK,Feyenoord,27,1995,2.3,2,0,0,0,0,1.6,0.23,-0.4,-0.20,13,42,31.0,106,18,34.9,33.7,10,50.0,47.5,35,2,5.7,7,3.50,18.3
