Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Mattia Perin,ITA,GK,Juventus,29,1992,1,0,47,0.5,0,0.00,3,3,100.0,0,0,0,1,,0,0,0,0,
Kenan Pirić,BIH,GK,AÉK Lárnaka,28,1994,6,6,540,6.0,10,1.67,31,21,71.0,1,2,3,1,16.7,2,1,1,0,50.0
Ivan Provedel,ITA,GK,Lazio,28,1994,6,6,540,6.0,11,1.83,28,16,67.9,2,2,2,1,16.7,3,2,1,0,33.3
Aaron Ramsdale,ENG,GK,Arsenal,24,1998,3,3,300,3.3,3,0.90,9,6,66.7,1,1,1,1,33.3,0,0,0,0,
Álex Remiro,ESP,GK,Real Sociedad,27,1995,8,8,720,8.0,4,0.50,12,8,66.7,5,1,2,5,62.5,0,0,0,0,
Gerónimo Rulli,ARG,GK,Ajax,30,1992,2,2,180,2.0,3,1.50,9,6,77.8,0,1,1,1,50.0,1,1,0,0,0.0
Frederik Rønnow,DEN,GK,Union Berlin,29,1992,10,10,855,9.5,9,0.95,28,19,67.9,5,2,3,4,40.0,0,0,0,0,
Jörg Siebenhandl,AUT,GK,Sturm Graz,32,1990,6,6,540,6.0,10,1.67,24,14,62.5,2,2,2,3,50.0,1,1,0,0,0.0
Rui Silva,POR,GK,Betis,28,1994,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,
Mile Svilar,SRB,GK,Roma,22,1999,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
Wojciech Szczęsny,POL,GK,Juventus,32,1990,8,8,703,7.8,5,0.64,28,23,85.7,4,3,1,3,37.5,1,1,0,0,0.0
Muhammet Taha Tepe,TUR,GK,Trabzonspor,21,2001,1,1,90,1.0,3,3.00,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
Marc-André ter Stegen,GER,GK,Barcelona,30,1992,2,2,180,2.0,4,2.00,10,7,60.0,0,1,1,0,0.0,0,0,0,0,
Anatolii Trubin,UKR,GK,Shakhtar,20,2001,4,4,390,4.3,11,2.54,31,20,67.7,1,1,2,0,0.0,1,1,0,0,0.0
Matt Turner,USA,GK,Arsenal,28,1994,5,5,450,5.0,3,0.60,14,11,85.7,4,1,0,3,60.0,1,1,0,0,0.0
Kostas Tzolakis,GRE,GK,Olympiacos,19,2002,2,2,180,2.0,5,2.50,15,10,66.7,0,0,2,0,0.0,0,0,0,0,
Francis Uzoho,NGA,GK,AC Omonia,23,1998,4,3,315,3.5,6,1.71,22,16,77.3,0,0,3,0,0.0,1,1,0,0,0.0
Tomáš Vaclík,CZE,GK,Olympiacos,33,1989,2,2,180,2.0,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,
Timon Wellenreuther,GER,GK,Feyenoord,26,1995,2,2,180,2.0,2,1.00,3,1,33.3,1,1,0,0,0.0,0,0,0,0,
