Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Albert Grønbaek,DEN,"MF,FW",Bodø/Glimt,21,2001,6,3,376,4.2,1,1,2,1,0,0,0,0,0.7,0.7,0.5,1.2,15,15,27,0.24,0.24,0.48,0.24,0.48,0.16,0.12,0.28,0.16,0.28
Andrés Guardado,MEX,MF,Betis,35,1986,7,3,325,3.6,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,2,16,6,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Nemanja Gudelj,SRB,"DF,MF",Sevilla,30,1991,8,8,779,8.7,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,2,21,4,0.12,0.00,0.12,0.12,0.12,0.09,0.00,0.09,0.09,0.09
Renan Guedes,BRA,DF,Sheriff Tiraspol,24,1998,4,2,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adrián Guerrero,ESP,"DF,MF",Zürich,24,1998,6,6,485,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,11,11,25,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Daniel Guerrero,ESP,FW,Betis,17,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42
Evann Guessand,CIV,"FW,MF",Nantes,21,2001,8,4,386,4.3,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.8,12,8,26,0.23,0.00,0.23,0.23,0.23,0.17,0.00,0.18,0.17,0.18
Ander Guevara,ESP,MF,Real Sociedad,25,1997,5,4,378,4.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,6,23,13,0.24,0.00,0.24,0.24,0.24,0.09,0.05,0.14,0.09,0.14
Manuel Gulde,GER,DF,Freiburg,31,1991,2,1,67,0.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arda Güler,TUR,MF,Fenerbahçe,17,2005,6,3,235,2.6,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.6,9,18,17,0.38,0.38,0.77,0.38,0.77,0.06,0.17,0.23,0.06,0.23
Christian Günter,GER,"DF,MF",Freiburg,29,1993,8,8,658,7.3,0,2,2,0,0,0,1,0,0.3,0.3,1.8,2.1,14,21,64,0.00,0.27,0.27,0.00,0.27,0.05,0.24,0.29,0.05,0.29
Luís Gustavo Ledes,POR,MF,AÉK Lárnaka,29,1992,6,5,447,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,2,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.09,0.01,0.09
Erick Gutiérrez,MEX,MF,PSV Eindhoven,27,1995,5,4,376,4.2,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,1,16,2,0.24,0.00,0.24,0.24,0.24,0.15,0.01,0.16,0.15,0.16
Ádám Gyurcsó,HUN,"FW,MF",AÉK Lárnaka,31,1991,4,3,279,3.1,1,1,2,1,0,0,0,0,0.3,0.3,0.2,0.5,9,10,20,0.32,0.32,0.65,0.32,0.65,0.10,0.07,0.17,0.10,0.17
Janik Haberer,GER,MF,Union Berlin,28,1994,9,8,642,7.1,0,1,1,0,0,0,5,1,0.5,0.5,0.4,0.9,5,16,23,0.00,0.14,0.14,0.00,0.14,0.08,0.05,0.13,0.08,0.13
Dennis Hadzikadunic,BIH,DF,Malmö,24,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,17,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Elias Hagen,NOR,MF,Bodø/Glimt,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nikita Haikin,RUS,GK,Bodø/Glimt,27,1995,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aapo Halme,FIN,DF,HJK,24,1998,2,1,135,1.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Marek Hamšík,SVK,MF,Trabzonspor,35,1987,6,5,359,4.0,1,0,1,1,0,0,0,0,1.0,1.0,0.3,1.2,6,38,15,0.25,0.00,0.25,0.25,0.25,0.24,0.06,0.30,0.24,0.30
Dávid Hancko,SVK,DF,Feyenoord,24,1997,10,10,930,10.3,2,1,3,2,0,0,1,0,1.0,1.0,0.4,1.4,7,42,9,0.19,0.10,0.29,0.19,0.29,0.10,0.04,0.14,0.10,0.14
Genki Haraguchi,JPN,MF,Union Berlin,31,1991,6,3,218,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,10,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Denys Harmash,UKR,"FW,MF",Dynamo Kyiv,32,1990,5,3,268,3.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,3,8,11,0.67,0.00,0.67,0.67,0.67,0.24,0.02,0.26,0.24,0.26
Quilindschy Hartman,NED,DF,Feyenoord,20,2001,6,4,455,5.1,0,1,1,0,0,0,1,0,0.1,0.1,0.8,0.9,6,39,19,0.00,0.20,0.20,0.00,0.20,0.03,0.16,0.19,0.03,0.19
Dogucan Haspolat,TUR,MF,Trabzonspor,22,2000,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
