Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Marcus Tavernier,ENG,FW,Bournemouth,Premier League,24,1999,23.5,920,790,121,25,3,8,116,35,59,45,2,1,658,9,27
Elayis Tavsan,NED,"MF,FW",Hellas Verona,Serie A,22,2001,0.6,8,7,1,0,0,0,1,0,1,1,0,0,7,0,0
Charlie Taylor,ENG,DF,Burnley,Premier League,29,1993,25.9,1312,1099,206,14,0,7,71,192,0,0,0,0,995,7,28
Marciano Tchami,GNB,"FW,MF",Almería,La Liga,19,2004,0.5,24,22,2,0,0,0,1,0,0,0,0,0,14,0,2
Loum Tchaouna,FRA,"FW,MF",Salernitana,Serie A,19,2003,23.3,766,717,43,3,1,12,70,10,8,4,1,0,505,6,35
Jackson Tchatchoua,CMR,DF,Hellas Verona,Serie A,21,2001,19.2,799,621,177,6,0,2,64,171,0,0,0,0,604,1,16
Enzo Tchato,CMR,DF,Montpellier,Ligue 1,20,2002,12.5,639,526,111,9,0,1,49,102,0,0,0,0,478,2,17
Aurélien Tchouaméni,FRA,"MF,DF",Real Madrid,La Liga,23,2000,22.1,1520,1461,53,49,1,4,22,2,0,0,0,0,1377,6,9
Mathys Tel,FRA,"FW,MF",Bayern Munich,Bundesliga,18,2005,11.7,410,389,18,1,1,2,18,9,2,0,0,0,340,3,12
Nathan Tella,NGA,"DF,MF",Leverkusen,Bundesliga,24,1999,9.1,351,323,28,0,1,4,27,27,1,0,0,0,279,0,14
Nahuel Tenaglia,ARG,DF,Alavés,La Liga,27,1996,12.7,454,384,67,13,1,3,17,54,0,0,0,0,330,3,13
Arnau Tenas,ESP,GK,Paris S-G,Ligue 1,22,2001,5.9,211,169,42,5,1,0,0,0,0,0,0,0,173,0,0
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,31,1992,28.0,1036,818,216,53,0,1,0,0,0,0,0,0,927,2,2
Filippo Terracciano,ITA,DF,Hellas Verona,Serie A,20,2003,14.4,713,559,153,19,1,10,59,121,13,2,10,0,507,1,15
Filippo Terracciano,ITA,"DF,FW",Milan,Serie A,20,2003,0.8,40,39,1,0,0,0,0,1,0,0,0,0,38,0,0
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,33,1990,33.0,1231,970,257,81,0,1,0,0,0,0,0,0,979,4,0
Ramón Terrats,ESP,"MF,DF",Villarreal,La Liga,22,2000,8.7,462,428,31,6,1,1,28,20,5,1,1,0,375,3,19
Martin Terrier,FRA,"FW,MF",Rennes,Ligue 1,26,1997,17.0,497,480,16,2,2,0,5,0,0,0,0,0,395,1,7
Kenny Tete,NED,DF,Fulham,Premier League,27,1995,9.6,523,438,84,7,1,0,23,77,0,0,0,0,418,1,13
Benjamin Tetteh,GHA,"FW,MF",Metz,Ligue 1,26,1997,3.1,77,71,6,0,0,0,1,0,0,0,0,0,49,0,4
Teddy Teuma,MLT,MF,Reims,Ligue 1,29,1993,23.5,1512,1307,197,85,6,17,139,16,77,35,36,0,1181,8,36
Florian Thauvin,FRA,FW,Udinese,Serie A,30,1993,19.0,548,468,75,9,2,5,79,10,19,0,11,1,385,5,16
Arthur Theate,BEL,DF,Rennes,Ligue 1,23,2000,25.5,1640,1565,72,47,0,14,11,22,0,0,0,0,1444,3,7
Norman Theuerkauf,GER,"MF,DF",Heidenheim,Bundesliga,36,1987,14.0,590,528,59,7,0,10,22,46,6,3,2,0,462,3,12
Malick Thiaw,GER,DF,Milan,Serie A,21,2001,18.0,1184,1153,30,15,0,2,0,4,0,0,0,0,1084,1,7
Jan Thielmann,GER,"FW,DF",Köln,Bundesliga,21,2002,17.5,551,465,83,8,2,4,42,65,0,0,0,0,364,3,34
Denis Thomalla,GER,"MF,FW",Heidenheim,Bundesliga,30,1992,5.0,191,186,3,2,0,1,2,0,0,0,0,0,143,2,5
Luke Thomas,ENG,DF,Sheffield Utd,Premier League,22,2001,10.2,319,287,32,1,0,0,13,31,0,0,0,0,234,0,14
Adrien Thomasson,FRA,MF,Lens,Ligue 1,29,1993,13.3,679,638,38,18,1,1,47,2,18,2,11,0,506,3,31
Morten Thorsby,NOR,MF,Genoa,Serie A,27,1996,12.9,332,329,3,1,0,0,9,2,0,0,0,0,206,0,10
Kristian Thorstvedt,NOR,MF,Sassuolo,Serie A,24,1999,26.6,978,957,20,13,0,8,26,2,5,2,2,0,710,1,28
Khéphren Thuram,FRA,MF,Nice,Ligue 1,22,2001,23.4,1134,1113,17,15,8,0,20,2,0,0,0,0,978,4,14
Marcus Thuram,FRA,FW,Inter,Serie A,25,1997,29.9,656,641,14,0,4,4,21,1,0,0,0,0,476,1,21
Cheikh Tidiane Sabaly,SEN,"FW,MF",Metz,Ligue 1,24,1999,15.3,370,367,3,0,1,2,12,3,0,0,0,0,290,0,13
Youri Tielemans,BEL,"MF,FW",Aston Villa,Premier League,26,1997,18.0,949,891,54,14,17,3,31,7,18,12,3,0,789,4,21
Kieran Tierney,SCO,DF,Real Sociedad,La Liga,26,1997,13.8,904,736,167,18,1,7,26,149,0,0,0,0,690,1,23
Phillip Tietz,GER,FW,Augsburg,Bundesliga,26,1997,26.5,534,520,8,1,4,3,6,0,0,0,0,0,332,6,15
Steffen Tigges,GER,FW,Köln,Bundesliga,25,1998,8.1,203,196,6,0,0,0,7,1,0,0,0,0,118,1,12
Antonio Tikvić,CRO,DF,Udinese,Serie A,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurriën Timber,NED,DF,Arsenal,Premier League,22,2001,0.8,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2
Jean-Clair Todibo,FRA,DF,Nice,Ligue 1,23,1999,29.5,2487,2417,69,52,3,7,12,12,0,0,0,0,2228,1,14
Harry Toffolo,ENG,DF,Nott'ham Forest,Premier League,27,1995,16.2,590,465,125,15,0,0,47,97,13,11,1,0,424,0,15
Umut Tohumcu,GER,MF,Hoffenheim,Bundesliga,18,2004,11.2,419,409,6,5,2,2,6,0,0,0,0,0,366,4,6
Corentin Tolisso,FRA,MF,Lyon,Ligue 1,28,1994,19.3,1257,1201,51,32,7,9,36,17,0,0,0,0,1059,5,21
Jeremy Toljan,GER,DF,Sassuolo,Serie A,28,1994,23.1,1007,797,207,24,0,3,50,182,1,0,0,0,775,3,26
Rafael Tolói,ITA,DF,Atalanta,Serie A,32,1990,10.7,537,505,31,14,0,0,8,17,0,0,0,0,442,1,8
Raúl de Tomás,ESP,FW,Rayo Vallecano,La Liga,28,1994,14.1,272,250,19,1,0,6,9,0,0,0,0,0,207,3,8
Tiago Tomás,POR,"FW,MF",Wolfsburg,Bundesliga,21,2002,11.5,278,264,13,6,0,0,28,1,2,1,1,0,181,1,15
Takehiro Tomiyasu,JPN,DF,Arsenal,Premier League,24,1998,12.8,697,615,80,7,2,2,14,73,0,0,0,0,574,2,11
James Tomkins,ENG,DF,Crystal Palace,Premier League,34,1989,0.1,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0
Fikayo Tomori,ENG,DF,Milan,Serie A,25,1997,23.6,1691,1584,105,34,0,3,3,11,0,0,0,0,1541,2,9
Sandro Tonali,ITA,MF,Newcastle Utd,Premier League,23,2000,4.9,280,276,4,0,0,5,11,2,2,0,2,0,241,0,3
Ivan Toney,ENG,FW,Brentford,Premier League,27,1996,16.1,426,395,23,8,5,0,22,8,2,0,0,0,228,8,22
